mX,mY,mZ 
5.43,33.95,-41.94
4.83,33.64,-42.00
5.57,33.39,-42.46
4.32,31.87,-41.97
3.56,31.64,-42.48
4.11,21.89,-39.58
-5.83,27.20,-38.88
17.49,25.54,-38.65
38.79,11.62,-20.15
48.22,27.48,-12.92
-11.02,70.92,-5.25
-1.68,44.25,-40.44
41.08,38.49,-27.21
35.56,3.23,-7.73
43.24,37.54,18.75
-2.83,63.46,25.65
-31.74,40.06,-17.63
9.18,67.50,-27.93
22.88,59.13,-29.42
34.56,25.39,-31.01
17.31,23.44,-39.86
40.22,49.83,-22.31
19.73,53.28,31.29
-28.17,59.29,1.95
-21.09,35.34,-31.13
25.10,25.40,-36.39
25.27,13.77,-32.78
17.97,32.21,-39.17
30.57,66.10,7.12
2.91,68.97,22.08
-32.92,42.20,11.19
-28.33,35.57,-24.76
19.91,24.17,-36.49
18.52,16.35,-35.97
8.80,69.02,-19.57
6.56,75.84,-2.62
6.05,75.42,-7.73
7.96,60.39,-32.73
7.82,52.80,-38.21
6.82,50.52,-39.16
13.99,61.33,-31.32
31.68,66.65,-3.88
2.10,55.18,-34.56
31.38,62.87,11.46
-10.75,34.95,-37.24
18.51,62.27,-27.88
31.13,64.15,10.22
1.42,50.72,-38.56
-6.26,49.39,-37.33
-4.88,49.80,-37.82
