aX,aY,aZ 
-9.50,0.07,0.23
-9.57,0.16,0.24
-9.53,0.13,0.17
-9.45,0.06,0.14
-9.62,0.05,0.21
-9.49,0.40,0.28
-9.52,0.14,0.15
-8.95,-3.05,1.22
-8.81,-2.48,1.46
-9.14,-2.55,1.50
-8.67,-2.71,1.55
-8.94,-1.66,1.26
-10.75,-0.65,1.04
-8.69,-2.97,0.79
-9.66,-0.83,0.70
-9.50,-0.69,0.35
-9.45,-1.00,0.57
-9.49,-1.04,0.61
-9.57,-0.77,0.68
-9.36,-1.09,0.53
-9.57,-1.15,0.45
-9.47,-0.60,0.91
-9.39,-0.79,0.89
-9.33,-1.19,0.66
-9.39,-1.25,0.77
-9.48,-1.13,0.91
-9.63,-0.78,0.88
-9.44,-0.91,0.82
-9.23,-0.86,0.65
-9.50,-0.81,0.67
-9.62,-0.67,0.47
-9.60,-0.61,0.53
-9.53,-0.50,0.45
-9.62,-0.38,0.83
-9.59,-0.59,0.65
-9.56,-0.61,0.39
-9.65,-0.33,0.49
-9.61,-0.22,0.53
-9.60,-0.48,0.60
-9.48,-0.62,0.53
-9.49,-0.46,0.52
-9.50,-0.65,0.48
-9.50,-0.41,0.48
-9.53,-0.58,0.51
-9.53,-0.37,0.56
-9.40,-0.45,0.53
-9.54,-0.35,0.50
-9.52,-0.49,0.52
-9.50,-0.41,0.58
-9.47,-0.36,0.54
-9.45,-0.42,0.50
-9.51,-0.25,0.50
-9.52,-0.36,0.58
-9.43,-0.26,0.54
-9.61,-0.09,0.60
-9.60,-0.38,0.70
-9.56,-0.32,0.56
-9.51,-0.29,0.66
-9.58,-0.33,0.60
-9.55,-0.37,0.62
-9.51,-0.45,0.64
-9.57,-0.28,0.62
-9.53,-0.33,0.66
-9.50,-0.31,0.66
-9.50,-0.37,0.59
-9.49,-0.34,0.61
-9.59,-0.40,0.67
-9.45,-0.26,0.68
-9.48,-0.33,0.56
-9.53,-0.25,0.57
-9.53,-0.28,0.71
-9.51,-0.20,0.68
-9.58,-0.31,0.62
-9.51,-0.27,0.62
-9.51,-0.28,0.62
-9.48,-0.42,0.63
-9.52,-0.40,0.59
-9.67,-0.39,0.47
-9.59,-0.28,0.60
-9.59,-0.41,0.60
-9.51,-0.34,0.58
-9.54,-0.34,0.54
-9.52,-0.31,0.62
-9.51,-0.27,0.65
-9.54,-0.31,0.53
-9.51,-0.19,0.56
-9.56,-0.27,0.71
-9.50,-0.17,0.66
-9.51,-0.36,0.64
-9.55,-0.32,0.68
-9.52,-0.24,0.66
-9.54,-0.30,0.63
-9.54,-0.30,0.64
-9.51,-0.31,0.64
-9.52,-0.35,0.66
-9.55,-0.31,0.67
-9.52,-0.29,0.70
-9.49,-0.34,0.66
-9.54,-0.25,0.54
-9.54,-0.26,0.65
-9.51,-0.37,0.63
-9.54,-0.42,0.55
-9.55,-0.24,0.60
-9.50,-0.30,0.68
-9.60,-0.25,0.72
-9.51,-0.29,0.69
-9.52,-0.30,0.57
-9.47,-0.30,0.66
-9.53,-0.23,0.69
-9.55,-0.37,0.63
-9.61,-0.44,0.63
-9.54,-0.32,0.57
-9.60,-0.18,0.64
-9.53,-0.29,0.60
-9.53,-0.31,0.72
-9.49,-0.36,0.54
-9.45,-0.36,0.68
-9.58,-0.23,0.55
-9.55,-0.34,0.57
-9.54,-0.37,0.64
-9.53,-0.18,0.69
-9.78,-0.78,0.60
-9.31,-0.51,0.89
-9.39,-0.01,0.67
-9.47,0.39,0.76
-9.45,0.40,0.20
-9.79,0.48,-0.13
-9.76,0.22,0.63
-9.62,0.24,1.25
-9.46,0.45,0.70
-9.55,0.41,0.63
-9.31,-0.43,-0.12
-10.04,0.96,0.22
-9.84,-0.87,0.98
-9.20,-0.44,0.24
-9.84,-0.21,0.71
-9.43,0.06,0.29
-9.56,-0.15,0.66
-9.54,0.13,0.40
-9.60,0.06,0.52
-9.55,-0.00,0.41
-9.56,0.09,0.55
-9.60,-0.06,0.32
-9.64,-0.10,0.48
-9.49,0.14,0.46
-9.63,-0.27,0.54
-9.90,0.18,1.43
-9.69,0.35,2.02
-9.23,1.27,3.80
-8.24,2.35,4.83
-6.92,3.25,5.43
-4.92,4.82,6.21
-4.10,5.77,6.23
-3.04,6.56,6.45
-2.14,4.21,6.08
-1.42,5.69,6.24
-1.66,6.12,7.31
-1.63,6.68,7.02
-1.15,6.21,6.66
-1.16,7.62,6.56
-0.89,7.16,6.57
-0.76,6.62,6.16
-0.75,7.20,7.09
-0.48,4.91,7.47
-0.82,5.72,7.93
-1.02,3.86,8.87
-1.11,5.44,7.38
-1.12,5.52,7.59
-0.89,5.30,7.45
-0.91,4.85,7.81
-0.87,4.92,8.00
-1.02,4.95,7.85
-1.14,5.35,8.05
-0.88,4.64,7.87
-0.94,4.82,8.05
-0.80,6.23,8.11
-0.13,5.11,7.62
-0.22,5.58,7.49
-0.43,5.83,7.53
-0.30,5.49,7.80
-0.73,5.51,8.36
-1.01,4.84,7.87
-0.75,6.12,8.14
-0.28,5.79,7.20
-1.00,8.38,6.02
-0.41,8.54,5.09
-0.23,9.17,3.25
-0.43,9.51,2.03
-0.37,9.82,0.55
-0.77,10.37,-1.37
-0.73,10.42,-2.33
-0.93,10.17,-3.26
