gX,gY,gZ 
-0.37,2.01,2.01
-5.07,3.85,3.85
-18.86,3.54,27.16
-10.68,-4.70,23.07
-80.02,9.64,51.70
113.46,-15.01,-58.72
127.26,-9.77,-419.80
189.58,448.24,273.74
516.72,287.84,528.69
153.44,363.04,-774.6
-100.89,312.44,-534.
-114.32,583.98,29.05
478.70,558.29,357.48
991.03,336.91,-0.31
-2.32,358.64,-592.59
162.41,333.74,-371.3
205.44,589.29,-214.9
-312.32,-336.12,423.
78.12,-80.93,359.68
52.37,-10.74,390.01
178.89,-3.23,214.97
407.84,541.50,-27.95
-94.06,122.38,-407.2
-353.70,357.67,-213.
-96.92,309.08,-142.7
143.13,410.46,354.98
219.79,33.14,397.40
547.67,274.17,129.39
309.14,253.78,-109.5
41.02,200.50,-497.19
-35.03,232.73,-148.2
-71.66,445.01,97.41
-92.22,392.21,192.81
99.37,-25.70,312.13
648.80,177.80,-217.3
1.83,-16.78,-10.31
-187.01,-43.40,20.39
-145.32,17.40,14.95
-10.74,-8.06,3.05
9.58,-3.17,-0.49
412.90,308.47,105.96
-206.30,-201.17,-33.
404.54,304.32,107.79
20.14,154.11,84.11
-710.21,-579.41,-240
454.10,536.62,135.74
-158.87,-333.74,-118
-731.08,-516.42,-104
227.17,96.92,-242.25
2.26,53.71,-41.08
-4.21,2.75,0.55
3.05,-0.31,-1.59
4.58,-0.79,-2.69
0.43,-2.38,-4.33
-4.03,-2.14,-2.62
-2.87,-1.34,-2.81
-4.03,-0.55,-1.16
-2.50,0.24,-0.37
-0.43,-2.01,0.61
4.70,-2.81,1.34
2.14,-1.83,-0.49
-1.77,-3.85,-2.99
-0.73,-4.15,-2.93
-3.54,-3.97,-5.00
0.37,-3.48,-3.66
1.04,-4.27,-4.09
0.00,-3.91,-4.76
-3.72,-0.37,-6.23
0.24,-1.04,-2.14
0.37,0.55,-1.10
-4.58,1.40,1.04
-8.18,-3.36,-4.27
-5.74,1.16,-4.46
-8.67,3.72,-2.81
-6.90,-0.92,2.38
-14.89,-1.77,-3.17
2.99,-3.30,-3.85
0.00,-1.40,-4.33
-3.42,1.40,-4.70
-8.67,6.10,-2.50
-7.51,3.78,0.12
0.67,2.75,0.73
1.65,1.53,1.46
3.72,-0.06,1.22
-0.31,0.61,0.79
0.92,1.22,1.40
-2.32,2.20,1.22
0.12,1.10,0.98
-1.34,1.71,1.04
-0.79,1.71,0.37
0.67,1.16,0.31
3.17,-0.43,0.31
3.11,0.06,1.65
-3.85,-0.37,-1.46
5.25,0.18,0.55
2.32,-0.06,1.71
2.99,1.71,0.49
3.66,1.40,2.20
2.08,1.34,0.85
1.65,1.53,0.79
1.34,0.67,1.34
-0.24,1.46,0.92
0.61,0.61,0.55
-0.98,1.10,0.43
0.12,0.73,0.06
0.18,1.34,0.79
-0.06,1.22,0.61
-0.37,1.04,-0.24
-0.24,1.65,0.06
-0.18,1.34,0.67
-0.31,1.59,0.49
-0.31,1.16,0.49
-0.92,1.04,0.31
-1.34,1.34,0.49
-0.55,1.16,0.37
1.10,0.79,0.24
-0.06,1.04,0.92
-1.04,1.28,0.79
0.31,1.34,1.22
1.10,0.73,0.79
0.55,0.92,0.55
2.56,0.55,0.31
3.05,-0.06,0.79
1.83,0.73,0.61
0.49,1.10,0.31
0.43,1.16,0.43
1.10,0.85,0.49
1.71,0.79,0.24
-0.43,1.22,0.43
0.67,0.00,0.37
-2.75,0.61,-1.53
3.36,0.12,0.79
3.11,1.16,2.14
5.68,-0.37,2.75
3.30,0.85,2.14
3.91,-1.34,0.18
-0.55,-1.77,-0.67
5.25,-1.28,0.43
13.37,-2.32,0.12
0.73,3.48,0.31
2.75,0.49,0.85
2.69,0.67,0.92
-1.46,-0.98,-2.62
-11.05,1.46,-3.36
-3.85,0.79,-1.59
2.93,-0.49,-3.60
-5.07,4.76,1.89
-7.69,2.69,1.40
-1.53,0.79,-1.77
-2.38,1.71,-0.98
2.93,0.06,0.79
0.24,0.31,0.73
2.69,-0.18,0.98
2.75,0.67,1.10
1.22,0.43,0.18
1.71,0.67,0.67
2.14,0.67,0.00
1.22,0.73,-0.43
2.38,0.31,-0.06
1.34,0.73,0.85
1.28,0.61,1.10
-0.49,1.04,0.31
-1.40,1.34,0.37
-0.12,0.73,-0.06
-2.32,1.34,0.31
-1.34,1.10,0.79
-2.08,0.67,0.73
0.31,0.55,1.04
-2.08,1.71,-0.43
1.65,1.40,-0.06
0.55,2.14,-0.73
3.91,-0.43,-0.31
3.17,3.36,3.23
3.78,-1.53,-1.89
10.86,-1.95,2.14
-5.49,-0.43,-3.30
-4.70,3.72,0.85
3.42,-2.38,-1.59
-0.43,-1.71,0.24
-8.54,-0.85,-1.22
-5.68,0.31,-0.49
-3.36,1.34,-0.24
0.92,1.83,2.87
-1.16,0.73,0.55
0.98,0.85,0.49
0.61,1.77,2.14
0.92,-1.10,-0.85
0.67,1.28,-2.38
-0.18,2.38,-2.56
2.26,1.95,0.55
-10.86,4.52,-0.49
-0.43,2.87,-0.79
5.49,3.85,2.20
-1.04,3.66,0.06
2.14,0.43,1.04
-1.46,1.04,-0.61
-2.87,2.01,0.67
2.20,1.46,0.00
0.98,0.24,-0.61
2.32,-1.46,-1.16
-4.52,2.75,1.89
-3.54,2.26,1.65
2.87,2.69,0.31
4.76,0.18,1.46
6.10,0.18,0.73
4.64,-1.89,2.01
-1.65,1.65,0.85
-0.31,1.83,-0.24
4.03,0.37,2.26
-2.44,2.38,0.43
-13.43,2.87,-2.62
-4.33,2.44,-1.22
-1.95,0.24,-1.16
0.43,-2.32,-0.98
1.59,0.98,2.44
2.87,-0.06,2.38
2.20,1.22,1.77
4.46,1.59,2.01
4.46,3.72,4.76
-4.82,1.34,-0.67
-0.37,1.77,-0.18
2.01,0.43,1.10
6.35,0.00,1.40
2.14,2.50,2.69
1.83,0.37,0.37
-1.83,0.92,-0.67
-5.68,3.72,0.43
-4.94,2.44,-1.34
-1.34,1.59,-0.67
2.81,0.43,0.31
1.53,0.49,0.67
1.59,0.06,0.92
-1.83,1.28,1.28
-2.08,1.28,-0.85
-0.31,1.71,1.22
2.38,0.12,0.79
2.14,1.10,0.79
2.75,0.55,0.67
1.89,0.79,0.79
-0.61,1.46,0.00
-1.77,2.44,0.06
3.54,0.31,1.40
-4.76,3.05,2.14
-6.53,3.97,-2.01
-5.25,3.91,-1.34
-11.23,5.13,-3.11
-11.78,5.37,-0.37
-10.07,5.00,-3.85
9.52,-1.16,3.78
-8.73,3.85,-3.78
7.14,-0.43,4.03
-2.81,3.66,0.24
-4.58,2.08,-4.03
7.32,0.43,5.37
-2.87,3.48,2.69
18.43,-4.64,2.38
24.41,0.85,12.82
37.48,4.58,12.08
15.08,9.77,9.58
27.22,4.39,6.41
22.46,3.54,6.35
13.61,-2.14,3.23
4.15,-1.46,-3.11
-4.09,1.83,-0.85
-1.40,2.32,-0.37
-3.30,5.25,-2.01
-18.07,0.06,1.28
-4.21,-1.16,7.63
-1.34,-0.37,-6.47
-10.38,0.98,-7.32
-13.18,0.67,-3.78
-12.63,4.46,6.29
-14.71,2.26,3.54
-3.91,-2.44,1.95
-2.62,-3.85,-3.11
-8.97,-1.16,-4.70
-4.88,0.49,-0.24
-2.56,-0.85,1.53
-13.24,0.43,0.67
-10.01,-0.73,-2.20
-13.85,3.66,-1.77
-1.10,0.67,1.28
5.62,1.95,-3.54
-8.61,2.62,0.00
0.55,-2.32,-2.01
-1.46,0.55,-8.18
-4.70,4.76,-5.07
-5.49,2.14,-6.53
1.59,0.67,5.80
3.91,-3.05,7.87
18.31,-4.39,3.54
7.93,-2.01,2.99
-2.44,1.40,-3.11
-2.93,4.27,-1.59
7.93,0.92,5.62
6.16,-0.98,-4.15
7.75,2.08,2.26
-0.06,0.61,1.95
-1.22,-1.28,-7.08
-0.73,4.21,2.08
4.09,0.18,3.42
-1.65,2.38,-5.31
-0.31,2.26,6.16
-6.77,0.98,-0.79
-2.75,-0.98,-6.47
-0.73,2.26,3.17
0.43,0.85,1.65
-0.98,0.73,-4.39
-1.95,2.32,0.31
5.68,-1.16,4.46
3.05,-0.49,-4.33
-1.83,2.32,2.38
3.23,-0.49,4.58
-1.77,0.06,-6.65
-7.93,4.52,2.32
0.18,1.28,2.75
-2.44,1.22,-5.86
-8.24,4.21,4.64
1.10,0.92,0.61
-1.53,1.53,-4.94
-4.09,2.01,4.82
0.98,0.12,1.77
-3.54,0.18,-4.82
-4.33,2.87,5.80
5.98,-1.46,0.85
0.85,0.85,-4.09
1.83,1.22,6.84
2.26,0.67,-0.31
-4.94,1.95,-4.09
1.77,1.71,5.74
1.89,0.31,-1.04
-1.65,0.37,-4.09
-4.27,3.17,7.08
1.59,0.24,-0.55
-3.85,1.95,-5.37
-5.49,4.58,5.37
-0.37,2.32,-1.71
3.42,0.31,-4.46
4.27,-1.59,5.07
1.53,-0.92,-3.72
-1.40,0.61,0.00
4.52,-0.12,6.84
2.56,0.49,-1.77
-2.20,1.77,-3.85
4.64,-0.18,5.31
0.85,0.61,0.55
0.61,0.73,-4.15
4.88,-1.22,4.27
3.11,-0.98,-1.46
-0.43,-0.37,-4.33
1.10,1.22,5.74
1.16,-0.12,-2.20
0.43,2.08,1.71
0.24,1.34,5.25
4.27,-1.59,-1.46
1.65,0.31,-2.26
-1.59,2.81,5.19
1.65,-0.24,-0.92
-0.31,0.31,-4.09
-4.39,2.99,5.55
3.05,-0.31,0.79
-0.43,-1.34,-4.33
-3.05,1.34,-1.65
6.10,-0.37,4.82
2.20,-1.28,-2.87
-0.18,0.18,-3.78
-3.17,3.23,5.00
3.54,0.31,3.17
-0.12,0.18,-1.04
-0.73,-0.18,-4.46
5.37,0.31,4.58
1.16,0.37,-1.71
-0.67,0.79,-2.75
3.60,1.28,5.92
6.10,-0.92,-0.12
-1.40,0.37,-3.36
5.13,0.24,8.12
3.66,0.12,1.71
-2.50,1.46,-1.95
-0.98,3.17,7.75
2.20,0.31,0.67
-1.16,1.46,-4.33
-5.68,4.21,5.19
2.87,0.61,1.04
0.12,0.00,-4.76
-3.78,3.97,5.86
2.14,0.18,0.79
-4.46,1.77,-3.17
1.59,0.98,4.94
0.92,0.55,-2.26
-1.71,1.40,-1.59
5.31,0.00,4.33
1.53,0.31,-2.69
-1.59,1.83,0.00
0.79,1.83,1.83
0.37,0.31,-3.48
-3.97,2.62,4.46
1.53,0.24,0.67
0.92,1.04,-2.32
-2.87,2.75,3.05
3.23,-0.06,1.10
-1.71,0.92,-4.15
-2.44,2.81,3.42
-1.34,0.61,0.00
-0.49,0.55,-3.11
-3.42,2.14,2.81
2.50,0.73,1.10
2.69,-0.24,-0.92
-1.65,1.10,-3.30
3.30,0.12,3.23
2.56,-0.55,-2.38
-6.47,8.73,-0.67
-90.21,27.83,-9.58
-89.97,25.09,-9.34
-63.42,16.66,7.26
-24.72,0.12,25.51
-21.85,-2.08,25.94
-9.52,7.14,-0.73
-29.11,12.88,-30.88
-37.17,15.56,-60.67
-37.17,7.26,-121.77
-28.14,-17.46,-125.6
-14.83,-38.45,-116.3
34.79,-58.11,-105.96
28.87,-63.96,-81.67
60.55,-55.85,-45.35
35.40,-60.79,-24.84
19.71,-53.59,-21.67
4.76,-50.23,-37.54
0.79,-17.64,-26.98
-38.09,58.65,33.57
-38.70,105.41,42.79
-28.44,101.81,41.20
-34.91,85.08,37.78
-29.85,69.58,40.89
-82.64,62.50,81.18
-39.79,55.73,78.31
-16.36,6.16,26.49
37.66,-35.10,-37.29
53.71,-60.61,-80.87
51.15,-70.37,-94.85
0.31,-84.23,-92.41
1.40,-107.42,-54.20
14.65,-92.35,-33.87
35.64,-67.57,-19.23
18.49,-21.67,1.71
-27.22,46.20,29.91
-31.80,97.23,54.38
-1.59,110.66,53.16
8.73,85.94,62.68
-18.62,56.34,46.51
-23.86,30.15,76.23
-49.80,12.21,78.55
-12.33,-5.13,59.02
-4.52,-1.53,16.11
7.08,-19.59,-25.70
28.08,-29.11,-67.26
63.72,-30.33,-79.90
2.56,-55.66,-69.89
7.02,-88.07,-64.21
25.39,-88.81,-28.69
31.43,-72.02,-15.32
34.18,-64.70,-18.74
43.82,-34.30,-22.77
-21.55,75.56,54.32
-45.41,114.01,54.69
-46.33,111.45,36.38
-34.00,81.60,38.57
-42.91,64.82,46.69
-65.98,42.79,46.20
-23.62,32.65,57.25
-21.73,1.40,23.44
27.28,-21.61,-5.55
40.47,-39.55,-47.49
33.20,-46.45,-43.27
30.40,-56.40,-48.83
35.77,-81.42,-66.83
31.62,-78.98,-36.56
34.61,-65.12,-32.17
36.99,-49.62,-19.41
6.47,12.57,11.23
-10.74,78.74,52.25
-47.73,105.77,68.60
-27.10,83.37,52.67
-35.46,54.93,45.84
-52.43,53.10,67.20
-61.65,36.07,58.59
-50.11,31.19,55.48
11.41,-6.96,14.65
40.53,-44.56,-44.68
55.66,-57.80,-70.98
34.91,-65.25,-70.74
16.05,-80.51,-51.76
23.99,-90.27,-36.25
51.27,-98.94,-32.10
48.16,-108.09,-20.87
-7.69,20.20,12.88
-60.06,103.64,58.47
-89.11,129.52,44.98
-39.92,100.89,26.49
-38.76,72.39,35.10
-43.40,67.32,47.73
-49.93,59.45,46.08
-25.51,48.40,45.72
18.25,9.28,33.14
35.28,2.62,11.96
34.00,15.01,30.46
-47.42,17.58,57.98
-11.72,16.05,72.69
17.52,20.69,28.56
26.37,19.23,4.76
63.66,4.94,-16.36
63.05,-25.51,-39.79
85.02,-60.06,-45.29
104.31,-62.62,-24.90
133.67,-69.52,-6.10
27.47,-43.03,64.39
5.98,-31.43,86.06
-17.76,-24.41,64.58
-44.86,-15.08,30.46
5.74,11.66,-4.58
-17.33,21.85,-17.52
-91.92,2.01,-137.70
130.62,-106.02,-151.
23.62,-47.73,-87.95
-30.58,35.83,70.56
-49.93,54.14,124.27
-84.53,63.29,152.04
-47.24,39.67,57.98
28.93,-62.62,-62.07
67.50,-77.21,-99.43
74.83,-98.63,-117.86
-0.67,-52.31,-43.76
-19.04,103.58,102.54
-66.10,106.51,120.36
-14.34,65.37,131.16
-45.35,14.83,59.33
16.91,-34.55,-24.66
78.74,-83.62,-94.18
55.54,-72.33,-105.22
27.77,-79.71,-68.73
-58.65,34.85,21.24
-11.47,86.85,107.18
-46.63,94.60,118.04
-67.75,96.56,97.78
-16.05,37.84,67.87
3.11,-52.55,-49.38
94.67,-96.19,-102.17
98.75,-78.86,-112.30
50.96,-82.21,-66.89
-61.22,35.64,13.55
62.07,110.41,92.65
33.45,92.10,113.83
2.99,61.83,138.55
-79.47,30.70,99.12
-31.62,-66.59,-41.81
9.09,-95.70,-99.00
52.19,-126.89,-130.3
-5.55,-63.42,-135.07
-40.04,-47.85,-44.07
25.57,24.54,30.40
17.27,86.73,56.76
13.67,189.45,63.05
-1.89,207.95,52.37
-39.37,130.49,22.22
-25.02,36.13,-1.89
-72.02,11.72,-4.76
-37.84,-0.31,29.05
-71.35,33.57,29.72
-42.36,25.02,33.26
51.51,-29.48,-14.77
57.13,-58.41,-43.21
33.87,-68.36,-73.43
38.82,-109.19,-93.26
-8.06,-144.90,-79.83
-11.05,-133.00,-54.8
-76.42,-24.17,-0.55
-11.84,124.21,31.80
30.33,145.69,67.08
-41.20,148.62,65.43
-19.23,105.47,51.27
12.51,62.50,44.62
-92.47,59.14,46.88
1.10,28.99,57.13
-20.39,-5.62,-7.63
110.23,-18.31,-30.76
-22.52,-44.13,-89.05
26.92,-174.74,-100.7
63.48,-170.59,-85.82
-5.68,-119.75,-10.38
7.14,-30.64,35.89
1.22,42.36,1.34
-17.52,123.78,9.09
-73.43,148.13,57.19
-61.16,125.31,51.33
-39.92,81.85,41.99
-35.58,67.63,66.77
13.37,2.26,22.89
46.57,-49.80,-35.64
77.58,-98.51,-53.28
42.66,-169.25,-67.75
39.86,-144.96,-59.75
-30.88,-78.00,0.61
6.77,16.54,35.52
5.92,84.17,15.32
-32.17,124.27,38.27
-45.41,135.50,39.12
-13.92,100.34,12.51
-31.37,45.29,35.34
-34.24,56.09,71.96
-39.31,-9.70,0.37
60.61,-63.11,-40.10
22.16,-142.15,-64.88
5.86,-127.32,-25.51
44.68,-111.94,-1.53
25.82,-54.81,34.42
-39.79,48.22,10.31
17.76,116.09,24.84
-24.90,143.62,48.46
-48.22,104.92,53.83
-46.57,45.78,46.33
-25.15,25.45,39.12
24.05,-10.99,10.86
24.78,-8.54,12.70
-1.28,13.31,38.45
51.64,10.25,57.50
69.09,-14.71,50.11
158.02,-82.64,77.64
84.59,-75.62,17.64
-42.85,-26.61,-24.72
15.56,-35.40,-51.64
4.03,-21.79,9.03
-2.14,-4.70,13.92
13.79,10.07,-4.03
40.65,-0.31,8.30
3.72,-5.49,4.94
-1.89,2.14,1.53
30.88,-2.38,4.64
-63.66,8.54,-18.55
-64.58,4.39,-22.09
-52.12,29.66,-31.31
-62.62,45.72,-53.04
-30.27,44.07,-73.73
-19.04,22.71,-84.11
33.14,13.00,-77.70
6.90,15.81,-67.50
