gX,gY,gZ 
0.76,0.10,0.25
0.72,0.10,0.17
0.10,-0.06,0.19
0.35,-0.12,0.21
0.49,0.17,0.08
0.33,-0.08,0.49
0.39,-0.14,0.33
0.70,0.14,0.16
0.74,0.04,0.25
0.74,-0.12,0.16
0.19,0.08,0.06
0.02,-0.12,0.08
0.06,-0.17,0.10
0.14,-0.06,0.10
0.47,-0.16,0.16
0.29,-0.04,-0.12
0.08,0.04,0.14
0.31,0.02,0.37
0.52,0.16,0.49
1.24,0.21,0.39
1.48,0.45,0.35
1.17,0.12,0.85
1.30,0.14,0.68
1.48,0.31,0.39
1.17,-0.10,0.27
0.97,-0.17,0.14
0.49,-0.10,0.14
-0.06,-0.21,0.17
-0.25,-0.12,0.10
-0.10,-0.06,0.06
-0.04,-0.04,0.12
0.51,0.02,0.08
0.54,0.17,0.19
0.60,0.04,0.33
0.27,-0.04,0.27
0.41,0.10,0.12
0.29,-0.06,0.45
0.35,-0.25,0.21
0.80,0.10,0.12
0.72,0.08,0.17
0.51,-0.06,0.06
0.31,0.10,0.12
0.41,-0.14,0.25
0.19,-0.02,0.12
0.56,0.00,0.21
0.14,-0.04,0.14
0.23,0.04,0.08
0.21,0.08,0.35
0.47,0.02,0.31
0.58,0.14,0.10
0.93,0.14,0.37
0.39,-0.08,0.51
0.45,-0.02,0.45
0.58,0.14,0.25
0.89,-0.10,0.08
0.45,-0.04,0.12
