aX,aY,aZ 
1.34,9.78,1.59
1.57,9.71,1.64
1.22,9.67,1.54
1.26,10.63,1.66
1.13,9.90,1.54
1.04,9.96,1.54
1.17,10.22,1.61
0.91,9.90,1.56
1.05,9.34,1.25
1.10,9.88,1.47
1.07,10.18,1.12
1.04,10.09,1.14
0.90,9.62,1.26
1.26,10.01,1.22
1.10,9.92,1.17
1.16,9.89,1.07
1.21,10.08,1.10
1.28,10.16,1.25
1.15,10.21,1.29
1.30,9.75,1.25
1.31,10.09,1.34
1.23,9.76,1.58
1.34,9.77,1.27
1.55,10.14,1.91
1.60,9.46,2.02
1.69,9.41,2.00
1.77,10.19,1.93
1.07,9.14,1.75
1.80,9.87,1.85
1.70,9.75,1.70
1.99,10.66,1.84
1.55,9.95,1.96
1.71,9.64,1.68
1.69,9.57,1.45
1.75,10.08,1.71
1.66,9.49,1.81
1.65,9.82,1.93
1.64,9.27,1.67
1.70,9.81,1.84
1.77,10.13,1.63
1.50,9.62,1.55
1.92,10.24,1.58
1.74,9.46,1.58
1.53,10.01,1.52
1.46,9.28,1.55
1.68,9.22,1.76
1.45,9.54,1.67
1.64,9.62,1.70
1.63,9.19,1.55
1.94,10.00,1.71
1.64,10.17,1.63
1.74,10.03,1.86
1.49,9.52,1.50
1.66,9.94,1.70
1.73,9.86,1.57
1.80,9.36,1.56
1.70,9.71,1.53
2.11,10.16,1.57
1.70,9.81,1.69
1.66,9.20,1.49
1.79,9.96,1.42
2.04,10.12,1.54
1.87,10.20,1.52
1.89,10.06,1.48
1.80,9.75,1.58
1.70,10.06,1.64
1.63,9.57,1.43
2.12,10.41,1.49
1.80,9.56,1.47
1.79,9.89,1.40
1.61,9.59,1.54
1.94,9.34,1.39
1.94,9.45,1.34
1.67,9.16,1.51
1.70,9.31,1.42
1.58,9.39,1.49
2.04,9.61,1.58
1.75,9.36,1.44
2.08,9.85,1.52
1.90,10.07,1.58
2.05,10.30,1.47
2.46,10.43,1.47
2.07,10.11,1.49
1.74,9.25,1.40
1.98,9.21,1.32
2.40,9.92,1.28
2.42,10.15,1.60
1.98,9.80,1.29
1.93,9.87,1.45
2.00,9.21,1.30
2.08,9.86,1.31
2.08,9.29,1.43
2.07,10.04,1.27
2.08,9.84,1.39
2.05,9.73,1.13
1.80,9.48,1.34
2.14,10.14,1.30
2.05,10.12,1.28
2.19,10.34,1.57
1.91,9.92,1.48
2.00,9.75,1.17
2.17,9.61,1.14
2.02,9.63,1.12
2.11,10.03,1.15
2.02,9.77,1.20
2.37,10.13,1.15
2.28,10.41,1.36
1.84,9.28,1.36
1.62,9.28,1.29
1.88,9.79,1.30
2.15,10.62,1.21
1.74,9.37,1.25
2.18,10.03,1.33
2.13,10.15,1.31
2.03,9.19,1.17
2.35,10.27,1.29
2.12,9.53,1.16
2.10,9.39,1.05
1.91,9.78,1.33
2.22,10.05,1.13
1.97,10.01,1.24
2.01,10.21,1.19
2.12,10.07,1.08
2.02,10.07,1.15
2.27,10.28,1.04
1.75,9.38,1.08
2.04,10.16,0.99
1.90,9.31,1.09
2.13,9.72,1.06
2.20,9.72,1.07
2.10,9.86,1.06
2.04,9.62,1.09
2.30,10.54,1.08
2.05,9.42,1.09
1.72,9.13,1.12
1.99,9.36,1.03
2.01,10.11,0.99
2.21,10.07,0.96
1.75,9.24,0.94
1.94,9.65,1.13
2.25,10.30,1.08
2.16,10.07,1.00
1.77,9.31,0.95
1.86,8.82,0.79
1.95,10.32,1.06
1.85,9.16,0.93
1.68,9.04,0.91
1.92,9.93,1.13
2.39,10.63,0.99
1.83,9.29,1.02
2.29,9.88,0.90
2.09,10.79,1.10
2.10,10.16,1.07
2.21,9.44,1.13
2.24,9.36,1.02
1.90,10.16,1.10
2.14,9.73,0.98
2.40,10.30,0.83
1.87,9.85,0.79
1.80,9.34,0.81
