mX,mY,mZ 
1.07,-54.13,26.86
0.89,-55.02,28.41
0.18,-53.95,27.38
1.25,-55.02,25.83
1.97,-53.95,27.03
2.32,-53.95,26.69
3.04,-54.66,26.00
0.54,-54.30,26.00
2.68,-56.10,25.66
2.86,-54.84,24.45
2.68,-55.74,25.31
2.14,-56.28,24.45
1.43,-53.41,24.80
3.22,-54.84,25.14
1.97,-55.02,24.28
2.86,-55.56,25.83
2.68,-56.10,24.28
2.14,-56.28,25.14
1.61,-55.74,26.00
0.54,-56.10,24.11
3.04,-54.66,25.66
0.89,-55.02,26.35
1.25,-53.59,27.72
0.71,-53.77,26.17
0.18,-55.74,27.72
1.07,-55.56,28.58
1.07,-54.48,26.52
0.89,-53.23,27.72
1.79,-53.77,25.83
1.97,-53.95,26.52
1.43,-54.13,27.21
1.97,-52.51,26.00
1.79,-54.48,27.21
1.61,-54.30,27.03
-0.36,-54.48,26.86
0.54,-55.02,26.00
2.14,-55.56,28.93
0.36,-54.13,26.17
0.71,-54.84,26.52
0.54,-56.46,25.31
1.97,-53.95,25.31
1.07,-54.48,25.83
1.97,-52.87,25.66
1.61,-54.66,25.31
0.54,-55.02,23.94
1.43,-55.92,26.17
1.79,-55.92,24.80
1.07,-54.84,26.17
1.25,-55.38,26.35
1.07,-54.48,25.31
0.00,-55.56,26.17
0.36,-55.56,25.83
1.07,-55.56,25.14
0.36,-54.48,24.80
1.61,-56.10,24.62
0.89,-53.95,25.31
0.00,-54.84,25.48
1.25,-55.74,25.31
0.36,-54.84,26.17
-0.18,-54.66,24.97
0.54,-55.74,23.94
0.89,-54.66,24.97
0.89,-54.66,26.00
2.14,-55.92,25.48
0.00,-55.56,25.48
-0.36,-54.48,25.48
0.54,-55.02,25.31
0.54,-55.74,23.59
0.71,-55.20,25.48
-0.71,-54.84,24.11
0.36,-55.56,24.80
-0.71,-54.48,25.48
-0.18,-54.30,26.69
0.36,-55.56,28.24
-0.18,-53.95,24.28
-1.79,-55.92,25.83
-1.07,-54.13,26.17
-0.18,-55.38,25.31
-0.54,-54.66,24.62
-0.89,-56.81,25.31
-0.89,-55.38,23.59
0.36,-55.20,25.48
0.71,-55.92,25.48
-1.07,-55.20,25.14
-1.97,-56.46,24.62
-0.71,-56.28,23.42
-1.79,-55.92,26.17
0.71,-55.20,24.45
-1.07,-55.92,24.80
-1.25,-55.74,24.62
-0.54,-56.10,24.62
-0.54,-56.10,24.97
0.00,-55.56,23.07
0.36,-54.84,25.48
-0.54,-55.74,24.28
0.18,-54.66,24.28
0.36,-57.35,25.14
-1.07,-55.56,25.48
-0.89,-56.81,23.94
-0.36,-55.56,23.76
-0.18,-55.74,24.28
0.71,-56.63,22.04
-0.89,-54.30,23.94
0.71,-56.28,24.45
-1.79,-54.84,24.11
-1.07,-55.20,23.07
-0.36,-55.20,25.14
0.89,-55.38,24.97
-0.54,-55.38,24.97
-0.89,-54.66,24.62
0.18,-54.66,25.31
-0.18,-56.10,24.28
-1.25,-55.74,25.66
-0.36,-56.28,23.76
-0.36,-56.28,24.11
-1.25,-55.02,24.97
-0.89,-55.74,24.28
-1.97,-55.74,24.97
0.00,-56.63,22.73
-1.43,-55.20,24.11
-1.25,-55.74,24.62
0.36,-55.92,23.76
-1.97,-55.74,23.25
1.43,-55.92,23.07
-2.32,-56.81,24.62
-1.25,-55.74,24.28
0.36,-57.35,24.80
-1.97,-55.74,23.25
-0.18,-54.30,23.59
0.54,-54.66,23.59
-0.54,-56.10,25.31
0.18,-55.74,24.62
-1.07,-54.84,24.11
-0.54,-56.10,24.62
0.00,-55.56,22.04
-2.32,-55.74,25.66
-1.25,-56.10,23.59
-1.25,-57.17,23.94
-1.61,-55.38,23.25
-0.54,-55.38,24.28
-1.43,-55.92,22.04
0.18,-56.81,24.28
-1.43,-55.92,23.42
-1.25,-56.10,24.62
-1.25,-57.17,23.59
0.00,-56.63,22.73
-0.89,-57.89,22.56
0.36,-56.99,22.39
0.89,-56.46,23.25
-0.89,-56.46,23.25
-0.89,-56.81,25.31
-1.07,-55.92,23.07
0.00,-56.99,23.76
-0.54,-55.02,22.56
-0.71,-55.20,23.76
-0.54,-56.46,22.56
-0.36,-56.28,23.07
1.07,-57.71,24.11
0.00,-56.63,21.70
0.18,-56.10,23.25
-0.18,-56.46,23.59
-0.89,-55.38,23.59
0.18,-57.53,21.87
0.54,-56.10,24.62
0.00,-56.28,23.76
1.07,-56.28,22.39
-0.36,-56.28,23.42
0.00,-55.56,21.70
-0.71,-57.35,22.73
-1.43,-55.56,23.07
-1.61,-56.10,22.90
0.00,-56.28,21.70
0.54,-56.46,22.21
-1.61,-56.81,23.25
-0.71,-56.28,23.07
-0.36,-56.28,22.73
-0.54,-56.46,22.56
-0.36,-56.28,22.73
0.18,-57.89,22.21
-0.36,-55.56,23.07
0.00,-56.99,21.35
-0.54,-56.46,22.21
-0.36,-57.35,22.73
0.00,-56.99,23.07
1.61,-56.10,21.52
0.18,-55.02,21.18
0.18,-56.10,21.52
2.32,-56.81,23.94
1.97,-56.10,20.49
0.71,-56.99,24.45
2.14,-56.63,23.07
3.22,-57.35,22.04
2.32,-56.10,22.56
3.22,-56.28,23.42
3.75,-56.81,22.56
4.64,-56.63,22.73
4.29,-55.56,21.70
3.39,-55.74,22.56
2.86,-56.63,23.07
4.82,-56.10,22.56
4.11,-56.81,21.87
3.04,-57.53,22.21
4.29,-55.92,20.32
3.57,-57.71,22.39
3.57,-56.28,21.70
4.82,-56.81,21.52
4.29,-58.07,22.04
3.57,-56.28,21.70
5.72,-56.63,23.07
4.47,-56.10,20.84
4.11,-55.74,22.90
3.75,-55.02,22.56
2.86,-56.63,21.01
4.64,-57.35,21.01
4.11,-56.46,21.52
4.82,-57.89,21.18
3.93,-56.28,21.70
3.75,-57.89,22.21
4.29,-55.92,22.39
3.93,-57.71,21.70
3.57,-58.07,22.04
3.39,-56.46,21.87
3.57,-55.20,21.70
3.75,-56.46,21.52
3.93,-55.92,22.39
3.93,-56.99,21.70
3.39,-56.10,21.52
4.11,-55.74,21.87
2.68,-56.81,21.87
3.93,-57.35,22.39
4.47,-57.53,21.18
4.64,-56.63,20.66
3.93,-56.99,20.66
