aX,aY,aZ 
-0.96,0.60,-7.90
-0.98,0.05,-7.76
-0.83,0.02,-7.57
-0.71,0.19,-7.49
-0.95,-0.16,-7.74
-0.85,0.03,-7.54
-0.65,-0.27,-7.76
-1.74,-2.63,-8.76
-0.70,-2.86,-5.24
-1.70,0.49,-6.30
-1.27,5.29,-5.53
-0.66,8.39,-6.38
2.26,8.37,-5.54
2.25,5.19,-7.40
1.95,-0.02,-7.55
0.88,-1.86,-8.62
1.40,-0.68,-7.19
-4.51,-2.73,-12.45
0.40,-0.42,-2.84
-2.98,-1.95,-3.62
-4.59,-2.71,-5.85
-3.85,-2.12,-5.04
-3.21,-3.76,-4.97
-1.54,-0.82,-8.37
-1.18,-1.18,-8.32
1.42,0.45,-7.60
1.56,4.16,-7.21
2.12,8.20,-4.96
3.01,10.57,-3.68
3.92,11.18,-3.10
3.96,9.40,-4.12
3.27,8.08,-6.83
2.49,3.25,-5.90
2.75,4.85,-8.89
2.79,0.97,-7.69
1.72,-2.71,-6.24
1.19,-2.87,-6.22
3.12,-3.23,-0.57
-3.55,-5.65,-8.72
-0.20,-4.12,-4.47
0.82,-4.91,-4.48
1.54,-4.76,-5.22
3.06,-6.78,-3.88
2.36,1.13,-7.53
0.53,1.62,-8.94
0.82,5.57,-7.83
0.60,7.03,-6.66
0.79,8.88,-6.51
0.18,5.20,-7.64
0.24,1.40,-7.42
1.12,-2.32,-5.70
0.02,3.16,-8.42
-0.21,2.36,-8.46
1.65,-2.27,-5.07
-0.27,1.82,-8.66
0.64,-2.49,-6.43
0.13,0.72,-7.68
0.98,-2.04,-6.17
0.11,-1.83,-6.85
-0.50,0.26,-9.09
0.34,1.26,-7.28
1.48,0.43,-7.62
0.87,1.89,-12.17
4.64,-0.11,-11.37
1.72,0.29,-7.83
1.70,0.28,-7.82
1.74,0.29,-7.80
1.69,0.33,-7.85
