mX,mY,mZ 
33.41,-17.38,1.55
35.19,-18.46,0.52
35.73,-18.64,2.41
36.26,-19.18,1.21
36.08,-19.36,0.00
36.26,-19.54,0.86
35.91,-20.97,0.17
38.23,-20.07,-1.38
37.34,-21.33,-0.17
36.44,-22.22,-3.10
37.16,-21.15,-1.38
37.34,-22.76,-2.93
37.16,-23.30,-2.07
37.51,-22.94,-2.07
38.76,-23.48,-5.34
38.94,-22.94,-5.17
37.87,-25.09,-3.79
37.69,-25.27,-3.27
39.84,-23.84,-5.34
38.23,-22.94,-4.48
38.23,-23.66,-4.48
37.87,-24.73,-3.44
37.69,-23.12,-4.30
38.41,-23.12,-3.96
37.51,-23.66,-3.79
39.66,-24.73,-3.44
38.94,-22.94,-3.44
38.94,-23.66,-4.48
38.05,-23.12,-3.62
38.76,-23.48,-4.30
39.12,-23.48,-3.62
39.84,-22.40,-4.65
38.94,-22.58,-3.44
38.76,-23.48,-4.30
38.76,-24.55,-3.96
37.69,-24.91,-3.96
37.51,-25.45,-3.79
38.05,-23.84,-3.62
39.84,-23.84,-3.96
40.19,-24.91,-5.34
38.23,-24.37,-3.79
38.23,-25.45,-3.79
39.12,-25.99,-3.62
38.05,-25.63,-5.34
38.59,-25.09,-5.51
39.30,-25.45,-4.13
39.48,-24.91,-4.30
37.87,-24.37,-5.51
38.94,-25.45,-3.79
39.66,-24.73,-4.48
39.12,-25.63,-3.96
38.76,-25.99,-4.30
38.59,-24.37,-5.51
39.48,-24.91,-3.62
38.59,-25.81,-3.79
38.05,-24.20,-3.27
40.37,-25.45,-4.13
38.05,-25.63,-3.27
39.30,-24.02,-4.82
38.94,-23.66,-3.44
38.41,-26.35,-4.99
36.98,-24.91,-5.68
38.05,-25.63,-4.65
39.12,-25.99,-4.65
39.48,-23.84,-4.99
39.12,-24.91,-3.96
38.59,-25.45,-5.17
38.23,-24.37,-4.13
39.12,-23.84,-4.65
39.84,-24.55,-3.27
39.48,-24.55,-3.96
38.94,-24.37,-5.51
37.51,-25.81,-3.79
38.76,-24.91,-2.93
38.94,-23.30,-3.10
40.19,-24.20,-4.99
39.66,-24.02,-3.10
38.59,-25.45,-4.13
39.66,-24.37,-5.51
37.51,-26.53,-3.79
38.94,-24.73,-4.48
38.41,-25.99,-3.27
39.30,-26.53,-5.17
39.48,-25.99,-5.68
38.59,-24.37,-3.79
40.01,-24.37,-4.13
38.94,-26.17,-3.44
37.69,-25.27,-5.34
39.48,-25.27,-4.65
39.30,-25.45,-3.79
39.12,-25.27,-4.99
37.87,-26.88,-4.13
39.12,-25.27,-2.24
39.12,-24.55,-2.93
38.94,-24.73,-4.82
38.59,-25.81,-4.13
38.94,-24.73,-5.17
38.76,-24.91,-3.96
38.94,-25.09,-4.48
38.76,-24.55,-4.30
38.76,-24.91,-3.96
38.59,-24.73,-3.79
39.48,-25.99,-4.65
38.41,-25.27,-4.65
39.66,-25.09,-4.48
38.94,-26.17,-5.17
38.59,-26.53,-3.79
39.48,-26.35,-4.65
40.73,-25.81,-4.13
40.01,-25.81,-4.13
39.12,-24.55,-3.27
38.05,-25.27,-4.30
38.59,-24.37,-4.13
39.66,-25.81,-3.10
39.84,-24.55,-4.65
36.98,-24.55,-4.30
39.84,-24.55,-4.99
38.76,-25.63,-3.62
38.94,-24.37,-5.51
38.94,-24.73,-5.17
39.48,-25.63,-2.58
40.37,-24.73,-5.85
38.41,-25.99,-5.34
37.69,-26.35,-2.93
38.94,-25.81,-4.13
37.51,-25.09,-4.48
39.12,-25.99,-4.65
