gX,gY,gZ 
-0.45,0.54,-0.27
0.78,0.06,-0.64
-0.87,0.33,-0.76
-0.25,0.25,-0.76
-1.15,-0.31,-0.33
0.84,0.27,-0.66
0.54,0.56,-0.31
0.66,0.49,-0.17
0.99,0.84,-0.33
-0.62,0.25,-0.62
0.02,0.31,-0.82
-0.89,0.51,-0.41
0.51,0.29,-0.68
-0.27,0.31,-0.47
-0.62,0.37,-0.35
0.06,0.58,-0.23
-0.21,0.35,-0.47
-0.14,0.52,-0.80
0.39,0.49,-0.37
0.84,0.52,-0.35
0.45,0.56,-0.23
0.04,0.27,-0.21
0.29,0.54,-0.23
0.72,0.52,-0.21
0.37,0.47,-0.43
0.08,0.19,-0.58
1.38,0.29,-0.58
0.14,-0.16,-0.82
-1.67,0.25,-0.04
0.25,0.35,-0.31
-0.17,0.27,-0.47
-0.14,0.35,-0.47
0.60,0.08,-1.15
-0.54,1.28,-0.06
0.45,0.91,-0.27
1.09,0.72,-1.40
-0.02,1.34,-0.23
2.56,0.14,1.19
1.73,-0.47,-0.25
2.78,-1.22,-1.28
-1.83,0.41,-0.25
-1.55,0.39,-0.25
-1.30,0.12,-0.43
-2.86,0.41,-0.27
-1.34,0.62,0.25
-2.72,0.64,1.07
-1.11,0.49,0.06
0.04,0.51,-0.47
0.08,0.17,-1.07
1.03,0.49,-1.26
0.12,0.29,-0.31
0.84,0.51,-0.76
1.69,0.64,-0.49
-0.80,0.17,-0.99
-0.14,0.70,-0.35
-0.23,0.02,-0.64
1.03,0.68,-0.56
-0.14,0.49,-0.04
0.27,0.16,-0.80
-0.45,0.37,-0.49
-0.35,1.13,-0.19
-1.05,2.31,-0.56
1.59,1.38,0.37
1.20,0.14,-0.89
0.10,0.41,-0.25
0.54,0.29,-0.99
0.45,0.45,-0.41
-1.65,0.51,0.02
-0.99,-0.02,-0.16
-0.19,0.06,-0.85
0.54,-0.17,0.49
1.11,0.04,-0.95
-0.21,0.78,-0.84
