gX,gY,gZ 
0.78,1.50,-0.14
0.78,0.12,-1.01
-0.21,-0.12,-1.20
-1.30,-0.25,-1.05
-1.88,0.29,-0.84
-0.23,-0.35,-0.60
1.52,-0.47,-0.51
0.52,-0.54,0.12
-3.77,0.93,-0.70
-0.29,-0.31,-0.51
0.37,0.14,-0.56
-0.31,0.10,-0.47
0.85,0.39,-0.10
0.29,0.12,-0.33
-0.91,0.49,-0.41
-0.19,0.21,-0.19
0.87,0.23,-0.08
1.28,1.01,-0.85
3.52,0.04,-0.35
0.54,0.39,0.66
2.35,0.76,0.14
0.97,1.57,-0.29
1.98,0.70,0.04
-0.19,0.29,-0.17
0.39,0.04,-0.68
2.99,-0.58,-0.64
-0.84,0.17,-0.62
-1.44,1.09,-0.56
-0.60,1.30,-0.68
5.38,-1.34,-0.06
3.42,-0.21,0.23
0.35,0.14,-0.29
-1.30,0.64,-0.08
0.31,-0.16,0.27
0.58,0.62,-0.41
-2.23,1.05,-0.31
-1.98,1.28,-0.33
0.04,-0.08,-0.37
3.91,-0.95,-0.33
0.72,-0.49,-0.16
3.05,-0.43,-0.47
0.02,-0.02,-0.35
0.97,0.14,-0.80
0.66,0.72,-0.39
-0.95,0.99,-0.41
-1.83,0.99,-0.47
1.38,-0.12,-0.51
0.80,-0.10,-0.39
0.89,0.41,-0.82
3.83,-0.58,-0.74
0.76,0.68,-0.19
-0.76,0.70,-0.10
2.55,-0.37,-0.33
-0.80,1.52,-0.19
-0.54,0.60,-0.37
0.91,1.24,-0.52
0.43,1.26,-0.62
-1.75,1.34,0.12
-1.79,0.52,-0.21
0.60,1.13,-0.52
0.02,0.54,-0.99
1.48,0.64,-0.68
1.13,0.00,-0.21
2.20,0.64,-0.19
1.79,-0.41,-0.17
-0.51,0.10,-0.19
-1.94,1.44,-0.17
-1.15,0.47,-0.21
0.29,0.49,-0.41
0.78,0.47,-0.45
3.17,-0.33,-0.16
-2.02,1.42,-0.35
-3.01,1.52,-0.17
-0.31,0.52,-0.08
-0.99,1.30,-0.56
-1.34,1.13,0.06
-2.06,0.60,-0.29
1.69,-0.16,-0.35
-0.84,0.10,-0.85
-0.76,0.45,-0.41
3.69,-0.60,-0.14
-0.43,0.54,-0.47
-2.93,1.63,-0.58
-2.66,1.90,-0.68
1.26,0.21,-0.31
-1.36,1.11,-0.49
3.07,-0.78,-0.68
0.06,1.36,-0.27
2.60,0.29,-0.43
-2.66,1.61,-0.54
-0.35,-0.33,-0.70
1.07,0.35,-0.62
0.51,0.16,-0.62
-1.40,1.50,-0.62
0.62,0.27,-0.19
2.76,-0.06,-0.47
2.64,-0.41,-0.54
-1.48,0.85,-0.60
1.53,0.08,-0.16
0.74,0.43,-0.52
-1.94,0.76,-0.64
1.61,0.47,-0.56
-1.48,1.55,-0.51
0.00,0.49,-0.62
-0.45,0.43,-0.80
1.59,-0.08,-0.41
-3.61,1.67,0.29
-3.07,0.62,-0.43
0.74,-0.31,-0.62
-3.96,1.85,-0.06
-0.78,1.46,-0.37
2.02,-0.85,-0.60
-1.13,1.19,-0.84
-1.85,0.25,-0.64
2.00,0.33,-0.35
-2.21,1.75,-0.14
-2.37,0.80,-0.27
2.06,-0.06,-0.47
0.72,-0.25,-0.72
-0.78,0.89,-0.17
2.06,-0.25,-0.51
0.80,-0.17,-0.62
2.51,-0.14,-0.80
0.70,0.33,-0.56
-2.66,1.81,-0.23
1.38,0.68,-0.31
1.73,0.06,-0.35
-0.51,0.87,-0.41
-0.49,1.03,-0.23
1.13,0.04,-0.58
1.52,0.21,-0.72
3.05,-0.23,-0.51
-4.22,1.87,-0.54
-3.44,1.63,-0.45
1.28,0.12,-0.78
1.26,-0.06,-0.54
1.15,0.41,-0.52
-2.58,1.36,-0.21
0.87,-0.39,-0.45
2.64,0.02,-0.64
2.45,-0.62,-0.47
-2.89,1.53,-0.62
-2.18,0.76,-0.45
6.16,-1.44,-0.66
-3.28,2.12,-0.35
-2.84,0.56,-0.47
2.08,-0.23,-0.78
4.59,-0.54,-0.58
-2.02,0.62,-0.45
3.96,-0.89,-0.31
1.40,-1.03,0.33
-0.56,0.84,-0.33
-1.44,1.38,-0.58
-3.03,0.47,-0.47
1.88,-0.25,-0.60
1.36,-0.35,-0.85
-0.76,0.76,-0.54
-2.93,1.73,-0.89
-2.29,1.48,-0.84
-1.81,0.64,-0.97
-1.59,1.79,-0.97
-2.55,1.53,-0.52
-1.98,0.49,-0.72
-0.16,0.62,-0.82
0.27,0.49,-0.52
-1.52,0.66,-0.70
-1.20,0.89,-0.82
2.76,-0.19,-0.12
-0.29,0.89,-0.27
-0.82,0.35,-0.47
2.02,0.21,-0.49
0.04,0.87,-0.64
1.28,0.33,-0.64
1.34,0.33,-0.68
-0.19,0.31,-0.29
1.38,-0.12,-0.49
0.37,-0.08,-0.56
-0.27,0.82,-0.72
1.79,-0.16,-0.66
2.56,-0.08,-0.76
1.67,-0.19,-0.52
1.92,-0.02,-0.52
3.15,-1.17,-0.54
2.21,0.19,-0.80
1.15,-0.21,-1.07
1.57,-0.29,-1.57
-1.17,0.80,-1.26
-2.74,1.50,-0.74
1.57,0.23,-0.19
0.62,0.45,-1.09
-1.32,1.05,-1.55
-1.52,0.08,-1.85
1.98,-0.60,-1.63
-1.24,0.89,-1.40
-0.16,0.49,-1.22
-0.82,0.62,-1.26
-3.07,0.76,-0.72
0.45,0.02,-0.66
2.16,-0.21,-0.49
2.21,-0.14,-0.23
1.19,0.47,-0.29
2.39,-0.17,-0.29
3.24,-0.12,-0.39
0.16,0.60,-0.27
-1.28,1.11,-0.23
1.85,-0.52,-0.39
-1.85,0.10,-0.23
1.94,-0.49,-0.43
1.87,0.16,-0.49
0.95,0.54,-0.10
2.60,-0.78,-0.14
-1.32,0.95,-0.23
-1.53,0.27,-0.49
-0.19,0.64,0.33
4.25,-1.20,-0.99
-1.94,0.33,-0.39
-0.72,0.99,-0.56
-1.36,1.88,-0.66
-2.33,0.87,0.12
-1.11,0.62,-1.28
-2.55,1.13,-0.82
0.64,0.84,-0.62
-0.54,0.43,0.33
-0.02,-0.33,0.16
0.02,0.54,-0.10
-1.90,0.99,-0.29
1.81,-0.70,-0.29
-0.04,0.27,-0.80
2.45,-0.08,-0.56
1.19,0.72,-0.08
0.85,0.47,-0.17
-0.54,0.66,-0.64
-0.12,1.01,-0.33
-0.04,0.47,-0.70
-1.17,1.15,-0.41
-0.10,0.87,-0.52
1.20,0.85,-0.02
0.23,0.31,-0.37
2.45,0.43,-0.31
2.23,0.35,-0.29
-0.74,-0.16,-0.33
-1.46,0.27,-1.30
0.31,-0.21,-0.56
1.11,0.82,-0.21
2.64,0.76,0.45
2.86,-0.02,-0.56
-5.46,1.57,-0.95
-1.94,1.09,0.19
-2.16,1.19,-0.16
-2.16,0.66,-1.19
1.11,-0.04,-0.85
-1.17,0.62,-0.51
-1.19,0.72,-0.62
0.00,-0.19,-1.48
1.40,0.41,-1.09
-1.53,0.33,-0.49
2.29,-0.14,-0.35
3.15,0.29,-0.37
0.35,0.51,-0.35
-0.78,0.95,-0.58
0.72,0.31,-0.72
1.96,-0.35,0.25
-0.54,0.62,-0.35
-1.81,0.97,-0.45
-0.99,0.93,-0.49
0.00,0.64,-0.74
-0.35,1.11,-0.33
-1.05,0.91,-0.45
-1.75,1.07,-0.85
-1.05,-0.14,-0.56
1.48,0.31,-0.41
-2.00,1.28,-0.04
2.80,0.21,-0.56
6.94,-0.33,-0.35
1.38,1.07,-0.97
1.28,0.51,-0.70
-1.88,1.73,-1.57
-0.16,0.39,-1.77
0.95,-0.95,-1.09
-0.31,1.88,-0.43
-0.39,1.05,-1.05
2.14,0.58,-1.07
0.54,1.36,-0.70
-0.72,0.08,-1.32
1.15,-1.11,-0.47
-0.49,0.33,-0.12
0.54,1.52,-0.58
1.19,1.40,-0.31
-0.72,1.09,-0.87
-2.89,3.15,-0.06
2.20,-0.74,0.12
-0.72,0.27,-0.68
0.21,-0.41,-0.39
1.85,-0.02,-0.78
0.70,-0.06,-0.95
4.29,-0.91,-0.17
2.23,-0.04,-1.11
3.92,-0.12,-0.87
2.84,-0.87,-1.24
-0.58,0.51,-0.45
-1.53,1.15,-0.58
1.48,-0.02,-0.74
0.43,1.13,-0.29
1.81,0.45,-0.12
0.47,0.56,-0.31
0.93,0.45,-0.19
0.12,0.66,-0.02
1.44,0.35,-0.16
0.82,0.41,-0.49
3.42,0.19,-0.43
0.72,0.16,-0.45
1.85,-0.27,-0.68
-1.13,1.07,-0.10
0.04,0.10,-0.43
2.35,-0.60,-0.49
1.79,0.16,-0.64
-2.18,2.20,-0.21
-2.64,1.09,-0.60
-1.36,0.58,-0.68
-2.53,1.32,-0.49
1.26,0.29,-0.68
1.07,0.35,-0.43
-2.49,1.75,-0.16
0.66,0.80,-0.64
0.95,-0.33,-0.62
0.93,-0.27,-0.51
0.21,0.31,-0.35
-1.59,1.52,-0.47
-2.21,1.73,-0.31
0.70,0.21,-0.51
-0.25,1.01,-0.08
2.27,-0.78,-0.41
0.37,0.76,-0.14
-0.33,0.23,-0.47
0.62,0.25,-0.52
1.42,0.68,-0.29
0.49,0.21,-0.00
-0.78,0.84,-0.64
1.92,-0.37,-0.54
-1.94,1.53,-0.87
-1.22,1.09,-0.52
0.04,0.60,-0.68
1.32,0.00,-0.39
1.34,0.00,-0.39
-0.93,1.09,-0.25
0.04,0.19,-0.33
0.62,0.16,-0.93
1.55,0.33,-0.19
0.33,0.14,-0.25
-2.70,1.07,-0.80
-0.68,0.82,-0.41
-1.59,1.09,-0.27
2.00,-0.06,-0.54
1.24,0.41,-0.23
1.30,-0.08,-0.60
0.89,0.62,-0.84
0.35,-0.27,-0.68
2.25,-0.21,-0.84
2.00,-0.52,-0.64
2.33,-0.58,-0.64
0.87,-0.25,-0.49
1.71,-0.16,-0.43
-1.75,1.11,-0.33
-0.27,0.76,-0.85
1.61,-0.25,-0.80
0.04,0.80,-3.63
0.91,0.29,-7.05
-1.03,0.08,-9.27
0.74,1.55,-13.35
2.84,0.06,-15.15
2.70,-0.84,-13.46
1.87,-2.51,-15.45
6.59,-3.83,-15.04
10.92,-6.37,-15.81
10.71,-8.35,-16.90
8.55,-10.12,-15.00
14.94,-11.87,-11.81
12.20,-10.03,-10.82
15.06,-8.32,-8.30
4.82,-4.86,-4.82
10.08,-5.30,-5.07
2.02,-3.07,-2.08
0.85,1.26,-0.68
-2.20,1.22,2.95
-1.53,-1.11,-1.15
4.16,-0.51,-3.05
-2.51,2.62,-1.52
0.91,-0.21,-1.92
3.01,-2.93,-2.51
-7.05,-0.16,-0.10
-4.68,1.01,1.03
1.15,0.25,-0.52
-2.99,4.08,1.61
-1.98,1.01,-0.51
-3.17,-2.78,-1.28
-6.99,2.02,1.65
-5.87,1.96,1.77
-2.08,0.89,0.47
-11.56,0.19,2.70
-5.54,2.23,-0.70
-4.20,1.81,-1.67
0.23,1.77,-2.37
3.07,0.33,-0.91
-3.48,1.03,0.02
1.67,0.47,0.21
4.22,-0.23,-0.72
1.15,0.06,-1.20
1.19,0.35,-0.33
1.44,0.37,-0.41
2.20,0.17,-0.91
0.70,0.33,-0.29
0.23,0.25,-0.16
-0.68,0.91,-0.35
-0.16,0.23,-0.35
-1.11,0.52,-0.45
-1.46,0.89,-0.33
-0.54,0.72,-0.31
-0.97,0.64,-0.37
2.56,0.14,-0.85
2.06,0.08,-0.14
-1.32,0.80,-0.12
-0.62,0.21,-0.25
0.00,0.72,-0.31
0.43,0.37,-0.12
0.45,0.49,-0.25
-0.58,0.62,-0.17
0.80,0.60,-0.76
2.27,-0.16,-0.70
-0.35,1.03,-0.29
0.56,0.72,-0.70
0.51,0.68,-0.35
1.81,-0.27,-0.43
1.15,-0.41,-0.78
0.16,0.21,-0.41
-0.35,0.70,-0.49
0.47,0.37,-0.60
0.52,0.25,-0.56
0.00,0.76,-0.35
0.21,0.54,-0.41
-0.17,0.27,-0.33
0.31,0.49,-0.47
0.16,0.54,-0.41
-0.31,0.70,-0.56
0.23,0.16,-0.60
-0.51,0.49,-0.16
0.12,0.31,-0.60
-0.51,0.68,-0.52
4.18,-0.66,-0.33
-1.36,0.78,0.95
-0.54,-0.21,-1.85
-2.49,0.66,-0.56
-0.70,0.06,-0.56
-1.26,0.72,0.04
-1.15,0.87,-0.51
-1.07,0.66,-0.95
-1.11,0.78,-0.51
0.85,0.35,-0.51
0.80,-0.21,-0.85
-0.49,0.23,-0.49
1.75,0.35,-0.51
0.93,0.78,-0.74
-0.10,0.84,-0.56
0.02,0.68,-0.29
-0.76,0.60,-0.89
0.72,0.21,-0.43
0.21,0.89,-0.39
1.07,0.21,-0.23
0.84,0.45,-0.70
1.52,0.23,-0.87
0.78,0.45,-0.62
0.60,1.03,-0.64
0.87,0.19,-0.51
-0.45,0.58,-0.21
0.82,0.10,-0.41
-0.68,0.08,-0.51
1.38,0.54,-0.51
0.35,0.60,-0.43
0.84,0.51,-0.51
1.38,0.33,-0.66
-0.29,0.62,-0.51
0.58,0.06,-0.52
0.08,0.70,-0.62
0.08,0.68,-0.58
-0.06,0.21,-0.23
0.35,0.49,-0.35
0.25,0.39,-0.54
0.37,0.16,-0.33
0.58,0.49,-0.70
0.06,0.25,-0.45
0.43,0.02,-0.35
-0.82,0.52,-0.52
0.37,0.78,-0.87
0.17,0.52,-0.35
-0.43,0.64,-0.58
0.02,1.07,-0.51
0.16,0.64,-0.64
-0.43,0.76,-0.68
0.23,0.37,-0.85
0.93,0.06,-0.51
-0.84,0.74,-0.25
-0.17,0.72,-0.29
-0.97,0.93,-0.29
-0.72,0.99,-0.52
-0.70,0.25,-0.02
0.02,0.43,-0.66
0.25,0.80,-0.58
1.07,0.25,-0.29
-0.78,0.84,-0.27
-0.74,0.87,-0.60
1.24,0.29,-0.56
1.17,0.27,-0.10
-0.41,0.37,-0.51
1.53,0.64,-0.99
-0.37,0.78,-0.39
-0.29,0.78,-0.23
-1.17,0.39,-1.22
-0.10,1.88,-2.66
2.10,-0.19,-0.51
-1.53,-0.04,0.64
-1.44,0.43,-0.45
-0.78,0.68,-0.68
0.23,0.19,-0.14
1.42,1.05,-0.68
0.17,0.76,-0.39
0.04,0.17,-0.41
0.62,1.03,-1.07
-0.58,0.64,-0.23
0.89,0.23,-0.78
1.24,0.58,-0.64
0.45,0.23,-0.54
0.60,0.60,-0.58
-0.76,0.97,-0.39
0.91,0.60,-0.82
-0.99,0.76,-0.23
1.13,-0.08,-0.47
-2.23,0.99,-0.19
0.93,0.12,-0.37
0.27,0.68,-0.54
0.04,0.64,-0.45
0.23,0.06,0.08
1.46,-0.27,-0.76
2.04,-0.08,-0.66
0.25,0.16,-0.39
-0.68,1.26,-0.72
0.14,0.29,-0.31
0.95,0.37,-0.31
-1.30,0.06,0.21
-0.54,0.47,-0.45
0.85,0.45,-0.31
0.95,0.35,-0.54
1.42,0.31,-0.68
-0.02,0.39,-0.47
-0.93,1.03,-0.41
0.87,0.17,-0.54
-0.91,1.26,-0.60
0.29,0.16,-0.21
-0.41,0.66,-0.49
0.19,0.19,-0.47
-1.19,1.11,-0.45
0.31,0.51,-0.45
-0.08,0.72,-0.62
0.29,0.37,-0.56
0.47,0.29,-0.60
0.35,0.74,-0.54
-0.02,0.91,-0.47
-0.29,0.45,-0.47
0.58,0.54,-0.51
0.37,0.51,-0.47
0.52,0.19,-0.43
0.93,0.19,-0.39
