aX,aY,aZ 
-9.66,-0.04,-1.63
-9.52,-0.22,-1.83
-9.66,-0.18,-1.69
-9.55,-0.30,-1.78
-9.64,-0.23,-1.89
-9.65,0.00,-1.57
-9.66,0.11,-1.70
-9.62,-0.11,-1.63
-9.66,-0.11,-1.68
-9.54,-0.16,-1.76
-9.58,-0.01,-1.78
-9.59,-0.23,-1.77
-9.62,-0.03,-1.59
-9.51,-0.14,-1.59
-9.68,-0.01,-1.57
-9.58,-0.01,-1.70
-9.66,-0.17,-1.72
-9.63,-0.10,-1.71
-9.61,-0.11,-1.72
-9.63,-0.13,-1.68
-9.49,-0.04,-1.70
-9.55,0.58,-1.42
-9.55,0.53,-1.40
-9.57,0.49,-1.47
-9.73,0.70,-1.34
-9.65,0.25,-1.48
-9.68,0.54,-1.58
-9.58,0.63,-1.48
-9.65,0.33,-1.53
-9.72,0.50,-1.64
-9.66,0.34,-1.73
-9.85,0.54,-1.33
-9.78,0.74,-1.36
-9.37,0.65,-1.44
-9.56,0.24,-1.39
-9.55,0.70,-1.25
-9.62,0.50,-1.28
-9.73,0.28,-1.42
-9.82,0.19,-1.49
-9.49,0.59,-1.60
-9.52,0.62,-1.62
-9.66,0.28,-1.55
-9.70,0.76,-1.53
-9.68,0.46,-1.59
-9.50,0.51,-1.70
-9.61,0.83,-1.51
-9.65,0.67,-1.59
-9.49,0.48,-1.50
-9.63,0.55,-1.47
-9.70,0.81,-1.50
-9.61,0.49,-1.68
-9.56,0.49,-1.55
-9.56,0.35,-1.63
-9.69,0.34,-1.43
-9.66,0.67,-1.58
-9.64,0.29,-1.50
-9.58,0.68,-1.72
-9.69,0.33,-1.60
-9.50,0.69,-1.65
-9.62,0.75,-1.52
-9.64,0.90,-1.39
-9.63,0.70,-1.50
-9.58,0.68,-1.44
-9.76,0.76,-1.38
-9.58,0.42,-1.51
-9.72,0.45,-1.46
-9.72,0.95,-1.39
-9.59,0.77,-1.40
-9.69,0.74,-1.54
-9.64,0.89,-1.50
-9.69,0.95,-1.65
-9.56,0.40,-1.67
-9.59,0.74,-1.68
-9.68,0.47,-1.38
-9.45,0.27,-1.57
-9.63,0.50,-1.55
-9.68,0.64,-1.51
-9.58,0.57,-1.60
-9.61,0.66,-1.58
-9.53,0.50,-1.60
-9.64,0.66,-1.47
-9.69,0.80,-1.52
-9.63,0.81,-1.62
-9.57,0.60,-1.62
-9.60,0.91,-1.56
-9.60,0.82,-1.63
-9.64,0.60,-1.64
-9.63,0.68,-1.51
-9.63,0.87,-1.56
-9.53,0.91,-1.47
-9.61,0.83,-1.38
-9.59,0.73,-1.41
-9.45,0.73,-1.45
-9.65,0.57,-1.42
-9.58,0.83,-1.32
-9.64,0.66,-1.33
-9.63,0.75,-1.47
-9.63,0.73,-1.43
-9.61,0.75,-1.36
-9.63,0.84,-1.49
-9.60,0.78,-1.42
-9.66,0.80,-1.59
-9.59,0.68,-1.45
-9.71,0.70,-1.43
-9.71,0.71,-1.38
-9.62,0.68,-1.53
-9.62,0.68,-1.37
-9.65,0.70,-1.48
-9.64,0.39,-1.51
-9.50,0.51,-1.54
-9.58,0.50,-1.46
-9.59,0.88,-1.29
-9.59,0.76,-1.55
-9.67,0.72,-1.23
-9.46,0.53,-1.66
