// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
1	0.0001	-9.06275390625	3.18597473144531	-2.21239929199219	0.326458061253416	0.945141885187753	0.0114869972752211	0.216470028687415	-0.0629292555159667	-0.974259018680492	-0.920090137390207	0.320541301026788	-0.225138653752134
2	0.0001	-9.11304931640625	3.142265625	-2.14473999023437	0.325365313947073	0.94552700241141	0.0107749798615757	0.21629948730637	-0.0633282810525927	-0.974271040629827	-0.920517215629955	0.31932462562386	-0.225121831902322
3	0.0001	-8.99808837890625	3.12490173339844	-2.21479431152344	0.324674341512891	0.945760468134281	0.0111224492625275	0.216648184604952	-0.0629169793238382	-0.974220210127127	-0.920679171085427	0.318713963652662	-0.225324817324369
4	0.0001	-9.1441845703125	3.12609924316406	-2.05612426757813	0.324203511512023	0.94593134343752	0.0102944949250216	0.216462699033186	-0.0635869462266428	-0.97421794286332	-0.92088869199841	0.318073252210961	-0.225373962953577
5	0.0001	-8.94539794921875	3.13867309570313	-2.29861999511719	0.324188765583807	0.945941218344781	0.00984152963919988	0.216798335287437	-0.0641656127570607	-0.974105361835211	-0.920814924990817	0.317927642044385	-0.225880252209558
6	0.0001	-8.91126892089844	3.29854064941406	-2.08546325683594	0.323757433742601	0.946087012040141	0.0100244573600343	0.216771507099159	-0.0638590812889633	-0.974131475442042	-0.920972984297783	0.317555323346795	-0.225759559726156
7	0.0001	-9.04239624023437	3.0799951171875	-2.24712707519531	0.323037498746311	0.9463398977492	0.00935800896352357	0.217048975444891	-0.064458843047183	-0.974030184240377	-0.921160418527658	0.316679420678156	-0.22622472865913
8	0.0001	-8.87773864746094	3.20214111328125	-2.20581298828125	0.321729072109617	0.946772029668359	0.0106361645879502	0.217551862098151	-0.0629855758793041	-0.974014375935376	-0.921499642678776	0.315682658802807	-0.226236308920736
9	0.0001	-9.02383483886719	3.036884765625	-2.07767944335938	0.319385753813816	0.9475415649439	0.0125587803725551	0.218249676931133	-0.0606553952416041	-0.974006160939211	-0.922149564214091	0.31382464168983	-0.226173109559941
10	0.0001	-9.30045959472656	2.66865051269531	-2.270478515625	0.316632552088766	0.948464544517594	0.0126029659520416	0.219647246239	-0.0603879739191281	-0.973708570274272	-0.922766988018849	0.311076036362456	-0.2274484236561
11	0.0001	-9.05497009277344	2.60158996582031	-2.62314514160156	0.315160567932327	0.948978550883741	0.0106548760278171	0.219835052020581	-0.0620774615233065	-0.973559930704798	-0.923226064582062	0.309170015902929	-0.228183117129425
12	0.0001	-9.28908325195312	2.7973828125	-2.86743713378906	0.314459662085175	0.949236581769781	0.0080642886419271	0.220092052322301	-0.0646422818609534	-0.973334918668988	-0.923403817095119	0.307849455458072	-0.229246817531527
13	0.0001	-9.06275390625	2.93210266113281	-2.38903198242188	0.313475691615227	0.949558387988487	0.00847694326170523	0.220129169401797	-0.0639812574224385	-0.973370200631352	-0.923729473138554	0.306993919319831	-0.229082068167326
14	0.0001	-9.02503234863281	2.37166809082031	-1.99385375976563	0.312633031664764	0.949834350509483	0.0086772175452462	0.21938062823464	-0.0633138198950576	-0.973582816285123	-0.924193014184523	0.306277760868341	-0.22816924799368
15	0.0001	-8.83402954101563	2.47225891113281	-1.93757080078125	0.312455452084744	0.949899506073841	0.00790688454390109	0.219513507381396	-0.0641023916014807	-0.973501260126605	-0.924221515947144	0.305911444296618	-0.228544913985678
