"Roll"	"Pitch"	"Yaw"	"RollF"	"PitchF"	"YawF"
"0.137618"	"3.13147"	"-64.2132"	"0"	"0"	"-64.2132"
"0.197233"	"3.16438"	"-64.2755"	"0"	"0"	"-64.2755"
"0.294175"	"3.25166"	"-64.3416"	"0"	"0"	"-64.3416"
"0.140738"	"3.31976"	"-64.4039"	"0"	"0"	"-64.4039"
"0.239658"	"3.29358"	"-64.4678"	"0"	"0"	"-64.4678"
"0.258138"	"3.21095"	"-64.5377"	"0"	"0"	"-64.5377"
"0.196412"	"3.46386"	"-64.5962"	"0"	"0"	"-64.5962"
"-0.0246533"	"3.00909"	"-64.6502"	"0"	"0"	"-64.6502"
"0.151079"	"3.13909"	"-64.7277"	"0"	"0"	"-64.7277"
"0.203894"	"3.07042"	"-64.7892"	"0"	"0"	"-64.7892"
"0.176469"	"3.24392"	"-64.8554"	"0"	"0"	"-64.8554"
"0.254971"	"0.206072"	"-64.9215"	"0"	"0"	"-64.9215"
"0.213678"	"-0.813379"	"-64.9283"	"0"	"0"	"-64.9283"
"0.253488"	"-6.48126"	"-65.0378"	"0"	"0"	"-65.0378"
"0.57248"	"-15.1184"	"-65.1654"	"0"	"0"	"-65.1654"
"0.527566"	"-28.5737"	"-64.8911"	"0"	"0"	"-64.8911"
"0.504991"	"-38.1669"	"-64.7056"	"0"	"0"	"-64.7056"
"0.176384"	"-42.9089"	"-64.5316"	"0"	"0"	"-64.5316"
"0.551378"	"-48.3466"	"-64.6213"	"0"	"0"	"-64.6213"
"0.557308"	"-56.1503"	"-64.8037"	"0"	"0"	"-64.8037"
"0.667944"	"-60.5827"	"-64.9215"	"0"	"0"	"-64.9215"
"0.851022"	"-72.2023"	"-65.0636"	"0"	"0"	"-65.0636"
"0.687336"	"-74.2039"	"-65.2027"	"0"	"0"	"-65.2027"
"0.893229"	"-81.1234"	"-65.3068"	"0"	"0"	"-65.3068"
"1.05806"	"-87.4493"	"-65.4003"	"0"	"0"	"-65.4003"
"0.867452"	"-88.5495"	"-65.4504"	"0"	"0"	"-65.4504"
"0.829815"	"-87.8452"	"-65.5196"	"0"	"0"	"-65.5196"
"0.822718"	"-88.6287"	"-65.6169"	"0"	"0"	"-65.6169"
"0.872144"	"-86.4688"	"-65.6822"	"0"	"0"	"-65.6822"
"0.98082"	"-87.1159"	"-65.702"	"0"	"0"	"-65.702"
"0.730555"	"-88.575"	"-65.7491"	"0"	"0"	"-65.7491"
"0.850101"	"-85.8229"	"-65.7879"	"0"	"0"	"-65.7879"
"0.80748"	"-83.2139"	"-65.7567"	"0"	"0"	"-65.7567"
"0.655453"	"-74.8497"	"-65.7681"	"0"	"0"	"-65.7681"
"0.93844"	"-69.3404"	"-65.7286"	"0"	"0"	"-65.7286"
"0.668299"	"-57.8613"	"-65.7567"	"0"	"0"	"-65.7567"
"0.798674"	"-48.3665"	"-65.7332"	"0"	"0"	"-65.7332"
"0.537673"	"-29.6683"	"-65.7256"	"0"	"0"	"-65.7256"
"0.555905"	"-24.1053"	"-65.762"	"0"	"0"	"-65.762"
"0.589485"	"-17.8994"	"-65.8092"	"0"	"0"	"-65.8092"
"0.482419"	"-10.0278"	"-65.8282"	"0"	"0"	"-65.8282"
"0.425557"	"-7.38829"	"-65.6974"	"0"	"0"	"-65.6974"
"0.641227"	"-2.5904"	"-65.642"	"0"	"0"	"-65.642"
"0.363914"	"0.584369"	"-65.686"	"0"	"0"	"-65.686"
"0.560558"	"0.0141911"	"-65.7529"	"0"	"0"	"-65.7529"
"0.478567"	"1.60235"	"-65.8206"	"0"	"0"	"-65.8206"
"0.383548"	"-0.924201"	"-65.8548"	"0"	"0"	"-65.8548"
"0.18305"	"2.56355"	"-65.9102"	"0"	"0"	"-65.9102"
"-0.00352758"	"3.37785"	"-65.9574"	"0"	"0"	"-65.9574"
"0.00704347"	"3.92629"	"-66.0212"	"0"	"0"	"-66.0212"
"0.361722"	"2.32699"	"-66.0866"	"0"	"0"	"-66.0866"
