"Roll"	"Pitch"	"Yaw"	"RollF"	"PitchF"	"YawF"
"0.0914095"	"3.22917"	"-49.7496"	"0"	"0"	"-49.7496"
"0.12334"	"3.15558"	"-49.8142"	"0"	"0"	"-49.8142"
"0.140829"	"3.16674"	"-49.8704"	"0"	"0"	"-49.8704"
"0.224516"	"3.14128"	"-49.932"	"0"	"0"	"-49.932"
"0.0634199"	"3.10204"	"-49.9913"	"0"	"0"	"-49.9913"
"0.207771"	"3.17805"	"-50.049"	"0"	"0"	"-50.049"
"0.10548"	"3.21883"	"-50.1106"	"0"	"0"	"-50.1106"
"0.442371"	"1.76975"	"-50.1684"	"0"	"0"	"-50.1684"
"0.119763"	"3.17533"	"-50.2322"	"0"	"0"	"-50.2322"
"0.0527679"	"3.11836"	"-50.2938"	"0"	"0"	"-50.2938"
"0.161532"	"3.12333"	"-50.3599"	"0"	"0"	"-50.3599"
"0.179161"	"3.09641"	"-50.4252"	"0"	"0"	"-50.4252"
"0.218063"	"3.37842"	"-50.6874"	"0"	"0"	"-50.6874"
"0.241206"	"2.89214"	"-50.7513"	"0"	"0"	"-50.7513"
"0.55902"	"0.394805"	"-51.2286"	"0"	"0"	"-51.2286"
"0.0523386"	"2.87634"	"-51.1328"	"0"	"0"	"-51.1328"
"1.01331"	"2.58841"	"-51.0173"	"0"	"0"	"-51.0173"
"6.27751"	"3.13928"	"-50.2816"	"0"	"0"	"-50.2816"
"12.6311"	"2.85076"	"-49.9221"	"0"	"0"	"-49.9221"
"19.7286"	"2.29436"	"-49.7618"	"0"	"0"	"-49.7618"
"29.3511"	"1.89888"	"-49.8894"	"0"	"0"	"-49.8894"
"38.3178"	"1.20873"	"-50.2596"	"0"	"0"	"-50.2596"
"44.3117"	"1.84319"	"-50.2178"	"0"	"0"	"-50.2178"
"51.0152"	"1.44364"	"-50.2573"	"0"	"0"	"-50.2573"
"55.7968"	"1.36133"	"-50.7087"	"0"	"0"	"-50.7087"
"62.9894"	"1.74168"	"-50.4648"	"0"	"0"	"-50.4648"
"68.9315"	"0.668598"	"-50.445"	"0"	"0"	"-50.445"
"76.2733"	"0.576917"	"-50.3082"	"0"	"0"	"-50.3082"
"80.8646"	"0.0936689"	"-50.2041"	"0"	"0"	"-50.2041"
"86.4516"	"-0.415147"	"-50.141"	"0"	"0"	"-50.141"
"89.9379"	"-0.0344429"	"-50.0346"	"0"	"0"	"-50.0346"
"87.8073"	"-0.172618"	"-50.065"	"0"	"0"	"-50.065"
"87.5649"	"-0.169269"	"-50.1235"	"0"	"0"	"-50.1235"
"87.3914"	"-0.0967707"	"-50.1965"	"0"	"0"	"-50.1965"
"87.8118"	"-0.158809"	"-50.2603"	"0"	"0"	"-50.2603"
"87.8112"	"-0.186293"	"-50.3378"	"0"	"0"	"-50.3378"
"87.2751"	"-0.140819"	"-50.5552"	"0"	"0"	"-50.5552"
"89.0049"	"-0.291915"	"-50.844"	"0"	"0"	"-50.844"
"85.1482"	"0.222888"	"-51.2612"	"0"	"0"	"-51.2612"
"77.0671"	"0.845808"	"-51.7294"	"0"	"0"	"-51.7294"
"65.1842"	"1.18589"	"-52.1482"	"0"	"0"	"-52.1482"
"53.4614"	"1.39137"	"-51.8996"	"0"	"0"	"-51.8996"
"42.371"	"0.571212"	"-52.2173"	"0"	"0"	"-52.2173"
"31.2455"	"1.08264"	"-52.557"	"0"	"0"	"-52.557"
"22.7198"	"1.81638"	"-52.3252"	"0"	"0"	"-52.3252"
"17.5854"	"2.41379"	"-51.9954"	"0"	"0"	"-51.9954"
"12.1616"	"3.55159"	"-52.4491"	"0"	"0"	"-52.4491"
"7.24072"	"3.06945"	"-53.1886"	"0"	"0"	"-53.1886"
"3.53851"	"2.45745"	"-53.1795"	"0"	"0"	"-53.1795"
"0.408937"	"3.11837"	"-53.3588"	"0"	"0"	"-53.3588"
"0.165519"	"3.26284"	"-53.425"	"0"	"0"	"-53.425"
"0.126552"	"3.34498"	"-53.4812"	"0"	"0"	"-53.4812"
"0.154482"	"3.30212"	"-53.5534"	"0"	"0"	"-53.5534"
"0.235476"	"3.99951"	"-54.0694"	"0"	"0"	"-54.0694"
"-0.588992"	"2.1414"	"-54.4084"	"0"	"0"	"-54.4084"
"-6.84648"	"1.33803"	"-55.0498"	"0"	"0"	"-55.0498"
"-15.6758"	"1.37268"	"-55.5089"	"0"	"0"	"-55.5089"
"-24.7362"	"2.79288"	"-55.876"	"0"	"0"	"-55.876"
"-30.6"	"1.89883"	"-56.256"	"0"	"0"	"-56.256"
"-35.7408"	"1.07003"	"-56.845"	"0"	"0"	"-56.845"
"-40.2119"	"1.49433"	"-57.3587"	"0"	"0"	"-57.3587"
"-45.8633"	"0.501687"	"-57.7266"	"0"	"0"	"-57.7266"
