"Roll"	"Pitch"	"Yaw"	"RollF"	"PitchF"	"YawF"
"0.196865"	"3.18664"	"-75.7386"	"0"	"0"	"-75.7386"
"0.0035231"	"3.16889"	"-75.8009"	"0"	"0"	"-75.8009"
"0.116068"	"3.24109"	"-75.8662"	"0"	"0"	"-75.8662"
"0.130138"	"3.17416"	"-75.9324"	"0"	"0"	"-75.9324"
"0.179702"	"3.15871"	"-75.9924"	"0"	"0"	"-75.9924"
"0.18236"	"3.16133"	"-76.0524"	"0"	"0"	"-76.0524"
"0.204077"	"3.16127"	"-76.1132"	"0"	"0"	"-76.1132"
"0.199887"	"3.32278"	"-76.171"	"0"	"0"	"-76.171"
"0.130334"	"3.27068"	"-76.231"	"0"	"0"	"-76.231"
"0.105859"	"3.32584"	"-76.2964"	"0"	"0"	"-76.2964"
"0.168931"	"3.35942"	"-76.3435"	"0"	"0"	"-76.3435"
"0.147947"	"3.4436"	"-76.418"	"0"	"0"	"-76.418"
"0.322843"	"3.06143"	"-77.4448"	"0"	"0"	"-77.4448"
"0.549814"	"1.73668"	"-79.303"	"0"	"0"	"-79.303"
"-0.216912"	"3.86467"	"-83.3492"	"0"	"0"	"-83.3492"
"0.606452"	"3.5487"	"-90.0091"	"0"	"0"	"-90.0091"
"-0.281211"	"3.98285"	"-97.5483"	"0"	"0"	"-97.5483"
"-0.2061073"	"4.104326"	"-105.4857"	"0"	"0"	"-105.4857"
"-0.1815683"	"4.929776"	"-112.6586"	"0"	"0"	"-112.6586"
"-1.108162"	"4.021893"	"-120.2822"	"0"	"0"	"-120.2822"
"0.09515673"	"4.130558"	"-128.1558"	"0"	"0"	"-128.1558"
"0.3809382"	"2.46111"	"-135.9686"	"0"	"0"	"-135.9686"
"-1.086423"	"5.314742"	"-144.0899"	"0"	"0"	"-144.0899"
"0.4304602"	"5.236796"	"-152.7646"	"0"	"0"	"-152.7646"
"0.05260796"	"3.565613"	"-160.7012"	"0"	"0"	"-160.7012"
"-1.020801"	"5.398369"	"-166.2204"	"0"	"0"	"-166.2204"
"-0.3423494"	"4.621404"	"-170.946"	"0"	"0"	"-170.946"
"0.01397795"	"5.628185"	"-173.8128"	"0"	"0"	"-173.8128"
"0.1304022"	"4.880118"	"-174.3402"	"0"	"0"	"-174.3402"
"-0.00702587"	"4.25456"	"-174.4025"	"0"	"0"	"-174.4025"
"0.01060824"	"4.555733"	"-174.4762"	"0"	"0"	"-174.4762"
"0.06706098"	"4.419817"	"-174.5363"	"0"	"0"	"-174.5363"
"0.1340913"	"4.758647"	"-174.5811"	"0"	"0"	"-174.5811"
"0.00708674"	"4.931371"	"-174.3387"	"0"	"0"	"-174.3387"
"-0.3877225"	"6.237366"	"-171.3671"	"0"	"0"	"-171.3671"
"-0.477797"	"5.366954"	"-165.4733"	"0"	"0"	"-165.4733"
"-0.6444173"	"5.540644"	"-158.4022"	"0"	"0"	"-158.4022"
"-0.4065876"	"4.881408"	"-150.2345"	"0"	"0"	"-150.2345"
"-1.45748"	"6.492442"	"-141.4474"	"0"	"0"	"-141.4474"
"-1.613112"	"6.472426"	"-131.5218"	"0"	"0"	"-131.5218"
"-0.9676283"	"7.411409"	"-122.2255"	"0"	"0"	"-122.2255"
"-0.3095362"	"4.637408"	"-113.2856"	"0"	"0"	"-113.2856"
"-0.2381966"	"4.865754"	"-105.1468"	"0"	"0"	"-105.1468"
"-0.381917"	"5.38274"	"-97.0938"	"0"	"0"	"-97.0938"
"-0.161553"	"4.16892"	"-89.5713"	"0"	"0"	"-89.5713"
"1.42323"	"2.50443"	"-83.8994"	"0"	"0"	"-83.8994"
"0.366493"	"4.15131"	"-79.8167"	"0"	"0"	"-79.8167"
"0.277989"	"3.50342"	"-78.695"	"0"	"0"	"-78.695"
"-0.00704604"	"4.63784"	"-78.7732"	"0"	"0"	"-78.7732"
"0.0635674"	"4.72346"	"-78.8363"	"0"	"0"	"-78.8363"
"0"	"4.76072"	"-78.8994"	"0"	"0"	"-78.8994"
"0.066918"	"4.7107"	"-78.9716"	"0"	"0"	"-78.9716"
"0.0246247"	"4.72274"	"-79.0385"	"0"	"0"	"-79.0385"
"0.0387846"	"4.8468"	"-79.1031"	"0"	"0"	"-79.1031"
"0.228979"	"4.85663"	"-79.1669"	"0"	"0"	"-79.1669"
"0.0141184"	"4.71733"	"-78.7611"	"0"	"0"	"-78.7611"
"-0.431266"	"5.83565"	"-75.1594"	"0"	"0"	"-75.1594"
"-0.0456129"	"4.19311"	"-70.8434"	"0"	"0"	"-70.8434"
"-0.983766"	"5.77907"	"-63.7397"	"0"	"0"	"-63.7397"
"0.34835"	"4.071"	"-58.0746"	"0"	"0"	"-58.0746"
"0.0314629"	"2.65082"	"-53.1164"	"0"	"0"	"-53.1164"
"-0.0315979"	"5.05521"	"-48.1338"	"0"	"0"	"-48.1338"
"-1.71068"	"4.55416"	"-40.2868"	"0"	"0"	"-40.2868"
"-0.711367"	"3.94692"	"-30.6037"	"0"	"0"	"-30.6037"
"-0.483542"	"4.96865"	"-20.2304"	"0"	"0"	"-20.2304"
"-0.6909"	"4.9671"	"-9.3252"	"0"	"0"	"-9.3252"
"0.30588"	"4.7589"	"-1.0017"	"0"	"0"	"-1.0017"
"0.80003"	"2.5636"	"8.6511"	"0"	"0"	"8.6511"
"0.940561"	"5.94591"	"12.3264"	"0"	"0"	"12.3264"
"-0.189954"	"7.85844"	"15.4455"	"0"	"0"	"15.4455"
"0.531547"	"8.36779"	"15.3892"	"0"	"0"	"15.3892"
"0.0386958"	"8.76889"	"15.3216"	"0"	"0"	"15.3216"
"0.0317495"	"8.62252"	"15.1886"	"0"	"0"	"15.1886"
"0.00703803"	"8.82536"	"14.9674"	"0"	"0"	"14.9674"
"-0.235743"	"8.66396"	"14.4119"	"0"	"0"	"14.4119"
"0.582475"	"7.90968"	"12.008"	"0"	"0"	"12.008"
"1.0119"	"3.1014"	"6.7784"	"0"	"0"	"6.7784"
"-0.64327"	"3.6039"	"-0.29412"	"0"	"0"	"-0.29412"
"0.42291"	"5.3741"	"-9.3343"	"0"	"0"	"-9.3343"
"0.182708"	"5.37668"	"-19.1102"	"0"	"0"	"-19.1102"
"1.16047"	"5.41497"	"-28.9841"	"0"	"0"	"-28.9841"
"-0.614774"	"3.36028"	"-37.3472"	"0"	"0"	"-37.3472"
"-0.932078"	"4.30468"	"-44.8833"	"0"	"0"	"-44.8833"
"-0.628999"	"6.95338"	"-52.1193"	"0"	"0"	"-52.1193"
"-0.112617"	"4.04348"	"-59.5559"	"0"	"0"	"-59.5559"
"-1.18892"	"6.00439"	"-67.4439"	"0"	"0"	"-67.4439"
"-0.766537"	"4.65342"	"-75.1002"	"0"	"0"	"-75.1002"
"-0.244181"	"4.94992"	"-82.4296"	"0"	"0"	"-82.4296"
"0.168654"	"5.51669"	"-87.6964"	"0"	"0"	"-87.6964"
"-0.0848089"	"7.17804"	"-90.0121"	"0"	"0"	"-90.0121"
"0.546341"	"4.8879"	"-90.1444"	"0"	"0"	"-90.1444"
"0.105599"	"4.32662"	"-90.1998"	"0"	"0"	"-90.1998"
"0.213363"	"7.46672"	"-90.2568"	"0"	"0"	"-90.2568"
"0.141061"	"4.72028"	"-90.3062"	"0"	"0"	"-90.3062"
"0.112402"	"4.6945"	"-90.361"	"0"	"0"	"-90.361"
"0.16609"	"4.86839"	"-90.4309"	"0"	"0"	"-90.4309"
"0.0247176"	"4.72288"	"-90.4864"	"0"	"0"	"-90.4864"
"0.080793"	"4.61369"	"-90.5418"	"0"	"0"	"-90.5418"
"0.134003"	"4.78735"	"-90.5966"	"0"	"0"	"-90.5966"
"0.105648"	"4.66069"	"-90.6574"	"0"	"0"	"-90.6574"
"1.69828"	"0.142663"	"-93.6563"	"0"	"0"	"-93.6563"
"0.297904"	"4.1601"	"-98.6336"	"0"	"0"	"-98.6336"
"0.2761986"	"3.280753"	"-105.8118"	"0"	"0"	"-105.8118"
"-0.2026904"	"4.44586"	"-114.4096"	"0"	"0"	"-114.4096"
"0.1358569"	"4.746111"	"-124.6263"	"0"	"0"	"-124.6263"
"-1.056667"	"3.976878"	"-134.3437"	"0"	"0"	"-134.3437"
"-0.8313003"	"3.978377"	"-145.4062"	"0"	"0"	"-145.4062"
"-0.8723824"	"4.519964"	"-154.3096"	"0"	"0"	"-154.3096"
"-0.3516054"	"4.501635"	"-161.9758"	"0"	"0"	"-161.9758"
"-0.4888241"	"4.259101"	"-167.8164"	"0"	"0"	"-167.8164"
"-0.2566408"	"4.504628"	"-171.9743"	"0"	"0"	"-171.9743"
"-0.2271015"	"4.644933"	"-176.1543"	"0"	"0"	"-176.1543"
"0.02117991"	"5.135944"	"-182.0413"	"0"	"0"	"-182.0413"
"-0.1342239"	"5.167552"	"-188.7582"	"0"	"0"	"-188.7582"
"-1.203195"	"4.92852"	"-196.6158"	"0"	"0"	"-196.6158"
"-1.603651"	"5.316413"	"-205.9957"	"0"	"0"	"-205.9957"
"-0.5785412"	"1.920666"	"-215.2578"	"0"	"0"	"-215.2578"
"0.1686928"	"1.089538"	"-226.1304"	"0"	"0"	"-226.1304"
"-0.1653163"	"1.720249"	"-235.426"	"0"	"0"	"-235.426"
"-2.509842"	"1.993499"	"-246.9559"	"0"	"0"	"-246.9559"
"-0.2651703"	"-0.3217405"	"-258.7564"	"0"	"0"	"-258.7564"
"-0.01749998"	"0.9485421"	"-266.6278"	"0"	"0"	"-266.6278"
"-0.2518478"	"0.06296176"	"-273.3165"	"0"	"0"	"-273.3165"
"-2.432433"	"1.124294"	"-279.8844"	"0"	"0"	"-279.8844"
"-0.7195468"	"3.190144"	"-280.4613"	"0"	"0"	"-280.4613"
"-0.2285054"	"0.210928"	"-280.5168"	"0"	"0"	"-280.5168"
"-0.2635216"	"0.50948"	"-280.573"	"0"	"0"	"-280.573"
"-0.2193094"	"0.8454308"	"-280.6292"	"0"	"0"	"-280.6292"
"-0.3140374"	"0.850398"	"-280.687"	"0"	"0"	"-280.687"
"-0.2246575"	"0.7020706"	"-280.022"	"0"	"0"	"-280.022"
"-1.086632"	"1.600361"	"-275.1337"	"0"	"0"	"-275.1337"
"-0.5510346"	"0.2281324"	"-266.3428"	"0"	"0"	"-266.3428"
"-0.7019821"	"0.750637"	"-254.4959"	"0"	"0"	"-254.4959"
"1.372899"	"0.1956111"	"-239.6698"	"0"	"0"	"-239.6698"
"-1.060416"	"1.216381"	"-224.8726"	"0"	"0"	"-224.8726"
"-0.3945849"	"1.540102"	"-211.8386"	"0"	"0"	"-211.8386"
"0.4715787"	"0.369519"	"-199.6049"	"0"	"0"	"-199.6049"
"1.329777"	"-0.8841348"	"-187.587"	"0"	"0"	"-187.587"
"0.7903062"	"-0.1736495"	"-177.3574"	"0"	"0"	"-177.3574"
"1.971337"	"-2.421868"	"-166.0623"	"0"	"0"	"-166.0623"
"-0.5347879"	"2.721583"	"-156.5478"	"0"	"0"	"-156.5478"
"-0.3696658"	"-1.116101"	"-147.1983"	"0"	"0"	"-147.1983"
"0.8227661"	"-1.411564"	"-136.2847"	"0"	"0"	"-136.2847"
"0.4335136"	"-1.470625"	"-123.4103"	"0"	"0"	"-123.4103"
"-0.04209803"	"-1.284097"	"-111.6736"	"0"	"0"	"-111.6736"
"-0.608808"	"-2.51341"	"-99.408"	"0"	"0"	"-99.408"
"1.52124"	"-0.332953"	"-87.2351"	"0"	"0"	"-87.2351"
"1.74141"	"2.61612"	"-78.6592"	"0"	"0"	"-78.6592"
"0.530094"	"-0.424073"	"-75.9901"	"0"	"0"	"-75.9901"
"0.0421979"	"-0.9917"	"-76.0486"	"0"	"0"	"-76.0486"
"0"	"-1.21708"	"-76.1072"	"0"	"0"	"-76.1072"
"0.038782"	"-0.691042"	"-76.1642"	"0"	"0"	"-76.1642"
"0.164998"	"-1.06377"	"-76.2113"	"0"	"0"	"-76.2113"
"0.0493705"	"-0.980404"	"-76.2721"	"0"	"0"	"-76.2721"
"-0.00703904"	"-0.989035"	"-76.3162"	"0"	"0"	"-76.3162"
"0.0352218"	"-0.929896"	"-76.3724"	"0"	"0"	"-76.3724"
"0.0421358"	"-1.17989"	"-76.4317"	"0"	"0"	"-76.4317"
"0.108873"	"-1.1169"	"-76.4955"	"0"	"0"	"-76.4955"
"0.145212"	"-0.952772"	"-76.5586"	"0"	"0"	"-76.5586"
"0.172729"	"-1.047"	"-76.6285"	"0"	"0"	"-76.6285"
"0.0105569"	"-1.09095"	"-76.6832"	"0"	"0"	"-76.6832"
"-0.05267"	"-1.16584"	"-76.7562"	"0"	"0"	"-76.7562"
"0.0531101"	"-0.93478"	"-76.8064"	"0"	"0"	"-76.8064"
"0.0634423"	"-1.11736"	"-76.871"	"0"	"0"	"-76.871"
"0.0913984"	"-1.39924"	"-76.9439"	"0"	"0"	"-76.9439"
"-0.0210788"	"-2.10835"	"-77.0161"	"0"	"0"	"-77.0161"
"-0.0070322"	"-2.03273"	"-76.6741"	"0"	"0"	"-76.6741"
"-0.346199"	"-2.96873"	"-72.7913"	"0"	"0"	"-72.7913"
"-0.36689"	"-2.98584"	"-69.9268"	"0"	"0"	"-69.9268"
"0.433208"	"-3.57008"	"-65.9824"	"0"	"0"	"-65.9824"
"-2.71944"	"-3.23338"	"-57.9515"	"0"	"0"	"-57.9515"
"0.506759"	"-0.517317"	"-52.1337"	"0"	"0"	"-52.1337"
"-0.75824"	"-2.71942"	"-44.8271"	"0"	"0"	"-44.8271"
"-0.482943"	"-0.549438"	"-35.4646"	"0"	"0"	"-35.4646"
"0.263627"	"-2.77443"	"-28.4339"	"0"	"0"	"-28.4339"
"-2.53658"	"-3.36295"	"-19.1725"	"0"	"0"	"-19.1725"
"1.1178"	"-3.6862"	"-8.3653"	"0"	"0"	"-8.3653"
"4.0352"	"-3.1876"	"5.8117"	"0"	"0"	"5.8117"
"6.26762"	"0.933106"	"17.3675"	"0"	"0"	"17.3675"
"-1.74108"	"-0.314606"	"28.9742"	"0"	"0"	"28.9742"
"-1.19995"	"1.85275"	"42.1724"	"0"	"0"	"42.1724"
"-0.829354"	"-4.35638"	"54.1895"	"0"	"0"	"54.1895"
"0.506405"	"-3.64504"	"69.4556"	"0"	"0"	"69.4556"
"-0.401277"	"-11.8824"	"81.6422"	"0"	"0"	"81.6422"
"4.03165"	"-0.272044"	"92.3377"	"0"	"0"	"92.3377"
"-0.766656"	"0.6056165"	"100.1566"	"0"	"0"	"100.1566"
"1.429146"	"-1.639369"	"106.1872"	"0"	"0"	"106.1872"
