aX,aY,aZ,gX,gY,gZ
-0.01,1.25,-1.55
-3.20,13.11,-12.50,-0.01,1.25,-1.55
-3.20,13.11,-12.50,-0.01,1.25,-1.55
-4.54,16.91,-15.20,-1.22,0.12,3.31
-10.35,12.18,-14.61,-2.55,0.14,3.31
-19.87,7.59,-17.97,-1.68,-0.35,3.31
-25.85,1.96,-15.85,-1.43,1.26,3.31
-24.92,-4.08,-12.31,-1.21,2.01,3.31
-27.62,-7.86,-10.67,-1.43,2.25,3.31
-18.48,-21.36,-7.01,-1.74,1.65,3.31
-1.39,-7.14,-7.64,0.96,0.71,-0.65
1.31,-5.97,-5.02,1.09,0.12,-1.21
3.35,-3.03,-7.27,0.31,-0.33,-0.76
0.60,-6.34,-10.24,-0.21,-0.06,-0.58
0.78,-4.87,-9.55,0.15,-0.02,-1.57
2.38,-2.73,-9.78,0.10,0.02,-1.71
1.25,-3.45,-8.20,-0.03,0.31,-1.80
0.23,-3.87,-7.90,0.46,-0.17,-1.84
-1.06,-5.26,-8.41,-0.08,-0.01,-2.11
-1.75,-4.92,-9.30,-0.18,0.11,-2.64
-0.86,-3.08,-9.32,0.10,0.07,-3.27
-0.27,-2.80,-9.91,0.48,-0.03,-3.41
-0.10,-2.88,-7.47,0.69,-0.05,-3.86
1.25,-0.28,-8.97,0.54,-0.34,-4.17
1.02,-0.26,-9.55,0.34,-0.01,-4.27
2.27,2.38,-9.60,0.41,0.06,-3.12
1.23,2.16,-9.73,0.92,-0.22,-4.32
2.44,1.65,-6.71,1.14,-0.32,-3.83
2.02,1.89,-10.00,0.46,-0.24,-3.63
1.21,0.37,-8.60,1.41,-0.74,-3.32
0.97,1.75,-10.99,0.62,-0.50,-4.05
1.73,0.93,-8.62,1.27,-0.46,-2.92
1.72,2.81,-11.60,0.58,-0.52,-3.51
4.48,4.68,-11.15,0.79,-0.15,-2.69
1.39,1.81,-8.67,0.66,-0.18,-2.39
3.70,3.46,-9.52,0.57,-0.23,-2.23
2.77,1.42,-9.29,0.21,-0.15,-1.17
1.92,0.38,-10.18,0.57,-0.33,-0.83
2.34,0.07,-9.66,0.54,-0.19,-1.09
2.04,-0.76,-10.09,0.11,0.09,-0.74

-2.76,15.41,-11.31,0.18,0.46,-2.69
-2.76,15.41,-11.31,0.18,0.46,-2.69
-4.40,21.37,-13.26,-0.35,0.21,-1.65
-5.32,26.17,-18.31,-1.41,0.27,2.50
-15.72,23.27,-19.44,-0.35,0.34,3.31
-20.85,15.83,-15.63,-0.01,0.83,3.31
-33.69,7.32,-12.25,0.23,2.48,3.31
-36.76,-3.28,-10.86,-1.92,3.22,3.31
-24.40,-10.72,-10.34,0.27,0.54,3.31
-21.61,-22.03,-6.04,0.76,1.44,3.31
-7.76,-13.17,-1.83,0.43,0.65,-2.22
-1.06,-8.23,-5.84,0.21,0.23,-2.61
0.23,-7.49,-4.42,-0.09,0.48,-2.56
0.46,-6.01,-5.66,0.67,-0.17,-2.70
0.86,-5.40,-9.06,0.25,-0.54,-2.83
-1.06,-5.77,-9.41,0.28,-0.28,-2.96
-0.23,-3.77,-9.87,0.52,-0.14,-3.76
0.54,-3.76,-7.46,0.68,-0.12,-3.51
-0.01,-3.32,-8.60,0.67,-0.29,-3.80
-1.19,-3.35,-8.33,0.86,-0.59,-3.92
-0.30,-0.92,-10.18,0.54,-0.63,-4.36
-1.34,-1.95,-9.05,0.68,-0.69,-4.24
-0.15,-0.90,-10.11,0.67,-0.63,-4.39
-0.59,-0.62,-11.63,0.70,-0.61,-4.18
-0.17,0.41,-10.93,0.93,-0.23,-4.23
-0.07,1.23,-11.22,0.76,-0.03,-3.95
-1.12,3.52,-11.10,0.29,-0.59,-4.14
4.50,8.69,-12.75,0.34,-0.11,-4.36
3.61,6.78,-9.40,0.97,-0.16,-2.62
3.97,3.74,-9.54,0.41,-0.16,-1.62
3.21,0.60,-9.50,0.40,-0.27,-1.07
4.09,1.11,-10.69,-0.03,0.06,-1.19
4.13,0.32,-9.17,0.50,0.22,-0.65
3.09,-1.27,-8.40,0.12,0.14,-0.78
3.90,-0.87,-9.09,0.14,0.08,-0.87
2.95,-1.93,-8.47,0.34,-0.00,-0.71
2.88,-1.52,-9.33,0.02,0.05,-1.18
3.38,-0.71,-9.28,0.24,0.03,-1.10
2.89,-1.02,-9.20,0.02,0.13,-0.92
2.92,-0.95,-9.52,0.17,0.14,-1.00

3.24,14.00,15.18,-2.43,3.08,-3.89
3.24,14.00,15.18,-2.43,3.08,-3.89
1.75,12.50,12.41,-4.22,0.38,-3.76
-1.16,15.11,12.73,-2.67,1.22,-3.28
-6.07,13.38,9.72,-1.45,-1.82,-3.33
-7.10,13.57,7.03,-2.12,-2.80,-2.75
-7.68,14.88,3.33,-0.87,-3.57,-2.33
-7.55,15.28,1.30,-0.01,-4.27,-1.49
-10.34,14.72,-1.72,-0.40,-4.27,-0.39
-9.56,13.93,-8.41,-0.45,-4.27,0.99
-13.82,9.16,-11.51,-0.68,-4.27,1.33
-9.49,6.28,-20.71,-1.66,-4.27,0.69
0.46,9.50,-12.37,0.61,-0.28,-1.57
2.95,9.54,-6.88,0.36,0.71,-1.07
2.89,7.37,-6.75,0.08,0.82,-0.83
2.94,9.47,-3.41,0.22,1.34,-1.24
1.30,10.11,-5.11,-0.21,1.73,-1.09
-0.12,11.22,-4.47,0.27,2.21,-1.01
0.21,9.29,-3.38,1.10,2.17,-0.96
-0.92,10.49,-3.55,0.93,3.12,-0.68
1.94,13.86,1.41,1.23,3.15,-1.19
1.37,8.12,5.02,2.04,3.35,-0.75
-0.27,11.26,1.99,1.83,3.24,-1.48
1.23,8.26,4.90,2.47,4.29,-1.54
1.11,13.59,6.78,0.75,3.19,-1.70
2.62,10.01,9.87,1.67,1.48,-1.63
1.46,12.23,5.16,0.60,-0.32,-2.34
2.54,12.32,4.05,-1.22,1.56,-1.09
3.14,11.80,2.69,0.82,0.66,-1.39
2.98,9.82,2.54,1.02,0.42,-1.33
2.77,9.69,1.35,-0.33,0.33,-1.33
2.49,9.48,1.85,0.27,0.30,-1.25
2.56,10.18,1.25,-0.18,0.22,-1.17
2.53,10.20,0.95,0.13,0.13,-1.14
2.29,9.81,0.79,0.25,0.11,-1.11
2.71,10.44,0.99,0.17,-0.01,-1.07
2.25,9.99,0.68,0.46,-0.05,-1.04
2.44,9.79,1.08,0.39,0.06,-1.06
2.59,9.86,0.94,0.27,-0.04,-1.06
-3.51,13.15,10.65,-0.16,-0.77,-0.92
-3.51,13.15,10.65,-0.16,-0.77,-0.92
-3.51,13.15,10.65,-0.16,-0.77,-0.92
-3.51,13.08,12.79,-0.28,-1.15,-0.84
-4.45,12.68,15.66,-0.81,-2.76,-0.87
-7.21,13.73,14.12,-1.13,-4.27,-1.31
-14.46,14.58,4.38,-0.69,-4.27,-0.92
-17.80,14.49,1.30,-1.40,-4.27,0.11
-25.96,14.78,-4.30,0.07,-4.27,0.58
-22.66,2.08,-18.13,1.76,-4.27,2.27
-8.63,3.98,-20.64,-1.13,-2.99,-0.52
-2.57,8.33,-12.90,0.13,0.32,-2.08
0.69,9.27,-7.16,-0.33,2.18,-1.67
1.05,8.59,-5.76,0.36,1.75,-1.36
0.87,10.58,-6.53,0.03,2.31,-1.41
-0.01,10.81,-4.82,0.20,3.00,-1.26
-0.07,10.81,-3.39,-0.01,3.44,-1.21
-0.69,9.36,-3.78,0.74,3.33,-0.93
-1.24,11.14,-2.81,0.76,4.24,-1.10
-1.52,11.07,0.57,1.44,4.26,-1.06
-0.34,10.76,1.55,1.32,4.01,-0.85
-1.14,10.20,-0.02,1.47,3.48,-1.05
-0.34,9.65,3.21,1.01,2.27,-1.19
0.82,12.32,2.43,1.34,2.24,-1.09
-0.05,9.86,1.88,1.65,2.02,-1.70
2.25,13.78,5.97,1.13,2.18,-1.29
-0.54,9.36,2.79,2.49,0.42,-1.55
1.09,13.87,3.42,1.64,1.65,-1.38
2.94,10.28,2.78,2.26,0.28,-1.14
2.80,10.13,-1.23,1.22,0.20,-1.07
3.14,9.90,-1.36,1.79,0.29,-0.95
1.86,4.92,-2.84,2.59,0.93,-0.84
3.09,8.61,-4.74,0.43,-0.15,-0.64
3.47,7.95,-5.10,0.65,-0.36,-0.84
3.74,7.96,-5.31,0.54,-0.18,-0.91
3.68,8.32,-4.73,0.59,-0.05,-0.87
3.18,7.92,-5.56,0.42,-0.04,-0.77
3.04,7.46,-5.35,0.15,0.12,-0.89
3.56,8.52,-5.17,0.07,0.16,-0.96
3.61,6.87,-5.25,0.37,-0.07,-0.80

9.66,19.65,2.95,-4.22,3.02,-1.99
9.66,19.65,2.95,-4.22,3.02,-1.99
1.21,10.18,8.15,-2.68,-1.04,-2.44
-0.11,7.82,7.36,-3.68,-0.36,-1.20
0.74,6.94,8.75,-3.69,0.53,-0.63
0.30,4.28,9.33,-2.79,0.63,0.09
-1.70,-2.33,11.98,-2.00,1.27,1.52
0.15,-10.08,13.15,-1.16,0.75,0.88
-3.15,-9.91,11.72,-1.19,0.08,-0.54
-4.61,-10.54,9.70,-0.56,0.19,-2.19
-7.31,-9.39,11.81,-0.16,0.48,-4.84
-9.52,-6.08,11.37,-0.11,0.26,-5.42
-9.27,-9.26,11.77,-0.13,-0.17,-5.42
-14.25,-4.61,11.14,0.88,-0.30,-5.42
-20.00,7.97,7.56,1.12,-0.56,-5.42
-12.33,11.67,6.33,0.25,-0.13,-5.42
-9.77,19.21,9.98,-0.36,0.50,-5.42
-2.62,11.20,9.04,0.87,-0.03,-1.50
-1.45,9.33,8.52,0.75,-0.13,-0.86
-1.47,8.56,7.45,0.61,-0.15,-0.47
-2.38,8.73,9.12,-0.17,0.26,-0.26
-4.28,7.39,10.62,0.08,0.21,0.66
-4.36,6.88,9.63,0.30,0.03,1.24
-5.70,5.75,9.29,-0.48,-0.16,2.00
-4.03,2.63,9.50,0.23,-0.06,2.98
-4.37,2.13,8.87,-0.41,-0.19,3.16
-3.17,0.35,8.83,0.38,-0.02,3.31
-4.02,-1.95,11.29,0.09,0.29,3.31
-2.08,-4.34,8.87,0.49,0.28,2.99
-4.07,-3.21,8.46,1.45,1.15,2.18
-1.58,-7.01,14.12,-0.13,0.90,2.68
-1.31,-4.10,9.62,1.58,0.93,0.37
-0.02,-4.93,12.78,0.04,0.74,0.27
0.53,-2.49,10.82,0.42,0.52,-0.85
-0.26,-1.03,11.37,0.93,0.71,-1.03
1.02,-1.43,11.81,0.55,0.51,-1.40
0.04,0.76,11.65,0.29,0.33,-1.84
-0.25,1.73,10.86,0.16,0.27,-1.24
0.10,1.22,10.88,0.10,0.16,-1.15
0.04,1.67,10.72,0.21,0.16,-1.18

-4.56,-9.69,14.46,0.53,0.20,-1.89
-4.56,-9.69,14.46,0.53,0.20,-1.89
-5.78,-12.99,15.72,-0.07,-0.43,-2.35
-7.73,-13.62,13.52,0.25,-0.55,-4.52
-11.49,-11.01,14.93,0.16,-0.50,-5.42
-14.20,-10.62,15.58,-0.94,-1.05,-5.42
-22.60,-4.10,11.13,1.90,-1.95,-5.42
-26.80,2.10,6.12,1.72,-2.86,-5.42
-25.73,3.85,5.53,1.80,-1.99,-5.42
-23.29,9.50,4.09,0.41,-1.73,-5.42
-12.53,18.45,4.34,0.01,-0.18,-4.35
-7.62,13.87,5.52,-0.29,-0.04,-1.10
-5.27,11.04,6.09,0.53,0.28,-0.17
-4.82,9.34,8.90,0.40,1.00,1.03
-5.05,8.58,9.91,-0.31,0.65,1.64
-7.31,8.39,9.04,-1.06,-0.09,2.20
-7.33,5.12,8.94,-0.38,0.46,3.31
-8.27,2.41,9.03,-1.03,0.07,3.31
-6.33,-1.46,9.31,-0.01,0.42,3.31
-7.52,-0.31,8.44,-0.01,0.47,3.31
-5.70,-2.14,10.17,-0.65,0.36,3.31
-6.09,-6.05,11.58,0.28,0.67,3.31
-2.67,-6.80,10.81,1.12,0.53,3.31
-2.98,-5.34,11.50,1.46,0.83,1.99
-1.22,-5.64,12.42,0.11,0.16,1.73
-0.48,-5.38,11.83,1.59,0.62,0.72
0.39,-4.42,12.14,0.99,0.48,-0.10
0.52,-2.30,11.06,1.00,0.26,-0.71
1.19,-0.57,10.51,1.20,0.40,-0.94
0.95,0.04,12.29,-0.17,0.13,-1.55
0.94,0.79,9.85,1.17,-0.09,-1.42
1.00,2.97,9.73,0.14,0.04,-0.87
0.25,4.01,10.02,0.63,-0.08,-2.05
0.29,4.66,9.99,0.73,0.38,-1.68
0.15,4.02,10.43,0.85,0.10,-1.36
1.18,3.91,8.75,1.14,-0.39,-0.86
0.82,4.68,9.60,-0.56,-0.30,-2.06
1.07,4.46,9.95,0.20,0.48,-1.89
1.30,4.28,10.60,-0.17,0.22,-1.77
1.62,3.62,10.18,-0.31,0.31,-2.39

-5.03,-11.77,-10.37,-0.78,3.71,-0.64
-5.03,-11.77,-10.37,-0.78,3.71,-0.64
-6.67,-12.22,-9.15,0.02,4.30,-0.43
-9.77,-10.83,-3.45,-0.54,4.46,-0.99
-15.05,-10.38,4.69,0.97,4.46,-1.11
-12.72,-5.49,12.59,-0.87,4.02,-2.37
-10.65,-6.96,13.93,0.84,4.46,-0.92
-6.72,-7.00,13.24,0.55,2.61,-0.52
-1.59,-11.62,14.45,0.03,0.77,-1.12
-1.07,-8.38,11.38,0.78,-0.72,-1.61
-0.23,-6.92,7.59,0.44,-1.56,-1.63
-0.50,-7.72,5.96,0.15,-1.63,-1.33
-0.42,-9.85,4.12,0.20,-1.70,-1.19
-1.32,-9.41,4.55,0.45,-1.55,-1.28
-1.94,-8.77,5.44,0.48,-1.79,-1.31
-1.59,-7.45,3.86,0.33,-2.25,-1.36
-2.87,-9.61,3.16,-0.56,-2.46,-1.08
-2.52,-9.83,-0.08,0.07,-2.85,-1.30
-1.05,-8.85,0.44,0.60,-2.82,-1.42
-0.43,-6.82,-0.67,1.17,-2.35,-0.96
-1.21,-11.25,-1.36,0.80,-2.45,-0.45
0.25,-10.12,-4.22,0.45,-2.44,-0.80
-0.68,-11.13,-1.91,0.82,-1.99,-0.28
0.45,-10.14,-4.58,0.60,-1.43,-0.46
-0.30,-12.03,-2.74,0.91,-1.04,-0.22
0.99,-11.70,-5.17,0.75,-1.01,-0.74
-0.08,-10.03,1.23,0.03,-0.14,-0.39
0.20,-11.12,-1.13,-0.46,-0.61,-0.49
0.22,-10.44,0.37,0.68,-0.58,-0.31
-0.19,-11.14,0.77,-0.07,-0.39,-0.68
0.49,-10.73,0.13,-0.28,-0.31,-1.13
0.95,-9.18,1.62,0.10,-0.08,-1.07
0.92,-9.90,0.95,0.08,-0.01,-0.91
0.70,-9.92,1.41,0.44,0.45,-0.82
0.57,-10.02,2.18,-0.08,0.35,-1.05
0.52,-10.15,2.17,0.31,0.02,-1.02
0.40,-9.73,2.32,0.29,-0.06,-1.00
