aX,aY,aZ 
-8.37,-3.02,2.92
-8.50,-3.02,2.92
-8.50,-3.02,2.92
-8.23,-2.97,2.75
-8.24,-3.41,2.76
-8.24,-3.41,2.76
-8.20,-3.34,2.74
-8.20,-3.34,2.74
-8.20,-3.34,2.74
-8.23,-3.19,2.70
-8.23,-3.19,2.70
-8.23,-3.19,2.70
-8.26,-3.36,2.86
-8.26,-3.36,2.86
-8.39,-3.10,2.76
-8.21,-3.04,2.65
-8.21,-3.04,2.65
-8.21,-3.04,2.65
-8.40,-3.31,2.80
-8.40,-3.31,2.80
-8.40,-3.31,2.80
-8.09,-3.26,2.82
-8.09,-3.26,2.82
-8.28,-3.01,2.66
-8.29,-3.05,2.58
-8.29,-3.05,2.58
-8.31,-3.30,2.55
-8.63,-2.99,2.38
-8.63,-2.99,2.38
-8.63,-2.99,2.38
-8.39,-2.84,2.40
-8.39,-2.84,2.40
-8.39,-2.84,2.40
-8.21,-3.38,2.11
-8.21,-3.38,2.11
-7.72,-3.74,2.04
-7.17,-3.73,2.16
-7.17,-3.73,2.16
-7.15,-3.94,2.43
-5.60,-4.55,3.31
-5.60,-4.55,3.31
-5.60,-4.55,3.31
-8.90,-2.45,0.70
-8.90,-2.45,0.70
-8.90,-2.45,0.70
-5.44,-3.93,2.47
-5.44,-3.93,2.47
-5.44,-3.93,2.47
-9.63,-4.35,2.73
-9.63,-4.35,2.73
-8.87,-3.56,2.44
-8.80,-3.36,1.90
-8.80,-3.36,1.90
-8.80,-3.36,1.90
-9.84,-3.38,1.69
-9.84,-3.38,1.69
-9.84,-3.38,1.69
-9.17,-0.37,1.89
-9.17,-0.37,1.89
-10.70,-0.57,2.84
-10.79,-0.94,3.32
-10.79,-0.94,3.32
-10.21,-0.90,3.23
-9.63,-1.47,3.30
-9.63,-1.47,3.30
-9.63,-1.47,3.30
-9.21,-1.09,2.63
-9.21,-1.09,2.63
-8.48,-2.95,2.53
-8.48,-2.95,2.53
-8.48,-2.95,2.53
-8.35,-3.19,1.19
-8.35,-3.19,1.19
-8.35,-3.19,1.19
-7.94,-3.25,1.26
-7.94,-3.25,1.26
-7.94,-3.25,1.26
-8.15,-3.23,1.45
-8.15,-3.23,1.45
-8.15,-3.23,1.45
-8.46,-2.96,1.57
-8.46,-2.96,1.57
-8.46,-2.96,1.57
-8.56,-3.09,1.89
-8.56,-3.09,1.89
-8.56,-3.09,1.89
-8.78,-3.04,1.84
-8.78,-3.04,1.84
-8.78,-3.04,1.84
-8.77,-3.00,1.70
-8.77,-3.00,1.70
-8.77,-3.00,1.70
-8.56,-2.58,1.45
-8.56,-2.58,1.45
-8.56,-2.58,1.45
-8.73,-2.72,2.01
-8.73,-2.72,2.01
-8.73,-2.72,2.01
-8.31,-3.15,2.38
-8.31,-3.15,2.38
-8.31,-3.15,2.38
-8.07,-2.44,1.73
-8.07,-2.44,1.73
-8.07,-2.44,1.73
-8.38,-2.47,1.69
-8.38,-2.47,1.69
-8.38,-2.47,1.69
-8.10,-2.72,1.60
-8.10,-2.72,1.60
-8.16,-3.19,1.83
-8.57,-3.20,1.68
-8.57,-3.20,1.68
-8.57,-3.20,1.68
-8.42,-3.11,1.43
-8.42,-3.11,1.43
-8.42,-3.11,1.43
-8.47,-4.09,1.53
-8.47,-4.09,1.53
-8.27,-3.31,1.48
-8.27,-3.31,1.48
-8.47,-3.32,1.35
-8.44,-3.90,1.45
-8.44,-3.90,1.45
-8.44,-3.90,1.45
-8.44,-3.10,1.45
-8.44,-3.10,1.45
-8.44,-3.10,1.45
-8.32,-3.57,1.59
-8.32,-3.57,1.59
-4.29,-6.90,4.85
-4.29,-6.90,4.85
-4.29,-6.90,4.85
-4.35,-7.05,4.85
-4.35,-7.05,4.85
-4.35,-7.05,4.85
-4.35,-7.05,4.85
-4.35,-7.05,4.85
-4.34,-6.96,4.83
-4.34,-6.96,4.83
-4.34,-6.96,4.83
-4.34,-6.96,4.83
-4.34,-6.96,4.83
-4.34,-6.96,4.83
-4.34,-6.96,4.83
-4.34,-6.96,4.83
-4.27,-6.93,4.87
-4.27,-6.93,4.87
-4.27,-6.93,4.87
-4.27,-6.93,4.87
-4.27,-6.93,4.87
-4.27,-6.93,4.87
-4.20,-6.83,4.82
-4.20,-6.83,4.82
-4.20,-6.83,4.82
-4.25,-7.02,5.00
-4.25,-7.02,5.00
-4.25,-7.02,5.00
-4.28,-6.91,4.94
-4.28,-6.91,4.94
-4.28,-6.91,4.94
-4.36,-6.91,4.81
-4.30,-6.92,4.82
-4.43,-7.10,4.89
-4.43,-7.10,4.89
-4.43,-7.10,4.89
-4.40,-7.02,4.90
-4.40,-7.02,4.90
-4.40,-7.02,4.90
-4.30,-6.93,4.81
-4.30,-6.93,4.81
-4.30,-6.88,4.78
-4.30,-7.01,4.91
-4.30,-7.01,4.91
-4.30,-7.01,4.91
-4.35,-6.94,4.90
-4.35,-6.94,4.90
-4.35,-6.94,4.90
-4.37,-6.91,4.84
-4.37,-6.91,4.84
-4.37,-6.91,4.84
-4.35,-6.88,4.83
-4.35,-6.88,4.83
-4.35,-6.88,4.83
-4.38,-6.93,4.88
-4.38,-6.93,4.88
-4.38,-6.93,4.88
-4.38,-6.87,4.91
-4.38,-6.87,4.91
-4.38,-6.87,4.91
-4.42,-6.95,4.95
-4.42,-6.95,4.95
-4.42,-6.95,4.95
-4.38,-6.83,4.87
-4.38,-6.83,4.87
-4.38,-6.83,4.87
-4.37,-6.94,4.81
-4.37,-6.94,4.81
-4.40,-6.87,4.83
-4.36,-6.94,4.90
-4.36,-6.94,4.90
-4.36,-6.94,4.90
-4.46,-7.02,4.89
-4.46,-7.02,4.89
-4.46,-7.02,4.89
-4.39,-6.88,4.86
-4.39,-6.88,4.86
-4.39,-6.88,4.86
-4.44,-6.95,4.86
-4.44,-6.95,4.86
-4.43,-6.92,4.83
-4.40,-6.90,4.84
-4.40,-6.90,4.84
-4.40,-6.90,4.84
-4.33,-6.87,4.87
-4.33,-6.87,4.87
-4.33,-6.87,4.87
-4.44,-7.01,4.88
-4.44,-7.01,4.88
-4.35,-6.91,4.85
-4.44,-6.90,4.81
-4.44,-6.90,4.81
-4.50,-6.97,4.83
-4.45,-6.81,4.80
-4.45,-6.81,4.80
-4.45,-6.81,4.80
-4.52,-6.90,4.81
-4.52,-6.90,4.81
-4.52,-6.90,4.81
-4.41,-6.96,4.89
-4.41,-6.96,4.89
-4.41,-6.96,4.89
-4.42,-6.84,4.87
-4.42,-6.84,4.87
-4.44,-6.94,4.86
-4.34,-6.94,4.82
-4.34,-6.94,4.82
-4.34,-6.94,4.82
-4.39,-6.93,4.85
-4.39,-6.93,4.85
-4.39,-6.93,4.85
-4.32,-6.79,4.89
-4.32,-6.79,4.89
