aX,aY,aZ,gX,gY,gZ
-18.393,-1.911,-8.476,-0.835,17.252,-26.423
-18.584,1.619,-9.227,-1.787,20.206,-37.691
-18.584,1.619,-9.227,-1.787,20.206,-37.691
-14.365,6.225,-11.397,-3.381,24.674,-60.383
-14.365,6.225,-11.397,-3.381,24.674,-60.383
-6.364,6.555,-6.613,6.761,19.254,-66.523
-1.010,9.859,-4.386,10.996,18.399,-63.589
1.786,15.347,-4.152,16.067,28.268,-56.478
0.713,17.454,-4.597,20.244,46.686,-55.021
1.413,17.219,-5.670,19.739,44.705,-63.511
4.061,16.247,-4.994,17.291,22.187,-73.692
7.633,15.926,-3.879,13.172,4.896,-78.219
9.701,15.371,-3.486,9.986,5.751,-78.160
10.693,14.614,-5.334,10.394,18.146,-78.160
11.128,14.260,-8.102,10.550,20.264,-80.706
11.459,14.193,-11.205,10.530,8.762,-85.621
14.988,12.661,-12.642,0.661,-9.287,-85.504
13.211,10.812,-11.775,-11.230,-38.099,-71.244
14.691,7.599,-10.822,-11.929,-53.583,-68.058
14.691,7.599,-10.822,-11.929,-53.583,-68.058
19.978,-2.595,-8.169,-0.933,-34.660,-65.143
21.812,-6.101,-8.710,3.206,-18.729,-51.757
19.671,-7.527,-10.616,3.147,1.107,-29.181
17.454,-6.474,-12.436,0.175,12.745,-9.384
14.040,-4.568,-14.069,-3.847,8.432,6.275
13.748,-3.247,-14.231,-2.312,-1.341,14.280
13.178,-1.887,-13.264,4.235,-5.537,24.344
13.178,-1.887,-13.264,4.235,-5.537,24.344
12.000,1.288,-10.487,13.289,6.334,42.043
10.616,3.189,-10.362,5.829,3.711,51.971
8.725,4.870,-10.678,-1.826,-3.536,58.674
8.725,4.870,-10.678,-1.826,-3.536,58.674
6.776,6.579,-11.789,0.350,-4.857,62.579
6.776,6.579,-11.789,0.350,-4.857,62.579
5.828,7.326,-9.352,14.494,-5.595,64.483
4.425,8.174,-7.508,14.979,-12.376,66.212
3.208,8.207,-6.302,12.279,-17.758,66.775
3.208,8.207,-6.302,12.279,-17.758,66.775
2.117,7.781,-6.828,11.774,-18.399,65.007
1.346,8.222,-5.258,19.059,-9.326,62.249
-0.038,8.543,-4.784,14.785,-11.774,63.550
-1.173,8.179,-4.851,9.598,-12.726,62.831
-2.442,8.480,-5.775,7.519,-12.920,62.210
-3.721,8.356,-4.827,12.823,-7.771,60.189
-4.798,7.029,-3.534,13.716,-3.944,56.673
-4.966,6.958,-4.358,7.189,-5.790,52.768
-5.071,6.369,-5.401,2.176,-2.331,49.484
-5.052,5.660,-5.325,2.429,0.719,44.510
-5.210,3.994,-5.172,-1.321,-0.427,41.985
-6.230,2.691,-5.962,-8.490,0.253,42.490
-6.771,3.266,-8.370,-10.608,6.178,39.692
-6.704,3.136,-8.720,-7.771,7.111,34.621
-7.800,1.097,-8.643,-11.404,-0.097,31.377
-7.221,0.019,-10.506,-17.699,-1.962,27.744
-6.350,-0.934,-11.804,-18.496,-0.253,25.024
-6.187,-1.140,-12.029,-14.532,-2.331,23.003
-6.316,-1.882,-11.310,-8.587,-0.913,20.769
-6.335,-2.083,-11.109,-7.344,-0.486,19.137
-5.641,-1.336,-11.262,-6.392,-1.613,18.088
-5.076,-0.790,-11.148,-4.255,-1.535,15.951
-5.076,-0.790,-11.148,-4.255,-1.535,15.951
-4.171,-0.958,-10.750,-1.438,-3.109,7.169
-4.171,-0.958,-10.750,-1.438,-3.109,7.169
-2.442,-1.140,-9.874,-0.330,-4.488,3.322
-2.811,-0.613,-9.912,0.602,-0.971,3.963
-3.127,-0.067,-9.472,1.962,0.525,2.875
-3.127,-0.067,-9.472,1.962,0.525,2.875
-1.968,0.091,-9.199,-0.194,-3.128,-2.040
-1.508,-0.014,-9.069,0.194,-1.243,-2.176
-1.508,-0.014,-9.069,0.194,-1.243,-2.176
-1.441,0.512,-9.519,1.166,3.342,-1.010
-1.422,0.713,-9.529,2.234,2.798,-1.651
-1.006,0.781,-9.170,2.565,1.418,-2.817
-0.939,0.709,-9.132,1.224,1.438,-2.875
-0.996,0.441,-9.285,-0.369,1.166,-2.701
-1.020,0.397,-9.338,0.389,1.282,-2.545
-1.020,0.397,-9.338,0.389,1.282,-2.545
-1.034,0.555,-8.859,1.807,1.826,-2.429
-1.039,0.824,-9.021,1.554,2.662,-2.098
-1.255,0.781,-9.141,1.477,3.672,-1.807
-1.245,0.685,-9.007,1.438,3.322,-2.215
-1.025,0.522,-8.950,0.233,1.651,-2.701
-0.828,0.369,-8.998,-1.049,0.661,-2.526
-0.852,0.383,-9.448,-1.379,1.030,-1.787
-0.852,0.383,-9.448,-1.379,1.030,-1.787
-1.068,0.603,-9.227,2.642,2.429,-0.913
-0.919,0.651,-8.844,1.205,0.680,-1.088
-0.881,0.570,-9.112,-1.574,-0.291,-0.699
