aX,aY,aZ,gX,gY,gZ
-4.444,11.732,-4.966,5.013,-15.115,-13.017
-5.421,11.636,-4.607,7.713,-12.998,-18.399
-5.444,12.019,-4.990,9.151,-3.808,-22.925
-5.684,12.043,-5.784,11.463,-2.545,-23.061
-5.875,12.201,-5.727,13.134,-12.065,-15.232
-5.195,11.574,-5.622,11.774,-20.419,-5.770
-3.773,10.865,-5.243,9.967,-22.129,-10.103
-3.199,7.269,-4.343,7.441,-27.841,-22.129
-3.199,7.269,-4.343,7.441,-27.841,-22.129
0.168,-3.409,-2.998,2.603,-17.291,-38.760
2.466,-8.595,-2.016,2.098,-23.178,-36.467
5.789,-16.487,-1.197,7.227,-14.668,-22.110
9.414,-23.080,-5.286,38.915,12.084,-1.399
9.414,-23.080,-5.286,38.915,12.084,-1.399
11.607,-27.730,-11.660,96.792,29.143,9.714
-4.051,-28.453,-23.617,128.422,-7.286,-17.583
-1.504,-18.086,-24.201,35.884,55.876,-2.720
4.779,-10.626,-15.883,-54.924,63.842,13.036
4.343,-9.687,-4.448,-90.886,-5.013,2.429
0.704,-9.002,1.484,-68.699,-46.045,-9.811
-2.476,-10.381,-1.341,-15.912,-32.426,-14.416
-1.858,-11.176,-6.867,9.209,-9.539,-8.859
-1.370,-10.185,-9.591,-2.487,1.379,-4.663
-0.685,-8.442,-9.668,-18.962,6.509,-3.361
-0.685,-8.442,-9.668,-18.962,6.509,-3.361
-2.222,-9.515,-8.638,-23.197,-4.974,7.985
-1.796,-6.637,-7.877,-29.415,1.962,8.976
-1.796,-6.637,-7.877,-29.415,1.962,8.976
-0.249,-1.465,-8.404,-21.119,-1.613,13.425
0.378,-0.484,-7.858,-18.379,-14.940,11.346
0.378,-0.484,-7.858,-18.379,-14.940,11.346
-4.056,-0.010,-5.555,-23.741,0.661,-9.539
-3.960,1.192,-6.239,-14.863,6.664,-7.363
-3.122,1.982,-6.680,-6.819,-1.729,0.058
-3.065,2.978,-7.001,-6.917,-4.099,1.923
-4.415,3.400,-6.958,-8.646,1.943,-3.517
-5.727,2.399,-7.010,-3.963,4.663,-5.809
-5.962,1.647,-8.064,3.050,4.002,-2.759
-5.105,1.681,-8.227,1.515,2.137,2.701
-4.434,1.585,-8.222,-3.050,1.768,7.344
-4.329,2.164,-8.270,-1.554,4.721,9.015
-4.329,2.164,-8.270,-1.554,4.721,9.015
-4.539,1.767,-7.944,-1.593,3.653,8.102
-4.310,1.571,-8.006,-1.613,3.691,9.986
-4.056,1.547,-8.394,-0.699,6.101,13.406
-3.845,1.532,-8.691,0.389,6.975,14.746
-3.845,1.532,-8.691,0.389,6.975,14.746
-3.438,1.580,-8.322,-3.011,7.558,13.580
-3.438,1.580,-8.322,-3.011,7.558,13.580
-3.022,2.174,-8.198,-2.448,5.965,15.601
-2.672,2.519,-8.217,-0.505,1.690,16.689
-2.672,2.519,-8.217,-0.505,1.690,16.689
-3.194,2.662,-7.978,-2.875,1.321,12.065
-3.247,2.682,-7.887,-4.274,2.681,10.588
-3.247,2.682,-7.887,-4.274,2.681,10.588
-2.978,3.165,-8.064,-1.690,-0.389,9.034
-2.902,3.113,-8.270,-0.505,-2.370,7.072
-3.160,2.734,-8.672,0.680,-1.418,4.197
-3.132,2.318,-9.041,2.059,1.749,3.128
-2.988,1.935,-9.500,3.789,1.690,3.419
-2.988,1.935,-9.500,3.789,1.690,3.419
-2.710,1.317,-9.764,3.419,-0.952,2.351
-2.571,1.235,-9.567,0.913,0.641,0.952
-2.284,1.207,-9.165,-0.680,0.816,0.019
-2.284,1.207,-9.165,-0.680,0.816,0.019
-2.289,1.389,-8.212,-0.641,-1.865,0.699
-2.207,1.331,-8.284,-0.078,-1.185,0.194
-2.207,1.298,-8.476,0.563,-0.039,-1.263
-2.313,1.116,-8.705,0.175,-0.350,-2.293
-2.375,1.006,-8.643,-0.913,-0.330,-2.429
-2.456,1.077,-8.691,-1.049,0.563,-1.749
-2.456,1.077,-8.691,-1.049,0.563,-1.749
-2.557,1.188,-8.394,-0.233,0.525,-0.913
-2.629,1.015,-8.610,0.816,1.982,-1.049
-2.533,0.848,-9.007,1.477,3.944,-0.797
-2.524,0.685,-9.371,1.535,4.818,-0.291
-2.423,0.675,-9.280,0.583,4.410,0.233
-2.423,0.675,-9.280,0.583,4.410,0.233
