mX,mY,mZ 
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
24.47,-62.55,-12.23
