aX,aY,aZ 
-8.21,4.89,-0.55
-8.48,4.98,-0.38
-8.58,5.77,-0.49
-8.30,6.05,-0.42
-7.62,5.86,-0.38
-7.48,5.87,-0.16
-7.15,6.68,-0.59
-7.26,6.85,-0.81
-7.12,6.76,-0.66
-7.11,7.16,-0.96
-6.83,6.95,-0.99
-6.95,6.83,-0.90
-7.09,7.05,-0.84
-7.06,7.07,-0.88
-6.93,6.84,-1.15
-6.97,7.22,-0.96
-7.10,6.89,-0.63
-6.94,6.87,-1.07
-6.95,6.72,-1.08
-6.85,6.82,-1.20
-7.24,7.40,-1.19
-7.10,6.68,-1.27
-6.95,6.23,-1.39
-7.38,6.28,-1.44
-7.72,6.66,-1.40
-7.60,6.06,-1.46
-7.39,7.12,-1.64
-7.12,6.35,-1.37
-7.24,6.46,-1.49
-7.30,6.80,-1.43
-7.25,6.70,-1.45
-7.18,6.89,-1.56
-7.27,6.61,-1.26
-7.03,6.44,-1.45
-7.08,6.78,-1.42
-7.26,6.26,-1.46
-7.27,6.89,-1.41
-7.33,6.41,-1.48
-7.26,6.87,-1.54
-7.13,6.79,-1.64
-7.07,7.00,-1.67
-6.95,7.03,-1.57
-7.24,7.11,-1.18
-8.00,6.57,-0.83
-7.01,7.05,-4.42
-6.89,5.43,-2.56
-8.48,5.83,1.04
-8.42,6.23,-1.94
-7.51,5.09,-2.17
-8.03,5.00,-0.93
-8.67,5.24,-1.29
-8.44,6.85,-1.17
-8.16,5.58,-1.06
-8.32,5.32,-1.19
-7.57,5.61,-1.03
-7.24,5.40,-1.75
-7.47,5.89,-2.83
-7.91,7.01,-5.23
-7.17,6.38,-4.27
-7.75,6.45,-4.19
-6.54,7.39,-4.10
-5.59,7.80,-3.48
-5.03,8.52,-2.98
-4.84,7.13,-0.38
-5.46,7.34,-0.60
-4.28,7.05,-1.78
-7.86,6.50,1.04
-8.65,7.42,0.97
-9.04,2.92,-0.31
-8.91,-4.28,1.60
-10.83,0.42,-2.06
-11.17,0.91,-1.06
-10.66,2.67,-2.11
-9.82,1.08,-2.03
-8.83,0.92,0.17
-9.22,3.11,0.33
-9.93,2.60,0.07
-7.41,0.89,0.91
