aX,aY,aZ 
1.93,-0.04,-9.27
1.93,-0.06,-9.27
1.93,-0.06,-9.27
1.93,-0.06,-9.27
1.94,-0.02,-9.27
1.94,-0.02,-9.27
1.94,-0.02,-9.27
1.93,-0.05,-9.28
1.93,-0.05,-9.28
1.93,-0.05,-9.28
1.93,-0.04,-9.31
1.93,-0.04,-9.31
1.93,-0.04,-9.31
1.93,-0.04,-9.28
1.93,-0.04,-9.28
1.94,-0.04,-9.28
1.94,-0.04,-9.28
1.94,-0.04,-9.28
1.94,-0.05,-9.27
1.94,-0.05,-9.27
1.94,-0.03,-9.26
1.94,-0.03,-9.26
1.94,-0.03,-9.26
1.93,-0.04,-9.25
1.93,-0.04,-9.25
1.93,-0.04,-9.25
1.94,-0.04,-9.29
1.94,-0.04,-9.29
1.94,-0.04,-9.29
1.93,-0.04,-9.27
1.93,-0.05,-9.26
1.93,-0.05,-9.26
1.93,-0.03,-9.27
1.93,-0.03,-9.27
1.93,-0.03,-9.27
1.93,-0.05,-9.29
1.93,-0.05,-9.29
1.93,-0.05,-9.29
1.93,-0.03,-9.27
1.93,-0.03,-9.27
1.93,-0.03,-9.27
1.93,-0.04,-9.28
1.93,-0.04,-9.28
1.93,-0.04,-9.28
1.93,-0.04,-9.29
1.93,-0.04,-9.29
1.93,-0.04,-9.29
1.93,-0.03,-9.27
1.93,-0.03,-9.27
1.93,-0.03,-9.27
1.93,-0.03,-9.29
1.93,-0.03,-9.28
1.93,-0.03,-9.28
1.93,-0.05,-9.28
1.93,-0.05,-9.28
1.93,-0.05,-9.28
1.93,-0.04,-9.28
1.93,-0.04,-9.28
1.94,-0.03,-9.31
1.94,-0.03,-9.31
1.94,-0.03,-9.31
1.94,-0.03,-9.27
1.94,-0.03,-9.27
1.95,-0.04,-9.29
1.93,-0.06,-9.28
1.93,-0.06,-9.28
1.94,-0.04,-9.29
1.94,-0.04,-9.29
1.94,-0.04,-9.29
1.93,-0.02,-9.27
1.93,-0.02,-9.27
1.93,-0.02,-9.27
1.94,-0.03,-9.29
1.94,-0.03,-9.29
1.94,-0.03,-9.29
1.92,-0.05,-9.28
1.92,-0.05,-9.28
1.92,-0.05,-9.28
1.94,-0.06,-9.29
1.94,-0.06,-9.29
1.92,-0.02,-9.28
1.92,-0.02,-9.28
1.92,-0.02,-9.28
1.93,-0.03,-9.28
1.93,-0.03,-9.28
1.93,-0.03,-9.28
1.94,-0.05,-9.28
1.94,-0.05,-9.28
1.94,-0.05,-9.28
1.93,-0.05,-9.29
1.93,-0.05,-9.29
1.93,-0.05,-9.29
1.93,-0.04,-9.29
1.93,-0.04,-9.29
1.93,-0.04,-9.29
1.93,-0.03,-9.25
1.93,-0.03,-9.25
1.93,-0.03,-9.25
1.93,-0.04,-9.29
1.93,-0.04,-9.29
1.93,-0.04,-9.29
1.74,-0.12,-9.00
1.74,-0.12,-9.00
1.74,-0.12,-9.00
2.07,0.44,-9.08
2.07,0.44,-9.08
2.07,0.44,-9.08
1.96,0.08,-9.11
1.96,0.08,-9.11
1.96,0.08,-9.11
2.02,-0.01,-9.52
2.02,-0.01,-9.52
2.02,-0.01,-9.52
1.94,0.04,-9.09
1.94,0.04,-9.09
1.94,0.04,-9.09
2.98,0.94,-9.10
2.98,0.94,-9.10
2.02,0.33,-8.80
2.02,0.33,-8.80
2.02,0.33,-8.80
1.93,-0.11,-9.47
1.93,-0.11,-9.47
1.93,-0.11,-9.47
1.90,-0.01,-9.13
1.90,-0.01,-9.13
1.90,-0.01,-9.13
0.99,0.33,-9.76
0.99,0.33,-9.76
0.99,0.33,-9.76
1.65,-0.56,-9.19
1.99,0.00,-9.42
1.99,0.00,-9.42
1.99,0.00,-9.42
1.87,-0.13,-9.19
1.87,-0.13,-9.19
1.87,-0.13,-9.19
2.05,0.96,-8.85
2.05,0.96,-8.85
2.05,0.96,-8.85
2.08,0.06,-9.08
1.82,-0.12,-9.07
2.02,-0.03,-9.57
2.02,-0.03,-9.57
2.43,1.90,-7.66
2.43,1.90,-7.66
1.13,-1.61,-10.64
1.13,-1.61,-10.64
1.94,-0.23,-9.04
1.82,0.09,-8.68
2.02,0.09,-9.29
1.98,0.05,-9.29
1.98,0.05,-9.29
1.98,0.05,-9.29
2.20,-3.23,-11.25
2.20,-3.23,-11.25
2.20,-3.23,-11.25
1.10,-1.21,-9.44
1.10,-1.21,-9.44
2.36,0.63,-8.91
1.72,-0.35,-9.22
1.93,-0.03,-9.32
1.93,-0.03,-9.32
1.85,-0.12,-9.21
1.85,-0.12,-9.21
1.85,-0.12,-9.21
1.91,-0.07,-9.28
1.91,-0.07,-9.28
1.91,-0.07,-9.28
1.96,-0.05,-9.36
1.96,-0.05,-9.36
1.96,-0.05,-9.36
1.93,-0.05,-9.30
1.93,-0.05,-9.30
1.93,-0.05,-9.30
1.94,-0.04,-9.29
1.94,-0.04,-9.29
1.94,-0.04,-9.29
1.95,-0.01,-9.30
1.95,-0.01,-9.30
1.95,-0.01,-9.30
1.94,-0.03,-9.28
1.94,-0.03,-9.28
1.92,-0.04,-9.32
1.92,-0.04,-9.32
1.92,-0.04,-9.32
1.94,-0.05,-9.26
1.94,-0.05,-9.26
1.94,-0.05,-9.26
1.93,-0.03,-9.29
1.93,-0.03,-9.29
1.93,-0.03,-9.29
1.95,-0.02,-9.31
1.95,-0.02,-9.31
1.95,-0.02,-9.31
1.95,-0.05,-9.29
