aX,aY,aZ,gX,gY,gZ
0.41,-1.06,-0.08
8.70,-10.28,-10.39,0.41,-1.06,-0.08
8.70,-10.28,-10.39,0.41,-1.06,-0.08
21.28,-7.67,-4.37,-0.67,1.62,-1.39
28.21,-0.05,2.95,0.06,1.54,-1.07
12.74,-7.21,-3.07,-0.84,0.05,1.00
-9.74,-5.85,-12.24,-1.41,-0.64,0.64
-12.05,-3.72,-8.17,0.39,-1.12,-1.01
-9.85,-4.13,-11.04,-1.07,-1.01,0.14
-6.84,-6.41,-6.79,0.89,-0.84,-0.41
-5.98,-5.25,-5.07,0.97,-1.25,-0.36
-4.07,-2.83,-10.72,-0.73,-0.57,-0.13
-1.64,-3.38,-7.47,0.12,-0.07,-0.02
-1.53,-6.33,-7.34,0.42,-0.18,0.28
-0.24,-5.92,-7.40,-0.02,0.05,-0.13
-0.36,-5.43,-6.29,0.01,-0.00,-0.12
-0.73,-4.61,-8.62,-0.34,-0.08,-0.03
-0.27,-3.93,-8.72,-0.46,0.21,0.13
-0.48,-5.07,-7.88,0.33,0.07,0.20
-1.06,-5.79,-8.43,-0.17,0.36,0.27
-0.44,-4.77,-7.99,-0.10,0.44,0.14
-0.05,-4.76,-7.69,-0.06,0.42,0.25
0.45,-3.79,-7.78,0.18,0.39,0.19
0.23,-5.17,-7.69,0.28,0.21,0.33
-1.24,-5.05,-8.98,-0.17,0.33,0.34
-0.64,-4.39,-8.95,-0.12,0.60,0.32
-0.41,-5.21,-7.25,0.30,0.52,0.21
0.17,-5.28,-6.83,-0.30,0.79,0.21
1.00,-4.68,-6.77,-0.10,0.63,0.09
2.38,-4.52,-7.13,-0.55,0.62,0.07
2.00,-3.83,-7.46,-0.12,0.41,0.02
2.54,-4.34,-7.24,-0.47,0.46,0.20
2.41,-3.72,-7.95,-0.25,0.26,0.10
1.84,-4.02,-8.65,-0.35,0.21,0.09
2.22,-3.66,-8.14,-0.22,0.31,-0.10
3.01,-3.50,-7.20,-0.04,0.25,-0.24
2.28,-4.30,-8.50,-0.16,0.02,-0.27
2.65,-4.16,-8.79,-0.24,0.10,-0.29
3.33,-4.30,-8.20,-0.14,0.26,-0.17
3.41,-4.44,-8.60,-0.28,0.20,-0.14
3.46,-4.17,-8.89,-0.05,0.03,-0.18

-4.07,-19.80,-4.32,-0.31,-0.42,-0.35
-4.07,-19.80,-4.32,-0.31,-0.42,-0.35
-5.05,-31.66,2.08,-0.28,-1.10,-2.64
-1.57,-14.81,4.20,0.27,-1.72,-4.37
3.25,13.53,-6.51,-0.50,-1.95,-1.26
1.79,10.07,-10.63,-1.83,-0.21,-0.07
-2.05,6.23,-12.15,0.31,-0.87,-0.51
-0.42,7.83,-13.94,-0.71,-0.68,-0.40
0.30,2.14,-10.24,-1.00,0.17,0.18
0.90,1.05,-9.80,-0.37,0.25,0.40
0.54,0.32,-9.91,-0.16,0.00,0.33
0.42,3.11,-11.91,0.29,-0.17,0.12
-0.03,0.19,-9.96,0.11,0.48,0.52
0.38,0.76,-9.72,0.53,0.24,0.28
0.99,0.59,-9.40,0.62,0.17,0.58
0.78,0.34,-8.16,0.51,-0.03,0.21
1.87,2.03,-9.86,0.69,0.05,0.26
1.53,-0.62,-6.67,1.00,-0.42,0.11
1.22,0.41,-11.15,0.64,-0.04,0.40
0.90,-3.48,-6.08,0.07,0.49,0.73
1.80,-0.60,-10.50,0.65,0.14,0.49
1.25,-4.04,-7.95,0.08,0.45,0.78
2.49,-1.93,-8.58,0.35,0.24,0.34
1.13,-3.29,-9.22,-0.04,0.47,0.98
1.77,-3.10,-7.95,0.25,0.42,0.73
0.91,-3.89,-8.57,-0.02,0.63,1.06
0.97,-4.12,-8.58,0.47,0.41,0.65
0.93,-4.91,-8.07,0.41,0.53,0.67
1.32,-4.71,-8.04,-0.09,0.60,0.70
1.47,-5.32,-7.73,0.39,0.47,0.18
3.08,-2.16,-6.98,0.01,0.48,0.54
1.56,-4.41,-8.28,0.19,0.25,0.82
1.59,-4.44,-8.11,0.28,0.35,0.69
1.02,-6.13,-8.59,-0.02,0.23,0.75
1.77,-5.28,-7.54,0.22,0.30,0.35
1.48,-6.02,-7.91,-0.38,0.33,0.49
1.59,-4.44,-8.10,0.25,0.14,-0.08
1.92,-4.08,-7.86,-0.44,0.23,0.27
2.08,-4.03,-7.98,0.11,0.04,-0.07
2.39,-3.86,-8.06,-0.18,0.09,0.13
7.50,-7.25,-14.30,-0.50,0.53,0.20
7.50,-7.25,-14.30,-0.50,0.53,0.20
7.50,-7.25,-14.30,-0.50,0.53,0.20
