Column1;aX;aY;aZ 
-237;-837;-302;292
-237;-850;-302;292
-237;-850;-302;292
-242;-823;-297;275
-242;-824;-341;276
-242;-824;-341;276
-217;-820;-334;274
-360;-820;-334;274
-360;-820;-334;274
-271;-823;-319;270
-271;-823;-319;270
-235;-823;-319;270
-235;-826;-336;286
-235;-826;-336;286
-333;-839;-310;276
-333;-821;-304;265
-333;-821;-304;265
-210;-821;-304;265
-210;-840;-331;280
-210;-840;-331;280
-390;-840;-331;280
-390;-809;-326;282
-390;-809;-326;282
212;-828;-301;266
212;-829;-305;258
212;-829;-305;258
-423;-831;-330;255
-423;-863;-299;238
-423;-863;-299;238
-233;-863;-299;238
-233;-839;-284;240
-233;-839;-284;240
217;-839;-284;240
-241;-821;-338;211
-241;-821;-338;211
-241;-772;-374;204
-369;-717;-373;216
-369;-717;-373;216
-420;-715;-394;243
-420;-560;-455;331
-420;-560;-455;331
228;-560;-455;331
-384;-890;-245;70
-222;-890;-245;70
-222;-890;-245;70
-222;-544;-393;247
252;-544;-393;247
252;-544;-393;247
252;-963;-435;273
-392;-963;-435;273
-392;-887;-356;244
-392;-880;-336;190
-403;-880;-336;190
-403;-880;-336;190
-243;-984;-338;169
-243;-984;-338;169
-405;-984;-338;169
-292;-917;-37;189
-292;-917;-37;189
-292;-1070;-57;284
-237;-1079;-94;332
-237;-1079;-94;332
-237;-1021;-90;323
-485;-963;-147;330
-485;-963;-147;330
-485;-963;-147;330
-481;-921;-109;263
-481;-921;-109;263
-481;-848;-295;253
-210;-848;-295;253
-210;-848;-295;253
-210;-835;-319;119
-202;-835;-319;119
-202;-835;-319;119
-202;-794;-325;126
-264;-794;-325;126
-264;-794;-325;126
-264;-815;-323;145
-229;-815;-323;145
-208;-815;-323;145
-208;-846;-296;157
-464;-846;-296;157
-274;-846;-296;157
-274;-856;-309;189
-372;-856;-309;189
-372;-856;-309;189
-372;-878;-304;184
-393;-878;-304;184
-393;-878;-304;184
-393;-877;-300;170
-212;-877;-300;170
-212;-877;-300;170
-212;-856;-258;145
-229;-856;-258;145
-229;-856;-258;145
-229;-873;-272;201
-233;-873;-272;201
-233;-873;-272;201
-233;-831;-315;238
-223;-831;-315;238
-223;-831;-315;238
-223;-807;-244;173
-244;-807;-244;173
-244;-807;-244;173
-244;-838;-247;169
-327;-838;-247;169
-327;-838;-247;169
-327;-810;-272;160
-345;-810;-272;160
-345;-816;-319;183
-366;-857;-320;168
-366;-857;-320;168
-322;-857;-320;168
-226;-842;-311;143
-226;-842;-311;143
-226;-842;-311;143
-347;-847;-409;153
-347;-847;-409;153
-347;-827;-331;148
-279;-827;-331;148
-279;-847;-332;135
-288;-844;-390;145
-342;-844;-390;145
-342;-844;-390;145
-342;-844;-310;145
-368;-844;-310;145
-368;-844;-310;145
-368;-832;-357;159
-300;-832;-357;159
-300;-429;-690;485
-304;-429;-690;485
-304;-429;-690;485
-240;-435;-705;485
-240;-435;-705;485
-240;-435;-705;485
204;-435;-705;485
206;-435;-705;485
206;-434;-696;483
206;-434;-696;483
239;-434;-696;483
239;-434;-696;483
213;-434;-696;483
202;-434;-696;483
202;-434;-696;483
215;-434;-696;483
215;-427;-693;487
