aX,aY,aZ,gX,gY,gZ
-0.099,1.443,1.957,-5.188,43.701,-41.077
-0.279,1.458,1.604,-15.381,74.158,-85.083
-0.463,1.192,0.993,-21.973,102.478,-134.155
-0.646,0.787,0.874,-31.799,90.881,-175.293
-0.772,0.286,1.086,-42.603,65.491,-201.904
-0.799,-0.032,1.397,-55.725,54.016,-211.670
-0.778,0.047,1.547,-59.692,62.927,-208.618
-0.810,0.101,1.499,-52.673,83.679,-214.294
-0.879,-0.058,1.378,-41.565,102.783,-233.887
-0.863,-0.178,1.313,-26.855,114.014,-250.305
-0.825,-0.147,1.367,-11.475,120.789,-260.132
-0.827,-0.048,1.394,1.038,134.583,-271.301
-0.818,0.125,1.397,5.615,157.410,-286.743
-0.835,0.441,1.387,1.770,183.167,-306.335
-0.915,0.741,1.514,-5.432,203.491,-337.952
-1.227,0.772,1.380,-3.662,224.792,-384.521
-1.673,0.337,1.144,6.592,242.981,-440.491
-2.154,-0.323,0.738,30.457,253.418,-486.145
-2.463,-1.134,0.028,64.819,256.226,-504.211
-2.490,-1.868,-0.281,78.491,231.812,-494.995
-2.325,-2.016,-0.019,63.843,195.068,-454.956
-2.127,-1.640,0.324,35.522,184.998,-403.564
-2.087,-1.161,0.408,4.883,205.994,-372.498
-2.072,-0.607,0.253,-20.447,236.206,-364.197
-2.024,-0.210,0.370,-45.959,247.925,-374.634
-2.301,0.045,0.710,-75.134,248.535,-398.804
-2.652,-0.358,0.411,-87.219,267.334,-436.951
-2.907,-0.908,-0.082,-86.609,272.949,-464.905
-3.001,-1.434,-0.345,-79.102,243.958,-469.299
-2.865,-2.101,-0.337,-67.444,196.106,-455.444
-2.603,-2.636,0.051,-62.988,145.691,-419.739
-2.269,-2.673,0.310,-57.678,116.455,-359.192
-1.980,-2.374,0.365,-49.622,105.530,-296.082
-1.707,-2.006,0.445,-40.771,95.215,-250.732
-1.438,-1.633,0.705,-37.842,82.031,-221.130
-1.270,-1.321,0.890,-34.119,75.378,-202.148
-1.222,-1.245,0.763,-35.217,83.313,-193.970
-1.207,-1.441,0.340,-38.635,91.248,-191.284
-1.180,-1.835,0.083,-35.645,74.402,-183.533
-1.050,-2.243,0.097,-20.752,35.156,-161.072
-0.943,-2.389,0.319,-3.845,-2.869,-120.056
-0.858,-2.116,0.255,9.094,-19.165,-63.904
-0.759,-1.733,0.027,10.742,-26.611,-14.832
-0.604,-1.263,0.249,-0.916,-50.537,22.156
-0.444,-0.778,0.760,-14.893,-77.637,49.255
-0.371,-0.453,1.113,-31.311,-82.031,59.937
-0.332,-0.432,1.210,-49.744,-64.026,56.702
-0.393,-0.513,1.235,-65.979,-45.349,52.673
-0.473,-0.518,1.148,-69.763,-34.241,54.138
-0.539,-0.521,0.991,-51.758,-33.752,52.673
-0.622,-0.892,1.043,-19.897,-48.523,42.847
-0.713,-1.236,1.178,14.160,-67.200,41.138
-0.744,-1.190,1.186,43.213,-75.928,62.378
-0.811,-1.058,1.206,58.411,-80.444,86.731
-0.833,-0.972,1.286,52.368,-78.552,107.422
-0.864,-0.918,1.393,36.194,-69.824,125.916
-0.881,-0.841,1.479,12.573,-53.650,143.494
