aX,aY,aZ,gX,gY,gZ
-17.459,-12.780,-1.882,-17.097,-17.097,-17.097
-20.466,-15.098,-1.216,-14.707,-14.707,-14.707
-21.285,-17.808,-1.508,-9.714,-9.714,-9.714
-17.641,-19.484,-2.265,-8.199,-8.199,-8.199
-14.188,-20.227,-3.424,-3.925,-3.925,-3.925
-10.975,-21.673,-5.818,1.632,1.632,1.632
-10.975,-21.673,-5.818,1.632,1.632,1.632
-4.199,-18.733,-4.616,2.429,2.429,2.429
-2.207,-16.243,-3.845,1.496,1.496,1.496
-0.464,-13.776,-3.098,2.390,2.390,2.390
-0.464,-13.776,-3.098,2.390,2.390,2.390
-0.484,-9.730,-1.489,14.260,14.260,14.260
-0.867,-8.251,-1.690,16.359,16.359,16.359
-0.867,-8.251,-1.690,16.359,16.359,16.359
0.029,-2.978,-0.010,2.293,2.293,2.293
0.618,-0.991,1.183,2.662,2.662,2.662
-0.536,0.350,1.647,3.925,3.925,3.925
-0.948,0.814,2.016,6.042,6.042,6.042
-1.949,1.537,1.911,6.567,6.567,6.567
-2.528,1.982,2.313,6.081,6.081,6.081
-3.381,2.117,2.466,9.559,9.559,9.559
-4.204,1.705,1.671,15.815,15.815,15.815
-5.205,1.221,0.785,17.447,17.447,17.447
-6.129,0.905,0.402,15.582,15.582,15.582
-6.723,0.852,0.129,12.706,12.706,12.706
-6.278,0.541,0.072,10.802,10.802,10.802
-6.278,0.541,0.072,10.802,10.802,10.802
-7.006,0.872,0.259,7.227,7.227,7.227
-7.432,0.996,0.771,3.478,3.478,3.478
-8.126,0.488,1.250,1.263,1.263,1.263
-8.935,0.283,1.346,-0.155,-0.155,-0.155
-9.165,0.192,1.657,3.361,3.361,3.361
-9.376,0.048,1.336,5.984,5.984,5.984
-9.031,-0.096,1.188,4.177,4.177,4.177
-8.993,0.086,1.283,-0.155,-0.155,-0.155
-9.510,0.019,1.389,-2.195,-2.195,-2.195
-9.371,0.091,1.767,-2.176,-2.176,-2.176
-9.620,-0.110,1.954,-0.855,-0.855,-0.855
-10.286,-0.220,1.891,-0.874,-0.874,-0.874
-10.161,-0.153,2.634,-0.874,-0.874,-0.874
-9.644,0.177,2.528,0.486,0.486,0.486
-9.797,-0.072,2.059,1.613,1.613,1.613
-9.836,-0.129,1.958,0.816,0.816,0.816
-9.802,-0.168,1.987,-0.738,-0.738,-0.738
-9.802,-0.168,1.987,-0.738,-0.738,-0.738
-9.443,-0.163,2.002,1.166,1.166,1.166
-9.299,-0.043,1.791,1.710,1.710,1.710
-8.806,0.105,1.748,0.544,0.544,0.544
-8.806,0.105,1.748,0.544,0.544,0.544
-9.304,0.077,1.872,0.039,0.039,0.039
-9.443,-0.024,1.930,0.952,0.952,0.952
-9.424,-0.024,1.781,0.971,0.971,0.971
-9.850,-0.091,1.901,0.350,0.350,0.350
-9.792,0.048,2.107,-0.175,-0.175,-0.175
-9.859,0.000,2.327,0.039,0.039,0.039
-9.898,0.010,2.040,2.040,2.040,2.040
-9.802,0.005,1.987,2.662,2.662,2.662
-9.596,0.129,1.753,3.245,3.245,3.245
-9.615,0.048,1.705,2.467,2.467,2.467
-9.630,-0.062,1.844,1.146,1.146,1.146
-9.855,0.062,1.987,1.107,1.107,1.107
-9.855,0.062,1.987,1.107,1.107,1.107
-9.424,0.192,1.753,2.759,2.759,2.759
-9.472,0.201,1.638,2.681,2.681,2.681
-9.438,0.196,1.561,1.962,1.962,1.962
-9.438,0.196,1.561,1.962,1.962,1.962
-9.543,0.081,1.628,0.699,0.699,0.699
-9.687,-0.019,1.642,0.971,0.971,0.971
-9.826,-0.062,1.585,0.933,0.933,0.933
-9.826,0.010,1.686,-0.039,-0.039,-0.039
-9.778,0.048,1.810,-0.583,-0.583,-0.583
-9.491,0.057,1.848,-0.136,-0.136,-0.136
-9.582,0.148,1.757,0.272,0.272,0.272
-9.654,0.038,1.777,0.350,0.350,0.350
-9.706,0.081,1.757,-0.058,-0.058,-0.058
-9.735,0.139,1.978,-0.291,-0.291,-0.291
-9.711,0.172,2.049,0.544,0.544,0.544
-9.553,0.249,1.915,1.166,1.166,1.166
-9.553,0.249,1.915,1.166,1.166,1.166
-9.357,0.201,1.748,0.563,0.563,0.563
-9.697,0.110,1.925,-0.253,-0.253,-0.253
-9.850,0.053,2.069,-0.117,-0.117,-0.117
-9.630,0.034,1.844,0.913,0.913,0.913
-9.749,-0.091,1.709,0.971,0.971,0.971
-9.735,0.014,1.887,-0.194,-0.194,-0.194
-9.606,0.148,1.906,-0.175,-0.175,-0.175
-9.529,0.115,1.777,0.622,0.622,0.622
-9.534,0.134,1.901,0.291,0.291,0.291
-9.438,0.259,2.045,0.447,0.447,0.447
-9.361,0.187,1.877,1.010,1.010,1.010
-9.534,0.168,1.815,0.738,0.738,0.738
-9.524,0.244,1.896,-0.253,-0.253,-0.253
-9.448,0.254,1.939,-0.311,-0.311,-0.311
-9.553,0.158,1.925,0.447,0.447,0.447
-9.735,0.086,1.954,1.069,1.069,1.069
-9.807,0.105,1.906,0.797,0.797,0.797
-9.697,0.182,2.002,0.369,0.369,0.369
-9.668,0.120,1.901,0.408,0.408,0.408
-9.567,0.201,1.796,0.680,0.680,0.680
-9.539,0.235,1.834,0.563,0.563,0.563
-9.553,0.177,1.796,0.408,0.408,0.408
-9.553,0.177,1.796,0.408,0.408,0.408
-9.649,0.139,1.805,0.078,0.078,0.078
-9.649,0.144,1.733,-0.058,-0.058,-0.058
-9.448,0.225,1.777,0.272,0.272,0.272
-9.697,0.129,1.810,0.544,0.544,0.544
-9.654,0.134,1.882,-0.097,-0.097,-0.097
-9.687,0.182,1.949,-0.058,-0.058,-0.058
-9.706,0.091,1.834,0.466,0.466,0.466
-9.630,0.163,1.791,0.350,0.350,0.350
-9.491,0.182,1.863,0.350,0.350,0.350
-9.639,0.057,1.868,0.797,0.797,0.797
-9.639,0.125,1.738,0.563,0.563,0.563
-9.510,0.187,1.824,0.097,0.097,0.097
-9.620,0.091,1.925,-0.369,-0.369,-0.369
-9.759,0.139,2.107,-0.563,-0.563,-0.563
-9.634,0.105,2.198,0.253,0.253,0.253
-9.563,0.096,2.093,1.321,1.321,1.321
-9.452,0.182,1.978,1.554,1.554,1.554

