aX,aY,aZ,gX,gY,gZ
-14.801,-18.249,0.340,-11.560,-11.560,-11.560
-14.801,-18.249,0.340,-11.560,-11.560,-11.560
-7.278,-16.123,-0.115,-27.938,-27.938,-27.938
-3.941,-10.334,1.714,-35.845,-35.845,-35.845
-4.664,-5.622,3.764,-34.932,-34.932,-34.932
-5.248,-1.082,5.114,-30.211,-30.211,-30.211
-5.291,1.470,5.990,-24.732,-24.732,-24.732
-5.823,3.203,5.219,-12.881,-12.881,-12.881
-6.761,4.779,5.071,-3.672,-3.672,-3.672
-8.892,4.760,5.373,1.282,1.282,1.282
-10.295,4.736,5.387,4.061,4.061,4.061
-11.013,3.266,4.975,3.886,3.886,3.886
-11.617,2.389,5.526,4.099,4.099,4.099
-11.617,2.389,5.526,4.099,4.099,4.099
-11.104,2.059,5.895,9.131,9.131,9.131
-10.961,1.829,5.339,24.208,24.208,24.208
-11.545,1.599,4.247,27.763,27.763,27.763
-11.373,1.240,4.324,28.715,28.715,28.715
-10.851,1.417,4.199,29.570,29.570,29.570
-10.851,1.417,4.199,29.570,29.570,29.570
-9.740,1.216,2.773,35.088,35.088,35.088
-10.448,1.125,2.112,32.037,32.037,32.037
-10.372,0.924,2.217,26.656,26.656,26.656
-9.668,1.848,2.643,21.080,21.080,21.080
-8.667,1.920,3.031,19.254,19.254,19.254
-8.667,1.920,3.031,19.254,19.254,19.254
-8.825,0.498,3.452,19.934,19.934,19.934
-9.184,0.273,3.582,16.339,16.339,16.339
-8.854,-0.034,4.563,13.483,13.483,13.483
-8.528,-0.225,4.975,12.240,12.240,12.240
-8.528,-0.225,4.975,12.240,12.240,12.240
-7.776,-0.010,4.539,16.320,16.320,16.320
-7.709,0.450,4.717,16.398,16.398,16.398
-8.500,0.795,4.592,15.212,15.212,15.212
-8.552,0.699,5.344,13.522,13.522,13.522
-8.365,0.819,5.545,13.114,13.114,13.114
-8.576,0.699,5.219,11.929,11.929,11.929
-7.968,0.704,5.655,10.297,10.297,10.297
-7.992,0.881,5.535,9.228,9.228,9.228
-7.508,0.943,5.401,8.315,8.315,8.315
-7.690,0.814,4.841,7.130,7.130,7.130
-7.571,0.402,4.765,4.702,4.702,4.702
-7.949,0.402,4.937,1.107,1.107,1.107
-8.097,0.297,5.286,-0.486,-0.486,-0.486
-8.097,0.297,5.286,-0.486,-0.486,-0.486
-8.701,-0.335,5.162,-0.350,-0.350,-0.350
-9.012,-0.752,4.731,-1.671,-1.671,-1.671
-9.170,-0.867,4.659,-3.419,-3.419,-3.419
-9.223,-0.943,4.664,-5.129,-5.129,-5.129
-9.323,-0.962,4.812,-4.741,-4.741,-4.741
-9.017,-0.982,4.726,-2.739,-2.739,-2.739
-8.586,-1.154,4.544,-1.457,-1.457,-1.457
-8.710,-1.178,4.185,-0.913,-0.913,-0.913
-8.734,-1.101,4.022,-1.438,-1.438,-1.438
-8.614,-1.030,3.903,-3.517,-3.517,-3.517
-8.763,-0.900,4.118,-4.061,-4.061,-4.061
-8.950,-1.020,4.180,-2.875,-2.875,-2.875
-9.294,-1.006,4.070,-1.768,-1.768,-1.768
-9.266,-1.082,4.281,-0.758,-0.758,-0.758
-9.012,-1.231,4.156,-0.563,-0.563,-0.563
-8.931,-1.427,4.056,-1.477,-1.477,-1.477
-8.887,-1.245,4.176,-2.001,-2.001,-2.001
-8.907,-1.183,4.401,-1.962,-1.962,-1.962
-9.007,-1.154,4.439,-1.049,-1.049,-1.049
-8.993,-1.298,4.300,0.019,0.019,0.019
-8.801,-1.441,4.257,0.330,0.330,0.330
-8.753,-1.259,4.156,-0.175,-0.175,-0.175
-8.653,-1.274,4.310,-0.680,-0.680,-0.680
-8.610,-1.101,4.401,-0.369,-0.369,-0.369
-8.787,-1.063,4.348,0.214,0.214,0.214
-8.878,-1.073,4.353,0.350,0.350,0.350
-8.586,-1.197,4.391,0.661,0.661,0.661
-8.318,-1.226,4.123,0.719,0.719,0.719
-8.519,-1.164,4.046,-0.058,-0.058,-0.058
-8.519,-1.164,4.046,-0.058,-0.058,-0.058
-9.141,-1.049,4.204,-0.641,-0.641,-0.641
-9.208,-1.188,4.065,0.253,0.253,0.253
-8.916,-1.302,3.984,0.000,0.000,0.000
-8.777,-1.451,3.970,-0.816,-0.816,-0.816
-8.777,-1.451,3.970,-0.816,-0.816,-0.816
-8.777,-1.211,4.199,-1.127,-1.127,-1.127
-8.749,-1.259,4.204,-0.272,-0.272,-0.272
-8.926,-1.413,4.080,-0.078,-0.078,-0.078
-8.926,-1.413,4.080,-0.078,-0.078,-0.078
-8.835,-1.523,4.161,-0.758,-0.758,-0.758
-8.729,-1.470,4.415,-0.466,-0.466,-0.466
-8.892,-1.484,4.377,0.719,0.719,0.719
-8.883,-1.480,4.085,1.457,1.457,1.457
-8.883,-1.480,4.085,1.457,1.457,1.457
-8.562,-1.211,4.223,0.369,0.369,0.369
-8.423,-1.144,4.219,0.797,0.797,0.797
-8.399,-1.149,4.070,1.535,1.535,1.535
-8.452,-1.322,3.998,1.341,1.341,1.341
-8.696,-1.302,4.061,0.117,0.117,0.117
-8.945,-1.274,4.381,-0.272,-0.272,-0.272
-9.103,-1.279,4.290,0.369,0.369,0.369
-9.103,-1.279,4.290,0.369,0.369,0.369
-9.136,-1.422,4.113,0.058,0.058,0.058
-8.825,-1.326,4.343,-0.661,-0.661,-0.661
-8.605,-1.235,4.420,0.136,0.136,0.136
-8.605,-1.235,4.420,0.136,0.136,0.136
-8.653,-1.235,4.190,0.971,0.971,0.971
-8.931,-1.274,4.089,0.253,0.253,0.253
-8.782,-1.226,4.329,-0.583,-0.583,-0.583
-8.576,-1.188,4.458,0.019,0.019,0.019
-8.514,-1.389,4.180,1.049,1.049,1.049
-8.705,-1.326,4.080,0.408,0.408,0.408
-8.705,-1.326,4.080,0.408,0.408,0.408
-8.643,-1.183,4.444,-0.661,-0.661,-0.661
-8.629,-1.111,4.362,0.117,0.117,0.117
-8.538,-1.073,4.185,1.127,1.127,1.127
-8.605,-1.188,4.118,1.515,1.515,1.515
-8.907,-1.274,4.051,0.661,0.661,0.661
-9.065,-1.192,4.185,-0.291,-0.291,-0.291
-9.012,-1.154,4.257,-0.214,-0.214,-0.214
-8.820,-1.149,4.219,0.136,0.136,0.136
-8.638,-1.221,4.185,0.253,0.253,0.253
-8.648,-1.322,4.314,0.291,0.291,0.291
-8.792,-1.274,4.334,0.117,0.117,0.117

-12.986,-14.552,-3.208,-7.907,-7.907,-7.907
-14.289,-17.847,-2.873,-16.844,-16.844,-16.844
-10.137,-17.071,-1.623,-35.010,-35.010,-35.010
-5.521,-12.115,1.623,-50.184,-50.184,-50.184
-4.827,-6.680,4.233,-53.389,-53.389,-53.389
-5.962,-1.777,5.837,-44.394,-44.394,-44.394
-6.239,1.686,6.373,-29.531,-29.531,-29.531
-7.331,3.831,6.302,-16.650,-16.650,-16.650
-7.331,3.831,6.302,-16.650,-16.650,-16.650
-8.413,6.029,4.760,0.855,0.855,0.855
-8.715,4.870,4.243,4.410,4.410,4.410
-9.792,5.741,4.697,4.818,4.818,4.818
-9.998,6.134,5.071,7.305,7.305,7.305
-10.238,5.052,4.769,14.727,14.727,14.727
-10.343,3.184,4.075,23.877,23.877,23.877
-10.405,3.280,3.687,27.336,27.336,27.336
-10.731,2.117,3.486,25.840,25.840,25.840
-11.023,1.547,3.539,23.975,23.975,23.975
-10.606,1.192,4.018,25.335,25.335,25.335
-9.850,0.579,4.214,28.618,28.618,28.618
-9.036,0.354,4.128,32.873,32.873,32.873
-9.026,1.020,3.500,34.777,34.777,34.777
-9.036,0.972,3.103,34.194,34.194,34.194
-9.294,1.053,2.916,32.251,32.251,32.251
-9.644,0.493,2.528,31.843,31.843,31.843
-9.912,0.900,2.069,28.773,28.773,28.773
-8.863,1.178,2.500,25.121,25.121,25.121
-8.466,0.934,2.567,23.489,23.489,23.489
-8.533,1.044,2.883,23.703,23.703,23.703
-8.796,1.173,3.103,22.226,22.226,22.226
-9.012,0.934,3.491,21.740,21.740,21.740
-8.701,0.833,4.123,24.655,24.655,24.655
-8.835,0.704,3.941,29.337,29.337,29.337
-8.777,0.752,3.630,30.056,30.056,30.056
-8.557,0.886,3.888,26.695,26.695,26.695
-8.093,0.929,5.047,24.907,24.907,24.907
-8.552,0.929,5.057,24.655,24.655,24.655
-8.624,1.020,5.066,25.548,25.548,25.548
-8.021,1.384,5.057,25.568,25.568,25.568
-7.580,1.240,4.932,26.034,26.034,26.034
-7.542,0.972,4.463,26.228,26.228,26.228
-8.337,1.097,3.922,24.907,24.907,24.907
-9.055,1.030,3.611,21.604,21.604,21.604
-9.390,1.025,3.845,18.127,18.127,18.127
-9.208,1.293,4.008,15.834,15.834,15.834
-9.376,1.063,3.836,15.504,15.504,15.504
-9.376,1.063,3.836,15.504,15.504,15.504
-10.597,0.589,4.041,12.492,12.492,12.492
-10.611,0.330,4.104,10.297,10.297,10.297
-10.152,0.508,4.238,7.771,7.771,7.771
-9.299,0.809,4.453,5.518,5.518,5.518
-8.739,1.034,4.516,4.779,4.779,4.779
-8.303,1.097,4.472,4.391,4.391,4.391
-8.303,1.097,4.472,4.391,4.391,4.391
-8.552,0.661,4.535,2.215,2.215,2.215
-8.753,0.441,4.176,1.282,1.282,1.282
-8.753,0.441,4.176,1.282,1.282,1.282
-8.624,0.311,4.046,-0.699,-0.699,-0.699
-8.969,-0.029,3.860,-4.099,-4.099,-4.099
-9.505,-0.345,3.840,-4.274,-4.274,-4.274
-9.505,-0.345,3.840,-4.274,-4.274,-4.274
-9.797,-0.603,3.912,-3.225,-3.225,-3.225
-9.797,-0.603,3.912,-3.225,-3.225,-3.225
-8.907,-0.972,3.567,-1.360,-1.360,-1.360
-9.012,-0.747,3.429,-1.457,-1.457,-1.457
-9.089,-0.838,3.687,-1.671,-1.671,-1.671
-9.012,-0.680,3.903,-1.749,-1.749,-1.749
-8.705,-0.541,3.984,-0.330,-0.330,-0.330
-8.461,-0.565,3.692,1.127,1.127,1.127
-8.595,-0.512,3.510,0.971,0.971,0.971
-8.562,-0.474,3.615,0.117,0.117,0.117
-8.969,-0.407,3.577,-0.330,-0.330,-0.330
-9.194,-0.455,3.520,-1.069,-1.069,-1.069
-9.242,-0.536,3.654,-1.438,-1.438,-1.438
-9.424,-0.599,3.759,-1.904,-1.904,-1.904
-9.141,-0.613,3.816,-2.137,-2.137,-2.137
-9.361,-0.670,3.840,-1.438,-1.438,-1.438
-9.361,-0.670,3.840,-1.438,-1.438,-1.438
-9.539,-0.637,3.797,-0.097,-0.097,-0.097
-9.539,-0.637,3.797,-0.097,-0.097,-0.097
-8.739,-0.589,3.639,0.622,0.622,0.622
-8.705,-0.575,3.606,0.544,0.544,0.544
-8.705,-0.575,3.606,0.544,0.544,0.544
-9.160,-0.627,3.711,-0.233,-0.233,-0.233
-9.103,-0.450,3.759,-1.049,-1.049,-1.049
-8.571,-0.364,3.845,-1.263,-1.263,-1.263
-8.571,-0.364,3.845,-1.263,-1.263,-1.263
-8.830,-0.527,3.716,-0.544,-0.544,-0.544
-9.160,-0.709,3.534,-1.302,-1.302,-1.302
-9.242,-0.632,3.888,-1.710,-1.710,-1.710
-9.074,-0.661,4.051,-0.835,-0.835,-0.835
-9.074,-0.661,4.051,-0.835,-0.835,-0.835
-9.089,-0.737,3.725,-0.272,-0.272,-0.272
-8.969,-0.833,3.625,-0.952,-0.952,-0.952
-8.969,-0.833,3.625,-0.952,-0.952,-0.952
-9.266,-0.814,3.883,-0.505,-0.505,-0.505
-9.266,-0.814,3.883,-0.505,-0.505,-0.505
-9.165,-0.800,3.658,0.369,0.369,0.369
-8.820,-0.781,3.620,0.194,0.194,0.194
-8.820,-0.781,3.620,0.194,0.194,0.194
-8.988,-0.737,3.663,-0.117,-0.117,-0.117
-8.988,-0.737,3.663,-0.117,-0.117,-0.117
-9.112,-0.661,3.682,-0.233,-0.233,-0.233
-9.117,-0.752,3.572,0.000,0.000,0.000
-9.069,-0.713,3.721,0.058,0.058,0.058
-8.931,-0.733,3.692,0.350,0.350,0.350
-8.907,-0.848,3.654,0.194,0.194,0.194
-9.141,-0.848,3.687,-0.291,-0.291,-0.291
-9.299,-0.824,3.836,-0.330,-0.330,-0.330
-8.969,-0.733,3.912,0.175,0.175,0.175
-8.677,-0.804,3.773,0.486,0.486,0.486
-8.763,-0.680,3.773,0.350,0.350,0.350
-9.089,-0.704,3.816,0.194,0.194,0.194
-8.959,-0.646,3.797,0.136,0.136,0.136
-8.959,-0.646,3.797,0.136,0.136,0.136
-9.021,-0.670,3.716,0.078,0.078,0.078
-9.103,-0.651,3.692,-0.563,-0.563,-0.563
-9.390,-0.761,3.816,-0.797,-0.797,-0.797
-9.390,-0.761,3.816,-0.797,-0.797,-0.797

-11.440,-12.876,-2.064,-2.584,-2.584,-2.584
-14.442,-16.717,-0.105,-19.176,-19.176,-19.176
-10.913,-15.141,2.002,-30.192,-30.192,-30.192
-7.159,-10.664,3.850,-31.979,-31.979,-31.979
-5.387,-4.697,3.227,-23.314,-23.314,-23.314
-5.459,-0.555,3.065,-17.019,-17.019,-17.019
-5.847,2.729,3.974,-17.194,-17.194,-17.194
-6.771,3.649,4.731,-14.688,-14.688,-14.688
-6.771,3.649,4.731,-14.688,-14.688,-14.688
-8.318,5.722,4.827,1.166,1.166,1.166
-7.585,4.741,4.300,11.560,11.560,11.560
-7.709,5.330,3.797,14.882,14.882,14.882
-8.222,4.803,3.472,13.522,13.522,13.522
-8.222,4.803,3.472,13.522,13.522,13.522
-8.988,3.065,3.745,9.326,9.326,9.326
-9.778,3.721,3.816,12.764,12.764,12.764
-10.362,2.950,3.338,20.089,20.089,20.089
-10.401,2.246,2.279,27.841,27.841,27.841
-10.343,1.595,1.954,29.978,29.978,29.978
-9.366,1.360,2.361,25.723,25.723,25.723
-9.366,1.360,2.361,25.723,25.723,25.723
-9.984,1.504,2.782,22.207,22.207,22.207
-9.984,1.504,2.782,22.207,22.207,22.207
-9.721,0.704,3.309,21.468,21.468,21.468
-9.333,0.627,3.362,22.440,22.440,22.440
-8.978,0.469,2.916,24.557,24.557,24.557
-8.911,0.555,2.552,24.383,24.383,24.383
