aX,aY,aZ,gX,gY,gZ
-5.689,-4.195,-40.764,10.686,10.686,10.686
-9.706,-3.984,-41.444,-2.390,-2.390,-2.390
-12.651,-2.796,-35.167,-5.323,-5.323,-5.323
-13.082,-1.116,-25.355,-2.157,-2.157,-2.157
-13.082,-1.116,-25.355,-2.157,-2.157,-2.157
-10.334,0.441,-5.636,-16.106,-16.106,-16.106
-8.629,0.153,-1.034,-13.872,-13.872,-13.872
-7.288,-0.426,0.718,-2.837,-2.837,-2.837
-6.244,-0.383,1.082,2.254,2.254,2.254
-4.894,0.254,1.432,3.750,3.750,3.750
-4.894,0.254,1.432,3.750,3.750,3.750
-2.164,1.183,3.414,1.768,1.768,1.768
-0.484,0.718,4.252,3.769,3.769,3.769
1.197,1.288,4.367,6.994,6.994,6.994
1.197,1.288,4.367,6.994,6.994,6.994
2.600,1.542,4.745,-0.233,-0.233,-0.233
3.041,1.695,6.340,-6.450,-6.450,-6.450
5.004,3.050,7.647,-9.345,-9.345,-9.345
5.004,3.050,7.647,-9.345,-9.345,-9.345
8.547,3.711,5.909,-0.389,-0.389,-0.389
9.405,3.117,4.597,1.457,1.457,1.457
10.310,2.897,4.468,-4.138,-4.138,-4.138
10.458,2.318,3.678,-7.227,-7.227,-7.227
9.701,1.623,2.610,-5.071,-5.071,-5.071
9.237,1.298,2.667,-4.546,-4.546,-4.546
9.247,1.518,4.075,-4.507,-4.507,-4.507
9.208,1.887,4.836,-5.343,-5.343,-5.343
8.557,2.231,4.147,-5.867,-5.867,-5.867
8.509,2.064,3.381,-1.457,-1.457,-1.457
8.198,1.709,2.878,1.205,1.205,1.205
8.662,1.652,3.002,-1.477,-1.477,-1.477
8.591,1.824,3.113,-0.369,-0.369,-0.369
8.820,1.987,3.237,1.613,1.613,1.613
8.820,1.987,3.237,1.613,1.613,1.613
8.356,1.623,3.184,6.295,6.295,6.295
8.284,1.350,3.280,5.304,5.304,5.304
8.667,1.470,3.141,4.333,4.333,4.333
8.686,1.441,1.781,3.594,3.594,3.594
8.543,1.456,0.426,5.537,5.537,5.537
8.337,1.125,-0.843,7.635,7.635,7.635
8.600,0.910,-1.097,6.101,6.101,6.101
8.591,0.900,-1.240,5.051,5.051,5.051
9.223,0.967,-1.034,6.314,6.314,6.314
9.270,1.106,-1.920,4.371,4.371,4.371
8.519,0.685,-4.717,2.623,2.623,2.623
8.519,0.685,-4.717,2.623,2.623,2.623
8.691,0.302,-3.927,9.054,9.054,9.054
8.270,0.005,-2.969,6.955,6.955,6.955
8.184,0.239,-4.415,2.681,2.681,2.681
7.211,-0.297,-7.513,1.438,1.438,1.438
7.580,-0.105,-7.259,7.344,7.344,7.344
7.863,-0.359,-6.072,7.402,7.402,7.402
7.748,0.053,-5.119,3.827,3.827,3.827
7.571,0.503,-4.276,3.827,3.827,3.827
6.666,-0.077,-6.579,3.575,3.575,3.575
6.503,-0.575,-7.853,4.605,4.605,4.605
6.531,-0.417,-7.609,4.721,4.721,4.721
6.330,0.421,-6.804,2.973,2.973,2.973
6.057,1.451,-5.277,1.904,1.904,1.904
5.061,-0.618,-6.421,1.418,1.418,1.418
4.597,-1.599,-9.156,2.817,2.817,2.817
4.827,-0.579,-8.696,1.671,1.671,1.671
4.635,-0.752,-7.987,-4.041,-4.041,-4.041
4.113,-1.015,-7.944,-4.702,-4.702,-4.702
3.845,-0.986,-7.135,-1.282,-1.282,-1.282
3.505,-1.451,-7.820,-0.408,-0.408,-0.408
3.122,-1.556,-11.133,-3.886,-3.886,-3.886
3.117,-1.307,-11.200,-4.741,-4.741,-4.741
3.017,-1.331,-9.333,0.991,0.991,0.991
2.830,-1.063,-7.374,3.925,3.925,3.925
2.394,-1.068,-7.269,-1.515,-1.515,-1.515
2.059,-0.757,-9.194,-3.478,-3.478,-3.478
1.374,-1.288,-11.617,-3.186,-3.186,-3.186
1.168,-1.528,-12.895,-0.447,-0.447,-0.447
1.302,-1.432,-9.836,2.079,2.079,2.079
1.302,-1.432,-9.836,2.079,2.079,2.079
1.202,-1.130,-9.347,-2.254,-2.254,-2.254
0.757,-1.068,-10.750,-3.458,-3.458,-3.458
0.517,-1.168,-10.650,-0.097,-0.097,-0.097
0.369,-1.010,-8.739,1.088,1.088,1.088
0.263,-0.766,-8.255,-2.856,-2.856,-2.856
-0.168,-0.661,-9.515,-0.913,-0.913,-0.913
-0.503,-0.781,-10.113,5.382,5.382,5.382
-0.804,-1.116,-10.324,6.062,6.062,6.062
-1.135,-1.053,-10.970,4.663,4.663,4.663
-1.192,-0.704,-10.386,0.039,0.039,0.039
-1.355,-0.804,-10.492,-2.934,-2.934,-2.934
-1.470,-0.728,-11.425,-2.001,-2.001,-2.001
-1.547,-0.824,-11.564,-0.350,-0.350,-0.350
-1.647,-0.742,-11.521,-0.097,-0.097,-0.097
-1.537,-0.527,-10.583,-0.971,-0.971,-0.971
-1.437,-0.455,-9.519,-3.342,-3.342,-3.342
-1.437,-0.455,-9.519,-3.342,-3.342,-3.342
-1.489,0.125,-9.170,-0.214,-0.214,-0.214
-1.580,-0.043,-9.156,-1.477,-1.477,-1.477
-1.848,-0.215,-8.940,-2.098,-2.098,-2.098
-2.054,-0.436,-9.055,-2.059,-2.059,-2.059
-2.294,-0.287,-9.342,-0.952,-0.952,-0.952
-2.634,-0.603,-10.123,1.146,1.146,1.146
-2.610,-1.001,-10.808,2.973,2.973,2.973
-2.701,-1.628,-11.737,3.555,3.555,3.555
-2.701,-1.628,-11.737,3.555,3.555,3.555
-2.643,-1.580,-11.990,2.778,2.778,2.778
-2.667,-1.475,-11.703,1.632,1.632,1.632
-2.136,-0.464,-10.549,-0.913,-0.913,-0.913
-2.093,-0.383,-10.123,-0.039,-0.039,-0.039
-2.093,-0.383,-10.123,-0.039,-0.039,-0.039
-2.188,-0.565,-9.227,-0.350,-0.350,-0.350
-2.188,-0.565,-9.227,-0.350,-0.350,-0.350
-2.581,-0.570,-9.026,1.127,1.127,1.127
-2.653,-0.881,-9.500,1.146,1.146,1.146
-2.729,-1.058,-9.701,0.952,0.952,0.952
-2.643,-1.082,-9.318,0.874,0.874,0.874
-2.504,-0.795,-9.371,1.418,1.418,1.418
-2.504,-0.795,-9.371,1.418,1.418,1.418
-2.394,-0.412,-9.079,-0.078,-0.078,-0.078
-2.327,-0.536,-9.041,-1.205,-1.205,-1.205
-2.433,-0.675,-9.012,-0.816,-0.816,-0.816
-2.461,-0.618,-9.223,0.602,0.602,0.602

-6.259,-6.737,-37.293,-34.388,-34.388,-34.388
-9.160,-7.360,-39.261,-29.648,-29.648,-29.648
