aX,aY,aZ,gX,gY,gZ
24.158,-3.271,-8.456,20.555,20.555,20.555
24.158,-3.271,-8.456,20.555,20.555,20.555
22.266,-9.065,-9.232,-7.227,-7.227,-7.227
17.847,-11.483,-8.768,-26.092,-26.092,-26.092
16.520,-10.080,-14.495,-34.660,-34.660,-34.660
14.739,-7.087,-7.183,-23.800,-23.800,-23.800
12.053,-0.685,2.954,-14.804,-14.804,-14.804
5.837,4.765,10.286,-17.991,-17.991,-17.991
-9.601,2.308,6.110,-33.475,-33.475,-33.475
-20.442,-1.255,-10.635,-38.332,-38.332,-38.332
-20.442,-1.255,-10.635,-38.332,-38.332,-38.332
-27.701,3.390,-4.132,28.093,28.093,28.093
-30.263,0.211,1.211,9.831,9.831,9.831
-30.263,0.211,1.211,9.831,9.831,9.831
-26.566,-2.303,-3.807,-55.410,-55.410,-55.410
-16.515,-4.496,-28.563,-38.896,-38.896,-38.896
-8.926,-6.292,-26.691,11.560,11.560,11.560
-8.926,-6.292,-26.691,11.560,11.560,11.560
-4.367,3.108,0.723,60.850,60.850,60.850
-4.367,3.108,0.723,60.850,60.850,60.850
-2.140,4.046,5.143,24.460,24.460,24.460
-3.898,1.528,-5.646,-26.792,-26.792,-26.792
-3.898,1.528,-5.646,-26.792,-26.792,-26.792
-2.954,1.389,-12.235,-9.675,-9.675,-9.675
-3.716,1.063,-12.766,-6.975,-6.975,-6.975
-3.716,1.063,-12.766,-6.975,-6.975,-6.975
-1.403,2.073,-5.444,7.713,7.713,7.713
-1.949,-0.110,-6.761,-1.651,-1.651,-1.651
-3.055,-1.168,-10.357,-10.724,-10.724,-10.724
-3.807,-0.283,-12.297,-13.075,-13.075,-13.075
-3.385,0.953,-10.908,-9.170,-9.170,-9.170
-3.218,1.872,-10.377,-3.147,-3.147,-3.147
-2.624,1.532,-9.486,5.440,5.440,5.440
-2.739,-0.034,-8.816,10.647,10.647,10.647
-2.327,-1.010,-8.758,5.051,5.051,5.051
-2.825,0.144,-9.261,-4.430,-4.430,-4.430
-2.691,2.260,-9.874,-2.875,-2.875,-2.875
-2.691,2.260,-9.874,-2.875,-2.875,-2.875
-1.571,-1.231,-7.681,11.502,11.502,11.502
-1.255,-0.713,-7.834,2.021,2.021,2.021
-1.240,1.417,-8.653,-4.041,-4.041,-4.041
-0.110,2.150,-9.251,-0.389,-0.389,-0.389
0.115,0.838,-8.682,5.887,5.887,5.887
0.316,0.326,-8.078,5.401,5.401,5.401
0.254,1.326,-9.002,4.430,4.430,4.430
0.254,1.326,-9.002,4.430,4.430,4.430
0.843,1.298,-8.504,8.451,8.451,8.451
0.594,-0.455,-8.873,4.352,4.352,4.352
-0.067,0.235,-9.998,0.447,0.447,0.447
-0.067,0.235,-9.998,0.447,0.447,0.447
-0.072,0.029,-9.400,6.955,6.955,6.955
-0.187,0.206,-10.214,5.440,5.440,5.440
-0.723,0.441,-10.846,3.886,3.886,3.886
-0.915,0.053,-11.057,3.381,3.381,3.381
-0.872,-0.235,-10.515,3.283,3.283,3.283
-0.872,-0.235,-10.515,3.283,3.283,3.283
-1.044,-0.441,-9.807,3.614,3.614,3.614
-0.996,-0.125,-10.367,4.235,4.235,4.235
-0.948,-0.402,-10.190,3.789,3.789,3.789
-0.958,-0.651,-9.965,1.166,1.166,1.166
-0.546,-0.527,-10.027,-0.719,-0.719,-0.719
-0.546,-0.527,-10.027,-0.719,-0.719,-0.719
0.129,0.034,-9.668,2.021,2.021,2.021
0.201,-0.177,-9.658,2.565,2.565,2.565
0.129,-0.680,-9.831,-0.019,-0.019,-0.019
0.129,-0.680,-9.831,-0.019,-0.019,-0.019
0.311,-0.512,-9.376,1.768,1.768,1.768
0.848,-0.201,-9.065,2.176,2.176,2.176
1.082,-0.158,-9.385,1.477,1.477,1.477
1.082,0.206,-9.697,1.651,1.651,1.651
0.891,0.086,-9.682,1.263,1.263,1.263
0.723,-0.024,-9.165,0.661,0.661,0.661
0.646,-0.460,-9.146,1.166,1.166,1.166
0.857,-0.215,-9.290,2.137,2.137,2.137
1.111,0.000,-9.012,3.808,3.808,3.808
1.149,0.182,-9.251,2.293,2.293,2.293
1.417,0.283,-9.371,-0.738,-0.738,-0.738
1.389,0.350,-9.749,-0.155,-0.155,-0.155
1.389,0.350,-9.749,-0.155,-0.155,-0.155
0.876,-0.728,-10.554,-0.622,-0.622,-0.622
0.867,-0.589,-9.989,0.544,0.544,0.544
0.843,-0.182,-9.893,1.399,1.399,1.399
0.843,-0.182,-9.893,1.399,1.399,1.399
0.962,0.038,-9.242,-1.982,-1.982,-1.982
1.015,-0.436,-9.658,-1.030,-1.030,-1.030
0.867,-0.235,-10.089,0.835,0.835,0.835
1.063,0.297,-10.458,4.430,4.430,4.430
1.178,0.488,-10.219,6.295,6.295,6.295
1.106,0.613,-9.658,3.691,3.691,3.691
1.025,0.278,-9.706,0.311,0.311,0.311
0.737,-0.158,-10.104,0.291,0.291,0.291
0.661,-0.244,-10.463,2.856,2.856,2.856
0.699,-0.469,-10.185,3.206,3.206,3.206
0.737,-0.646,-9.596,1.166,1.166,1.166
1.039,-0.081,-9.548,-0.505,-0.505,-0.505
1.101,0.326,-9.654,0.699,0.699,0.699
1.106,0.570,-9.596,1.768,1.768,1.768
0.900,0.244,-9.917,2.040,2.040,2.040
1.049,0.163,-9.395,1.710,1.710,1.710
1.073,-0.450,-8.567,0.486,0.486,0.486
1.073,-0.450,-8.567,0.486,0.486,0.486
1.154,-0.062,-10.152,-0.661,-0.661,-0.661
0.977,-0.862,-9.931,1.943,1.943,1.943
0.977,-0.862,-9.931,1.943,1.943,1.943
0.685,-1.173,-10.286,1.574,1.574,1.574
0.776,-1.025,-9.898,0.952,0.952,0.952
0.967,-0.426,-9.615,0.835,0.835,0.835
0.967,-0.426,-9.615,0.835,0.835,0.835
0.737,-0.690,-9.649,1.477,1.477,1.477
0.704,-0.551,-9.567,2.118,2.118,2.118
0.795,-0.508,-9.136,2.487,2.487,2.487
0.824,-0.220,-9.347,1.088,1.088,1.088
0.651,-0.412,-9.845,1.651,1.651,1.651
0.809,-0.378,-9.462,1.418,1.418,1.418
0.776,-0.345,-9.572,-0.253,-0.253,-0.253
0.785,-0.431,-9.802,0.699,0.699,0.699
0.584,-0.445,-10.219,1.574,1.574,1.574
0.541,-0.747,-10.027,1.088,1.088,1.088
0.733,-0.709,-9.529,1.418,1.418,1.418

17.018,3.831,-11.262,22.615,22.615,22.615
23.780,3.089,-10.616,27.588,27.588,27.588
25.647,-1.523,-9.290,26.345,26.345,26.345
22.252,-6.187,-9.768,12.862,12.862,12.862
