aX,aY,aZ,gX,gY,gZ
-0.565,-1.617,1.039,-116.272,-39.612,-60.364
-0.548,-1.497,0.921,-110.046,-34.058,-23.071
-0.603,-1.430,0.745,-99.548,-27.588,9.583
-0.662,-1.315,0.698,-90.149,-31.860,37.903
-0.738,-1.178,0.627,-82.520,-37.415,66.040
-0.750,-1.041,0.733,-75.867,-45.227,89.478
-0.780,-1.021,0.866,-73.608,-46.814,106.750
-0.819,-0.927,0.939,-77.454,-41.382,124.023
-0.873,-0.885,0.960,-84.717,-31.616,139.526
-0.944,-0.917,0.887,-94.604,-21.484,153.259
-0.945,-1.046,0.827,-108.459,-15.198,168.213
-0.904,-1.263,1.039,-117.004,-17.517,186.157
-0.905,-1.395,1.094,-116.882,-10.986,210.876
-0.927,-1.456,1.169,-107.788,-0.244,241.272
-1.013,-1.463,1.153,-94.910,12.817,274.048
-1.166,-1.275,1.002,-86.304,29.358,311.890
-1.310,-1.052,0.904,-79.102,38.574,346.191
-1.409,-0.828,0.833,-70.251,40.100,372.009
-1.477,-0.600,0.791,-59.692,38.574,392.517
-1.545,-0.357,0.811,-47.302,34.912,406.067
-1.547,-0.087,0.821,-34.424,33.447,413.025
-1.500,0.206,1.065,-25.879,26.184,416.016
-1.429,0.439,1.095,-30.518,31.372,415.833
-1.338,0.739,1.096,-45.959,40.161,413.391
-1.300,0.881,0.978,-62.195,54.810,402.161
-1.075,0.828,0.786,-66.467,71.472,385.315
-1.003,0.769,1.065,-82.397,85.083,386.841
-1.215,1.784,0.451,-95.215,106.140,421.021
-0.994,0.389,0.096,-16.724,120.239,375.183
-1.161,-0.376,0.401,88.440,95.520,325.073
-1.240,0.443,0.482,140.198,80.627,360.413
-1.196,0.432,1.098,139.771,47.180,370.972
-1.248,1.243,1.411,105.408,28.992,393.372
-1.345,1.736,1.173,65.796,43.152,399.963
-1.402,1.915,0.878,22.156,50.171,379.028
-1.424,1.669,0.617,-2.258,50.842,345.276
-1.384,1.546,0.457,-12.329,49.438,315.613
-1.283,1.323,0.460,-15.137,43.213,293.518
-1.216,1.075,0.600,-8.240,34.851,276.245
-1.221,0.931,0.598,23.132,34.790,265.503
-1.121,0.721,0.633,83.984,33.997,252.686
-1.046,0.693,0.740,146.729,30.334,243.774
-0.953,0.816,0.932,190.125,25.513,241.028
-0.993,0.905,1.053,204.773,18.921,236.694
-1.009,1.408,1.073,206.421,9.216,233.215
-0.946,1.957,1.261,193.787,-12.329,220.337
-0.794,2.159,1.349,161.194,-25.635,186.951
-0.621,2.139,1.362,112.366,-28.931,146.484
-0.382,1.827,1.658,54.382,-35.706,107.666
-0.225,1.387,1.906,-10.193,-31.616,75.378
-0.212,1.151,1.837,-70.068,-11.963,57.617
-0.274,0.927,1.605,-108.154,9.033,42.114
-0.309,0.621,1.477,-120.911,20.386,22.766
-0.255,0.283,1.642,-108.032,26.672,2.563
-0.208,-0.127,1.831,-65.796,39.001,-15.442
-0.248,-0.434,1.772,-8.240,65.552,-28.381
-0.355,-0.506,1.574,48.950,92.712,-29.968
-0.403,-0.436,1.369,92.896,107.056,-26.367
-0.394,-0.210,1.384,111.511,106.812,-17.273
-0.440,0.111,1.317,107.178,106.445,-8.911
-0.486,0.452,1.188,89.539,108.582,-6.775
-0.500,0.548,1.151,75.073,108.215,-18.005
-0.525,0.609,1.089,66.284,108.521,-33.386
-0.563,0.609,1.045,61.890,110.718,-49.377
-0.594,0.726,1.091,61.279,112.427,-61.279
-0.635,0.868,1.081,61.584,116.333,-73.608
-0.615,1.013,1.011,60.791,121.765,-89.478
-0.578,1.028,1.063,59.814,123.901,-110.840
